second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,134,134,0,0,0,0,134,5,15730,15431,466,26,28.65,106795008
1,135,134,135,0,0,0,0,135,6,15481,15165,605,26,18.92,105410560
2,134,136,135,0,0,0,0,135,4,15316,14998,513,28,17.62,104591360
3,136,133,133,0,0,0,0,133,5,15359,15043,574,26,18.34,105172992
4,135,137,137,0,0,0,0,137,4,15386,15068,487,24,16.78,99672064
5,135,134,134,0,0,0,0,134,5,15434,15105,366,22,19.46,103460864
6,135,136,136,0,0,0,0,136,4,15476,15154,616,21,19.67,103460864
7,134,135,135,0,0,0,0,135,5,15513,15194,422,25,16.48,101908480
8,136,134,134,0,0,0,0,134,6,15562,15245,539,21,15.68,101847040
9,135,136,136,0,0,0,0,136,5,15622,15303,406,22,15.49,101773312
10,135,135,135,0,0,0,0,135,8,15670,15348,463,23,20.35,101965824
11,135,135,135,0,0,0,0,135,4,15715,15394,412,23,18.33,101650432
12,134,135,135,0,0,0,0,135,6,15749,15430,488,23,18.48,105627648
13,135,134,134,0,0,0,0,134,5,0,0,0,0,0,0
14,135,134,134,0,0,0,0,134,5,15787,15462,491,25,17.23,104689664
15,136,137,137,0,0,0,0,137,4,15301,14980,490,23,18.11,105644032
16,135,135,135,0,0,0,0,135,5,15347,15027,547,24,17.74,106795008
17,135,135,135,0,0,0,0,135,4,15384,15067,528,23,15.7,106774528
18,135,135,135,0,0,0,0,135,5,15431,15116,428,26,17.35,106156032
19,134,135,135,0,0,0,0,135,5,15510,15191,426,28,19.28,101990400
20,136,135,135,0,0,0,0,135,5,15557,15237,622,26,19.27,102060032
21,135,134,134,0,0,0,0,134,5,15592,15270,570,23,16.63,101953536
22,135,136,137,0,0,0,0,137,4,15616,15298,624,23,18.53,102019072
23,135,134,133,0,0,0,0,133,4,15663,15348,472,22,17.61,103714816
24,134,135,135,0,0,0,0,135,5,15712,15390,776,28,19.3,104255488
25,136,136,136,0,0,0,0,136,5,15757,15439,409,26,19.13,104284160
26,134,135,135,0,0,0,0,135,7,15798,15475,581,25,19.89,104263680
27,136,134,134,0,0,0,0,134,5,0,0,0,0,0,0
28,135,135,135,0,0,0,0,135,5,15854,15534,417,23,18.6,104243200
29,134,136,136,0,0,0,0,136,4,15412,15093,690,23,17.27,104263680
30,136,135,135,0,0,0,0,135,5,15435,15116,447,23,16.73,104271872
31,134,135,135,0,0,0,0,135,4,15468,15153,532,26,16.6,99414016
32,136,135,135,0,0,0,0,135,4,15503,15183,371,21,14.23,100753408
33,135,135,135,0,0,0,0,135,5,15556,15241,668,29,19.33,102821888
34,134,131,131,0,0,0,0,131,5,15603,15288,582,24,15.52,102195200
35,136,138,138,0,0,0,0,138,6,15654,15335,470,22,15.2,101949440
36,135,136,136,0,0,0,0,136,4,15695,15374,413,23,18.42,102047744
37,134,135,135,0,0,0,0,135,5,15731,15410,731,22,16.1,103456768
38,136,135,135,0,0,0,0,135,5,15776,15458,392,26,16.84,102440960
39,134,135,135,0,0,0,0,135,6,15819,15501,417,22,19.77,102891520
40,136,134,134,0,0,0,0,134,5,15867,15551,399,24,18.92,102948864
41,135,135,135,0,0,0,0,135,6,0,0,0,0,0,0
42,134,135,135,0,0,0,0,135,5,15904,15586,464,25,17.7,96215040
43,136,136,136,0,0,0,0,136,6,15427,15107,394,20,16.97,99127296
44,134,134,134,0,0,0,0,134,5,15452,15135,417,27,15.83,99205120
45,136,135,135,0,0,0,0,135,6,15495,15177,392,25,17.73,99504128
46,135,136,136,0,0,0,0,136,5,15531,15208,378,24,13.42,99233792
47,135,133,133,0,0,0,0,133,5,15571,15256,553,22,17.12,98095104
48,135,125,125,0,0,0,0,125,14,15604,15281,554,34,13.31,97980416
49,135,123,123,0,0,0,0,123,26,15590,15235,835,57,16.17,103284736
50,135,144,144,0,0,0,0,144,28,15647,15282,857,60,15.17,103088128
51,134,132,132,0,0,0,0,132,27,15678,15303,867,72,19.41,103768064
52,136,151,151,0,0,0,0,151,20,15770,15430,433,22,17.02,102690816
53,134,137,137,0,0,0,0,137,4,15783,15463,412,25,16.62,99962880
54,135,134,134,0,0,0,0,134,4,15835,15524,378,24,16.51,101834752
55,136,136,136,0,0,0,0,136,5,0,0,0,0,0,0
56,135,135,135,0,0,0,0,135,5,15898,15581,634,24,15.52,101691392
57,135,134,134,0,0,0,0,134,5,15432,15117,483,23,17.08,100552704
58,134,135,135,0,0,0,0,135,5,15471,15150,428,22,14.92,97669120
59,136,136,136,0,0,0,0,136,5,15515,15198,375,22,19.73,99192832
60,135,134,134,0,0,0,0,134,5,15562,15244,740,23,13.85,99045376
61,135,136,136,0,0,0,0,136,9,15598,15280,717,28,17.08,103055360
62,135,134,134,0,0,0,0,134,5,15632,15315,639,28,18.77,102322176
63,134,136,136,0,0,0,0,136,6,15670,15354,521,21,19.02,101695488
64,136,135,135,0,0,0,0,135,5,15708,15394,482,23,15.44,101736448
65,135,135,135,0,0,0,0,135,5,15734,15420,509,23,17.61,101736448
66,134,135,135,0,0,0,0,135,5,15779,15466,401,21,18.65,99540992
67,136,134,134,0,0,0,0,134,7,15828,15507,393,23,15.01,103211008
68,135,134,134,0,0,0,0,134,5,15885,15562,388,22,17.72,103432192
69,134,137,137,0,0,0,0,137,5,0,0,0,0,0,0
70,136,134,134,0,0,0,0,134,5,15935,15614,601,19,16.31,101761024
71,134,136,136,0,0,0,0,136,5,15457,15134,618,22,17.99,101990400
72,136,135,135,0,0,0,0,135,5,15498,15181,697,29,16.92,102567936
73,135,133,135,0,0,0,0,135,5,15540,15222,639,24,16.61,98041856
74,134,137,135,0,0,0,0,135,5,15567,15251,552,26,18.28,97394688
75,135,134,134,0,0,0,0,134,4,15590,15270,441,19,15.98,97222656
76,136,136,136,0,0,0,0,136,5,15619,15303,416,24,20.12,98566144
77,135,135,135,0,0,0,0,135,5,15670,15348,392,24,16.8,98689024
78,135,134,134,0,0,0,0,134,4,15766,15450,700,19,18.65,98123776
79,135,136,136,0,0,0,0,136,5,15858,15540,642,25,17.6,99164160
80,135,135,135,0,0,0,0,135,5,15914,15597,714,25,16.72,99323904
81,135,135,135,0,0,0,0,135,6,15936,15617,652,22,18.64,98496512
82,135,134,134,0,0,0,0,134,4,15934,15615,510,18,14.27,101310464
83,135,135,135,0,0,0,0,135,4,0,0,0,0,0,0
84,135,136,136,0,0,0,0,136,5,15970,15651,418,26,16.16,103010304
85,135,135,135,0,0,0,0,135,5,15471,15148,438,18,17.03,101249024
86,134,135,135,0,0,0,0,135,7,15504,15185,508,23,15.06,101613568
87,136,135,135,0,0,0,0,135,5,15525,15207,462,19,18.92,101605376
88,135,135,135,0,0,0,0,135,5,15562,15247,423,19,17.49,97443840
89,135,134,134,0,0,0,0,134,4,15600,15284,694,22,21.01,103235584
90,134,136,136,0,0,0,0,136,4,15653,15336,426,25,16.39,103321600
91,135,135,135,0,0,0,0,135,4,15706,15389,455,20,19.06,101756928
92,136,134,134,0,0,0,0,134,5,15743,15422,494,23,17.22,102240256
93,135,135,135,0,0,0,0,135,14,15781,15467,430,21,17.94,103698432
94,135,135,135,0,0,0,0,135,6,15826,15504,466,20,15.56,98013184
95,134,136,136,0,0,0,0,136,5,15869,15549,471,19,15.35,98562048
96,135,135,135,0,0,0,0,135,6,0,0,0,0,0,0
97,135,135,135,0,0,0,0,135,5,15897,15583,441,19,16.86,99581952
98,136,135,135,0,0,0,0,135,5,15425,15113,442,29,18.81,101191680
99,134,133,133,0,0,0,0,133,6,15453,15138,635,20,17.09,101130240
100,135,135,135,0,0,0,0,135,5,15499,15183,624,23,19.27,100126720
101,135,137,137,0,0,0,0,137,5,15517,15204,546,25,17.91,95481856
102,135,135,135,0,0,0,0,135,6,15548,15229,482,19,17.98,97767424
103,136,134,134,0,0,0,0,134,4,15597,15282,386,23,16.97,103563264
104,135,135,135,0,0,0,0,135,5,15637,15321,715,19,15.24,103915520
105,134,136,136,0,0,0,0,136,5,15692,15376,399,26,17.35,103641088
106,136,134,134,0,0,0,0,134,4,15731,15414,393,21,15.47,103419904
107,135,135,135,0,0,0,0,135,5,15779,15461,369,20,15.86,103534592
108,134,133,133,0,0,0,0,133,5,15820,15501,671,19,15.84,98828288
109,136,138,138,0,0,0,0,138,5,15851,15532,571,20,18.42,102412288
110,134,135,135,0,0,0,0,135,5,0,0,0,0,0,0
111,135,135,135,0,0,0,0,135,5,15897,15578,554,22,18.63,103403520
112,136,134,134,0,0,0,0,134,8,15422,15108,614,22,22.13,104275968
113,134,135,135,0,0,0,0,135,4,15460,15141,590,25,16.04,104321024
114,136,136,136,0,0,0,0,136,4,15474,15159,387,20,18.54,105353216
115,135,135,135,0,0,0,0,135,6,15520,15204,646,20,17.52,105426944
116,134,123,123,0,0,0,0,123,14,15586,15270,516,20,18.39,103915520
117,136,132,132,0,0,0,0,132,24,15554,15196,802,61,16.4,106045440
118,134,133,133,0,0,0,0,133,21,15623,15247,879,57,18.38,106459136
119,136,138,138,0,0,0,0,138,22,15649,15302,511,45,17.62,102563840
120,134,116,116,0,0,0,0,116,39,15643,15263,835,74,16.35,102047744
121,135,159,159,0,0,0,0,159,36,15753,15375,541,49,20.98,102719488
122,135,144,144,0,0,0,0,144,12,15787,15458,521,18,18.99,98734080
123,136,135,135,0,0,0,0,135,6,15817,15497,547,24,21.46,100016128
124,135,134,134,0,0,0,0,134,5,0,0,0,0,0,0
125,135,136,136,0,0,0,0,136,4,15849,15532,552,20,17.73,98594816
126,135,135,135,0,0,0,0,135,5,15357,15041,595,22,17.79,98275328
127,134,135,135,0,0,0,0,135,4,15377,15064,605,24,21.51,99119104
128,136,134,134,0,0,0,0,134,5,15406,15087,704,21,17.08,99594240
129,135,135,135,0,0,0,0,135,5,15445,15126,647,23,15.84,99217408
130,134,136,136,0,0,0,0,136,4,15482,15161,575,20,20.39,98611200
131,135,133,133,0,0,0,0,133,5,15526,15209,576,21,17.55,98611200
132,136,137,137,0,0,0,0,137,13,15566,15244,519,22,18.8,98283520
133,134,135,135,0,0,0,0,135,4,15627,15305,540,20,16.52,98258944
134,135,134,134,0,0,0,0,134,4,15662,15340,618,19,16.59,98988032
135,136,136,136,0,0,0,0,136,4,15690,15369,513,20,20.85,98332672
136,134,134,134,0,0,0,0,134,4,15733,15411,435,20,18.14,97513472
137,136,136,136,0,0,0,0,136,5,15784,15465,387,22,17.27,99737600
138,134,135,135,0,0,0,0,135,8,0,0,0,0,0,0
139,136,134,134,0,0,0,0,134,5,15832,15511,702,24,14.03,100032512
140,135,136,136,0,0,0,0,136,4,15339,15021,555,24,18.63,98816000
141,134,134,134,0,0,0,0,134,5,15369,15051,484,19,14.23,98721792
142,136,136,136,0,0,0,0,136,4,15414,15096,423,19,16.37,99778560
143,134,135,135,0,0,0,0,135,5,15478,15154,406,25,17.52,101515264
144,135,135,135,0,0,0,0,135,4,15522,15203,424,19,19.53,99762176
145,135,135,135,0,0,0,0,135,4,15577,15263,748,21,17.44,101294080
146,135,135,135,0,0,0,0,135,5,15671,15356,645,21,17.01,103784448
147,135,135,135,0,0,0,0,135,4,15737,15421,551,21,17.66,103211008
148,136,134,134,0,0,0,0,134,5,15796,15475,606,23,16.89,103751680
149,135,136,136,0,0,0,0,136,4,15852,15530,563,21,17.13,102989824
150,135,134,134,0,0,0,0,134,4,15935,15618,536,22,15.2,104472576
151,135,136,136,0,0,0,0,136,4,15914,15597,558,20,17.72,99774464
152,135,134,134,0,0,0,0,134,5,0,0,0,0,0,0
153,135,136,136,0,0,0,0,136,5,15940,15622,660,20,17.83,105283584
154,135,135,135,0,0,0,0,135,5,15470,15144,400,24,17.98,105607168
