second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,54,0,0,0,0,0,0,0,54,8462,8450,27263,8203,2.45,614461440
2,239,259,265,0,0,0,0,265,55,8382,8320,27367,8299,8.44,616738816
3,198,232,226,0,0,0,0,226,88,8520,8390,28703,8603,33.55,626937856
4,57,33,33,0,0,0,0,33,32,8178,8166,27846,8525,12.45,626245632
5,290,255,255,0,0,0,0,255,68,8229,8158,28079,8704,17.52,626429952
6,286,273,273,0,0,0,0,273,72,8683,8615,29052,8676,36.15,627781632
7,251,274,276,0,0,0,0,276,81,9308,9250,28751,8910,36.65,639541248
8,236,260,258,0,0,0,0,258,115,8976,8965,29269,9145,37.07,647356416
9,6,31,31,0,0,0,0,31,30,8778,8767,29344,9159,3.38,647585792
11,49,13,17,0,0,0,0,17,39,8174,8121,29599,9252,4.99,651272192
12,263,265,261,0,0,0,0,261,49,0,0,0,0,0,0
13,406,154,154,0,0,0,0,154,286,8340,8298,31136,9504,31.32,657821696
14,22,308,308,0,0,0,0,308,308,9049,8496,35376,9959,30.94,679288832
16,335,128,128,0,0,0,0,128,207,8574,8496,29972,9196,18.01,677191680
17,536,0,0,0,0,0,0,0,743,8620,7998,39348,10716,24.79,724660224
18,202,12,12,0,0,0,0,12,933,0,0,0,0,0,0
19,47,409,409,0,0,0,0,409,948,9295,8246,41089,10832,31.86,770895872
20,144,467,467,0,0,0,0,467,592,9365,9122,34195,10261,34.45,781320192
21,222,98,98,0,0,0,0,98,410,10038,9328,38594,10792,29.23,797249536
22,146,473,473,0,0,0,0,473,380,0,0,0,0,0,0
23,70,115,115,0,0,0,0,115,43,10351,10310,32591,9996,36.26,780812288
25,291,116,116,0,0,0,0,116,175,9573,9520,32994,9762,8.36,772521984
26,115,290,290,0,0,0,0,290,290,9725,9382,34959,10364,32.84,789495808
27,128,68,69,0,0,0,0,69,60,9303,9248,33511,9814,14.73,778985472
28,258,273,274,0,0,0,0,274,116,9595,9530,34317,9988,29.55,777236480
29,245,179,177,0,0,0,0,177,240,10174,9970,34638,10019,35.67,779702272
30,301,258,258,0,0,0,0,258,154,0,0,0,0,0,0
31,218,66,66,0,0,0,0,66,364,10851,10496,37352,10749,30.63,803651584
32,295,292,292,0,0,0,0,292,361,11010,10708,39244,11017,32.21,810274816
33,277,324,324,0,0,0,0,324,262,0,0,0,0,0,0
34,206,250,261,0,0,0,0,261,468,11344,10868,45265,11306,34.72,854405120
35,154,329,318,0,0,0,0,318,62,11165,11088,34663,10318,35.38,864763904
36,225,227,227,0,0,0,0,227,176,10881,10773,34416,10519,34.4,866750464
37,342,143,143,0,0,0,0,143,240,0,0,0,0,0,0
38,492,0,0,0,0,0,0,0,732,10984,10680,39086,11428,31.89,889176064
39,292,16,16,0,0,0,0,16,1011,11392,10540,46936,12782,27.7,926494720
40,140,360,360,0,0,0,0,360,799,11937,11118,46172,12326,34.01,932904960
41,126,365,365,0,0,0,0,365,914,0,0,0,0,0,0
42,0,412,412,0,0,0,0,412,0,12498,12152,41240,11313,37.44,947613696
43,65,202,202,0,0,0,0,202,36,11757,11744,40596,10793,16.52,936783872
45,30,30,30,0,0,0,0,30,30,0,0,0,0,0,0
49,106,41,47,0,0,0,0,47,65,10719,10706,33691,9936,1.31,905752576
50,275,236,230,0,0,0,0,230,104,10143,10076,32795,10055,26.43,911908864
51,203,262,267,0,0,0,0,267,206,10591,10362,34320,10404,38.43,917426176
52,113,157,152,0,0,0,0,152,51,9835,9822,33679,10491,25.84,918630400
53,83,83,83,0,0,0,0,83,62,9973,9958,34010,10453,13.16,884158464
54,216,170,170,0,0,0,0,170,74,0,0,0,0,0,0
55,290,229,229,0,0,0,0,229,229,10212,10116,35463,10630,24.04,773722112
56,196,258,265,0,0,0,0,265,210,10519,10298,39616,10861,34.99,778735616
57,371,149,148,0,0,0,0,148,296,10410,10094,39334,11037,34.96,764932096
58,310,261,255,0,0,0,0,255,317,0,0,0,0,0,0
59,494,13,13,0,0,0,0,13,811,0,0,0,0,0,0
60,0,91,91,0,0,0,0,91,0,10634,9820,48775,12891,31.59,858169344
61,0,707,707,0,0,0,0,707,0,10750,10734,41398,11295,34.14,833806336
63,163,117,123,0,0,0,0,123,72,10078,10009,42572,11016,17.6,842043392
64,13,59,53,0,0,0,0,53,34,0,0,0,0,0,0
65,103,25,25,0,0,0,0,25,97,9368,9352,42483,10887,4.12,842633216
66,229,239,267,0,0,0,0,267,74,9282,9218,43572,10823,17.79,858492928
67,407,93,65,0,0,0,0,65,382,9171,9094,35721,10792,28.4,841322496
68,360,29,29,0,0,0,0,29,713,9745,9208,42058,11993,36.85,866148352
69,23,222,241,0,0,0,0,241,522,9912,8900,42971,11656,38.06,868151296
70,110,552,534,0,0,0,0,534,495,0,0,0,0,0,0
71,361,77,76,0,0,0,0,76,427,9034,8613,42135,12133,30.26,912277504
72,171,356,356,0,0,0,0,356,357,0,0,0,0,0,0
73,170,167,170,0,0,0,0,170,341,9121,8918,42386,11854,34.92,903843840
74,154,328,325,0,0,0,0,325,60,9610,9592,39055,11053,34.86,884625408
75,136,42,42,0,0,0,0,42,100,9858,9842,38462,11205,18.36,891232256
76,191,245,247,0,0,0,0,247,96,10270,10190,39573,11435,35.18,892088320
77,194,212,214,0,0,0,0,214,103,10809,10646,36709,11062,36.33,858423296
78,222,177,180,0,0,0,0,180,79,11275,11192,35867,11017,29.34,811712512
79,224,227,220,0,0,0,0,220,84,0,0,0,0,0,0
80,334,119,119,0,0,0,0,119,279,11370,11289,36659,11176,36.32,815181824
81,200,91,91,0,0,0,0,91,479,11629,11103,42588,12038,35.79,836882432
82,0,243,246,0,0,0,0,246,0,11390,11073,40989,11412,18.76,844173312
83,0,145,142,0,0,0,0,142,0,11138,11123,36248,11004,7.62,828649472
89,222,158,158,0,0,0,0,158,64,9298,9231,37314,10256,8.09,829415424
90,208,239,245,0,0,0,0,245,72,9597,9517,33650,10271,36.97,815697920
91,192,225,219,0,0,0,0,219,62,9239,9180,33902,10163,35.86,811933696
93,203,168,169,0,0,0,0,169,53,8711,8649,32537,9738,18.57,707383296
94,238,272,271,0,0,0,0,271,76,9319,9299,33271,9730,29.65,716558336
95,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
97,129,129,129,0,0,0,0,129,67,8606,8591,32608,9311,0.56,704659456
101,84,6,6,0,0,0,0,6,78,7202,7187,33353,8090,0.94,694673408
102,399,169,169,0,0,0,0,169,308,6772,6714,34908,8516,23.44,717303808
103,221,300,300,0,0,0,0,300,317,6715,6469,33286,9177,34.87,696782848
104,211,326,326,0,0,0,0,326,114,0,0,0,0,0,0
105,173,218,227,0,0,0,0,227,242,7197,6989,35597,9526,38.74,733011968
106,508,53,44,0,0,0,0,44,524,7286,7075,33795,9789,26.5,727130112
107,48,385,385,0,0,0,0,385,527,7819,7045,37598,10418,30.16,754651136
108,32,218,218,0,0,0,0,218,184,7031,7016,34882,9668,29.87,773849088
109,0,1,1,0,0,0,0,1,0,6707,6692,34882,9629,0.57,772120576
113,122,54,63,0,0,0,0,63,68,0,0,0,0,0,0
114,297,76,67,0,0,0,0,67,335,6209,5864,34053,9753,20.2,736415744
115,323,267,267,0,0,0,0,267,345,0,0,0,0,0,0
116,158,189,214,0,0,0,0,214,465,7032,6573,37342,10071,34.31,759730176
117,329,368,347,0,0,0,0,347,315,7634,7579,32716,9073,39.19,739262464
118,110,325,333,0,0,0,0,333,279,8234,8103,32576,9096,34.5,773640192
119,13,73,61,0,0,0,0,61,53,8189,8177,31571,8472,21.05,764973056
120,204,32,35,0,0,0,0,35,192,7465,7333,34060,8894,14.02,774803456
121,0,172,169,0,0,0,0,169,0,7618,7607,28101,8573,13.6,746688512
124,230,200,200,0,0,0,0,200,103,0,0,0,0,0,0
125,483,38,40,0,0,0,0,40,475,7178,7126,28872,8701,29.56,739680256
126,28,352,352,0,0,0,0,352,472,7752,7214,35466,9776,34.15,755122176
127,250,213,211,0,0,0,0,211,278,8146,7907,34982,9549,32.84,784773120
128,0,188,188,0,0,0,0,188,0,8462,8451,27927,8485,26.36,749047808
131,287,135,135,0,0,0,0,135,152,8722,8651,26797,8038,15.93,741593088
132,195,315,321,0,0,0,0,321,188,8669,8532,28633,8166,37.25,750551040
133,94,126,120,0,0,0,0,120,50,0,0,0,0,0,0
136,345,0,0,0,0,0,0,0,345,7470,7459,26198,7735,0.38,685948928
137,74,358,358,0,0,0,0,358,364,7593,7163,31548,8378,25.61,629600256
138,320,261,268,0,0,0,0,268,252,7547,7314,31002,8375,39.01,657510400
139,0,120,113,0,0,0,0,113,0,7742,7731,30278,7765,18.85,674889728
142,164,126,127,0,0,0,0,127,52,7871,7819,31411,7330,14.61,680325120
143,319,133,132,0,0,0,0,132,288,8373,8043,27769,7891,33.14,667295744
144,0,224,224,0,0,0,0,224,0,0,0,0,0,0,0
146,98,98,98,0,0,0,0,98,62,7537,7526,26015,7615,0.38,652218368
147,278,256,257,0,0,0,0,257,113,7039,6980,27032,7817,17.72,666259456
148,87,54,66,0,0,0,0,66,73,7075,7064,27895,7991,31.8,688922624
149,283,265,252,0,0,0,0,252,73,7100,7061,28824,8160,23.35,705716224
150,102,175,175,0,0,0,0,175,74,7670,7646,27651,8160,37.61,673423360
151,118,7,7,0,0,0,0,7,112,7287,7276,27024,7900,1.14,668823552
152,283,226,233,0,0,0,0,233,176,7708,7651,27487,8177,26.26,666583040
