second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,130,0,0,130,0,0,130,26,8024,8009,31747,8160,44.61,567173120
1,135,136,0,0,136,0,0,136,14,8037,8021,25708,8159,17.02,567164928
2,135,137,0,0,137,0,0,137,15,8053,8035,26238,8163,13.32,567373824
3,135,134,0,0,134,0,0,134,16,8071,8051,26656,8160,14.44,567083008
4,135,135,0,0,135,0,0,135,14,8085,8068,27136,8149,15.24,566988800
5,135,134,0,0,134,0,0,134,18,7826,7810,27321,8179,15.45,567914496
6,135,134,0,0,134,0,0,134,13,7834,7816,27794,8157,15.18,567083008
7,135,136,0,0,136,0,0,136,14,7849,7832,28317,8156,13.29,567021568
8,135,136,0,0,136,0,0,136,15,7859,7843,28780,8155,14.38,567123968
9,135,135,0,0,135,0,0,135,15,7877,7860,29294,8154,17.09,566976512
10,131,128,0,0,128,0,0,128,16,7883,7868,29412,8144,18.85,566845440
11,139,134,0,0,134,0,0,134,18,7906,7866,29968,8166,15.87,567611392
12,135,137,0,0,138,0,0,138,15,7927,7911,30390,8161,15.03,567119872
13,135,139,0,0,138,0,0,138,14,7928,7912,30814,8159,15.61,567078912
14,135,135,0,0,135,0,0,135,16,7939,7922,31343,8153,15.93,567005184
15,135,136,0,0,136,0,0,136,18,7949,7932,31870,8158,12.56,567046144
16,135,135,0,0,135,0,0,135,16,7973,7956,25428,8154,15.11,566947840
17,135,135,0,0,136,0,0,136,15,8002,7984,25967,8153,19.11,566972416
18,135,137,0,0,136,0,0,136,14,8010,7990,26471,8153,16.48,566968320
19,135,134,0,0,134,0,0,134,16,8017,7998,26922,8160,17.69,567083008
20,135,133,0,0,133,0,0,133,15,8024,8003,27457,8155,13.05,567046144
21,135,137,0,0,137,0,0,137,15,0,0,0,0,0,0
22,135,134,0,0,134,0,0,134,14,8033,8016,27969,8155,16.13,567267328
23,135,135,0,0,135,0,0,135,13,8061,8028,28070,8157,16.07,567369728
24,135,136,0,0,136,0,0,136,15,8071,8056,28553,8157,15.37,567320576
25,130,128,0,0,128,0,0,128,13,8084,8066,29063,8155,15.14,567312384
26,140,132,0,0,132,0,0,132,15,7830,7812,29540,8157,16.85,567377920
27,135,142,0,0,142,0,0,142,15,7842,7820,30096,8155,14.24,567345152
28,135,137,0,0,137,0,0,137,15,7848,7830,30348,8150,15.06,567230464
29,135,135,0,0,135,0,0,135,16,7897,7874,30661,8156,16.14,567599104
30,135,136,0,0,136,0,0,136,14,7919,7900,31155,8158,15.94,567214080
31,135,135,0,0,135,0,0,135,17,7927,7910,31635,8153,17.06,567238656
32,135,134,0,0,134,0,0,134,13,7951,7934,32161,8151,20.2,567173120
33,135,136,0,0,136,0,0,136,16,7965,7948,32734,8157,16.41,567365632
34,135,134,0,0,134,0,0,134,23,7990,7958,25517,8156,18.88,567316480
35,135,136,0,0,136,0,0,136,16,7989,7973,25970,8152,14.53,567201792
36,135,134,0,0,134,0,0,134,14,8000,7981,26515,8155,15.01,567291904
37,135,134,0,0,134,0,0,134,15,8012,7990,26984,8154,16.89,567332864
38,131,130,0,0,130,0,0,130,13,8022,8004,27541,8156,12.54,567250944
39,134,136,0,0,136,0,0,136,15,8034,8014,27686,8151,15.7,567250944
40,139,131,0,0,132,0,0,132,16,0,0,0,0,0,0
41,136,144,0,0,143,0,0,143,14,8058,8028,28115,8154,15.09,567275520
42,135,134,0,0,134,0,0,134,17,8073,8056,28620,8156,12.36,567283712
43,135,133,0,0,133,0,0,133,13,8083,8060,29078,8151,15.49,567304192
44,135,138,0,0,138,0,0,138,15,8097,8082,29602,8154,15.93,567312384
45,135,136,0,0,136,0,0,136,18,8110,8092,30131,8157,13.77,567349248
