second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,7697,7680,1064,29,1.33,231919616
2,384,221,237,0,0,0,0,237,254,7648,7493,2598,211,8.26,218476544
3,25,270,254,0,0,0,0,254,205,8685,7965,5520,674,51.75,209846272
4,120,0,1,0,0,0,0,1,120,8463,8411,1746,30,29.24,195350528
5,550,145,144,0,0,0,0,144,593,8387,7594,6436,767,19.74,211451904
6,116,267,267,0,0,0,0,267,530,9080,7863,10726,998,53.5,305299456
7,273,298,298,0,0,0,0,298,362,0,0,0,0,0,0
8,36,256,263,0,0,0,0,263,378,9069,8001,8937,808,45.46,289251328
9,31,160,153,0,0,0,0,153,31,8621,8218,1965,193,53.7,266014720
12,295,118,125,0,0,0,0,125,295,8112,7795,4355,436,4.04,221126656
13,343,283,276,0,0,0,0,276,237,8435,7889,5447,386,49.11,241270784
14,102,339,339,0,0,0,0,339,265,8648,8003,6167,688,44.11,243900416
16,675,6,8,0,0,0,0,8,669,0,0,0,0,0,0
17,55,147,145,0,0,0,0,145,686,9727,8162,15050,1752,29.47,347283456
18,196,418,419,0,0,0,0,419,582,0,0,0,0,0,0
19,496,223,222,0,0,0,0,222,628,10176,9013,10928,828,62.85,335859712
20,61,52,52,0,0,0,0,52,655,10603,9353,19321,1746,43.16,422883328
21,189,437,437,0,0,0,0,437,641,10172,8506,15367,1886,48.49,409206784
22,30,410,410,0,0,0,0,410,390,9775,8684,9355,1129,56.31,331161600
23,0,9,9,0,0,0,0,9,0,9047,8881,4449,32,36.56,294006784
24,406,20,24,0,0,0,0,24,406,9793,8900,13183,1202,22.51,345456640
25,0,386,382,0,0,0,0,382,0,9558,9473,3310,31,50,264101888
26,210,16,16,0,0,0,0,16,199,9436,8960,7703,612,17.51,284778496
27,411,232,232,0,0,0,0,232,377,0,0,0,0,0,0
28,70,276,277,0,0,0,0,277,211,10328,9440,7456,776,47.5,293359616
29,390,207,209,0,0,0,0,209,379,10599,10172,3354,241,55.27,229040128
30,214,232,232,0,0,0,0,232,341,11512,10747,6090,588,51.91,255545344
31,150,304,320,0,0,0,0,320,357,0,0,0,0,0,0
32,483,195,176,0,0,0,0,176,483,11945,11490,4060,352,47.28,280977408
33,0,223,225,0,0,0,0,225,0,12152,11284,9901,1413,39.23,289017856
34,320,244,244,0,0,0,0,244,320,11968,11655,1453,29,54.71,248102912
35,36,266,267,0,0,0,0,267,319,12292,11490,7809,941,33.06,273268736
36,923,111,108,0,0,0,0,108,901,13077,11652,12060,1521,39.59,301125632
37,115,38,38,0,0,0,0,38,1012,0,0,0,0,0,0
38,248,342,344,0,0,0,0,344,980,13365,11108,21356,2290,51.32,446091264
39,111,113,111,0,0,0,0,111,936,0,0,0,0,0,0
40,18,437,444,0,0,0,0,444,889,13736,11306,21248,2683,47.01,491524096
41,0,463,456,0,0,0,0,456,0,13608,12554,13088,792,62.96,481079296
43,65,65,65,0,0,0,0,65,65,12359,12274,10378,29,11.64,446087168
44,30,0,0,0,0,0,0,0,30,11765,11745,10378,29,0.37,447426560
45,0,30,30,0,0,0,0,30,0,11855,11805,10031,29,6.01,451346432
49,466,30,31,0,0,0,0,31,460,10967,10260,6699,881,14.35,394600448
50,196,154,166,0,0,0,0,166,530,11532,10352,11848,1442,47.3,348250112
51,0,391,378,0,0,0,0,378,0,0,0,0,0,0,0
52,118,122,122,0,0,0,0,122,83,10878,10598,1671,28,58.06,278917120
53,305,83,83,0,0,0,0,83,305,10064,9961,873,29,10.75,192258048
54,94,215,215,0,0,0,0,215,399,10340,9548,8479,1166,17.71,251572224
55,227,316,319,0,0,0,0,319,188,10523,9988,3893,442,51.59,224694272
