second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,31,0,0,0,0,0,0,0,31,5734,5723,32856,5133,1.71,975540224
2,197,0,202,0,0,0,0,202,228,5516,5446,33464,5246,3,978538496
3,263,0,270,0,0,0,0,270,491,5945,5446,21608,5909,32.6,929669120
4,122,0,44,0,0,0,0,44,613,6439,5446,25838,6606,25.22,786153472
5,218,0,292,0,0,0,0,292,831,6441,5166,30326,7439,14.68,804798464
6,292,0,258,0,0,0,0,258,1123,7056,5166,34215,8009,34.59,836681728
7,255,0,277,0,0,0,0,277,1378,7171,4690,39498,8645,36.89,881061888
8,208,0,243,0,0,0,0,243,1586,7573,4532,45382,9370,33.37,946479104
9,31,0,31,0,0,0,0,31,1617,7777,4532,44089,9247,13.99,946982912
12,220,202,192,202,202,202,0,798,1635,7192,3950,45810,9151,21.98,958627840
13,219,270,221,270,270,270,0,1031,1651,7569,4383,48216,9150,31.49,982892544
14,285,44,251,44,44,44,0,383,1825,0,0,0,0,0,0
15,16,287,76,292,292,288,0,948,1841,8166,4516,53200,9942,42.64,1018560512
16,183,252,133,247,247,251,0,878,1499,7977,5002,50422,9250,7.16,1011601408
17,382,132,75,132,132,132,0,471,1735,8161,5234,53306,9589,30.13,1045700608
18,366,143,9,143,143,143,0,438,1958,8372,5308,59777,10489,31.5,1108238336
19,31,268,248,268,268,268,0,1052,1978,8667,5474,49807,10314,29.73,1106595840
20,193,18,317,18,18,18,0,371,1899,9154,5732,52416,10298,39.25,1111617536
21,108,0,448,0,0,0,0,448,2004,0,0,0,0,0,0
22,206,174,194,178,174,174,0,720,2071,9737,5732,55552,10710,35.13,1153908736
23,218,158,191,167,170,167,0,695,2167,10332,6205,59520,11212,30.04,1188966400
24,15,332,87,319,320,323,0,1049,2039,10328,6629,58081,10717,21.65,1202688000
25,157,76,118,76,76,76,0,346,1860,9729,6051,59844,10802,19.83,1225584640
26,182,128,194,133,133,133,0,593,1974,0,0,0,0,0,0
27,165,80,94,75,75,75,0,319,1999,9984,6169,53293,11030,34.49,1207808000
28,317,9,197,9,9,9,0,224,2307,9931,5819,57213,11435,27.79,1217130496
29,206,107,7,117,108,107,0,339,2508,9774,5199,63424,12458,30.37,1254768640
30,67,411,443,405,410,411,0,1669,2408,10280,6185,61555,11669,32.37,1248096256
31,318,306,77,305,309,309,0,1000,2074,0,0,0,0,0,0
32,405,63,14,75,64,60,0,213,2442,10741,6809,65960,12143,31.59,1278312448
33,34,374,259,369,370,374,0,1372,2417,11810,7671,68778,12072,31.05,1330237440
34,95,224,359,214,224,224,0,1021,1981,0,0,0,0,0,0
35,74,118,225,118,118,118,0,579,2002,12013,8119,69340,11978,30.3,1362534400
36,289,137,152,136,136,136,1,560,2055,12399,8596,56490,11971,29.19,1292226560
37,265,134,195,134,134,134,0,597,2186,0,0,0,0,0,0
38,143,91,73,102,101,91,0,367,2286,13154,8962,64007,12823,28.93,1310494720
39,151,131,427,120,121,131,0,799,2264,13702,9338,61414,12856,31.45,1305903104
40,222,369,45,369,369,369,0,1152,2416,0,0,0,0,0,0
41,421,17,82,17,17,17,0,133,2515,0,0,0,0,0,0
42,244,74,30,74,74,74,0,252,2751,14081,9422,69021,14675,32.36,1378684928
43,205,91,100,97,96,95,0,388,2824,0,0,0,0,0,0
44,7,155,438,200,150,151,0,939,2799,14366,9474,72208,14937,30.06,1392181248
45,124,164,284,117,168,168,0,737,2611,14508,9656,71512,14223,32.32,1393119232
46,24,657,186,655,655,655,0,2151,2624,0,0,0,0,0,0
47,55,197,171,195,195,195,0,756,2031,14019,10040,68965,13056,32.61,1405784064
48,30,73,30,73,73,73,0,249,1793,13811,10202,67083,12248,8.47,1395253248
49,0,400,0,401,401,400,0,1202,0,13591,10556,65171,11501,9.6,1387995136
50,0,72,0,71,71,72,0,214,0,13315,10658,63882,11194,4.35,1381310464
51,0,82,0,82,82,82,0,246,0,13299,10810,63285,11030,4.9,1378410496
52,29,30,0,30,30,30,0,90,1238,12637,10170,63263,11006,3.47,1379282944
53,233,77,219,95,94,90,0,498,1394,12557,9810,67045,11557,29.3,1417801728
54,324,183,48,165,166,170,0,549,1571,0,0,0,0,0,0
55,82,408,260,459,440,408,0,1567,1603,12804,10418,69051,11537,32.97,1447383040
56,37,288,170,246,261,293,0,970,1210,0,0,0,0,0,0
57,172,222,146,213,217,217,0,793,959,12806,10911,43666,10988,23.86,1368817664
58,180,30,193,30,30,30,0,283,1058,13165,11309,44245,11380,24.01,1328902144
59,259,0,238,0,0,0,0,238,1317,13591,11161,49968,12314,29.81,1131327488
60,242,0,255,0,0,0,0,255,1559,12820,9762,55729,13284,30.17,1156268032
61,295,0,181,0,0,0,0,181,1854,0,0,0,0,0,0
62,346,0,47,0,0,0,0,47,2200,13309,9649,62552,14403,24.63,1194766336
63,41,87,222,101,98,91,0,512,2209,13325,9011,65778,14598,31.54,1192722432
64,368,46,202,32,35,42,0,311,2476,0,0,0,0,0,0
65,30,148,364,148,148,148,0,808,2480,13315,8923,71008,15098,30.39,1232896000
66,87,416,138,416,413,413,3,1380,2359,13223,9256,68742,14115,31.12,1240473600
67,108,146,150,146,146,146,0,588,2133,13303,9182,71190,14171,22.79,1274671104
68,0,158,0,171,158,158,0,487,0,13187,9474,69527,13462,6.45,1269592064
69,209,245,192,260,253,250,0,955,1838,12921,9364,71555,13563,26.81,1315414016
70,248,243,174,217,237,239,0,867,1823,0,0,0,0,0,0
71,249,171,138,169,169,170,0,646,1880,13081,9642,73628,13734,30.94,1364623360
72,250,51,145,51,51,51,0,298,2079,0,0,0,0,0,0
73,265,23,154,22,22,22,1,220,2321,13738,9583,83985,15139,27.56,1448562688
74,297,4,0,4,4,4,0,12,2614,0,0,0,0,0,0
75,75,329,134,456,429,334,0,1353,2689,0,0,0,0,0,0
76,31,359,233,296,308,361,0,1198,2193,12426,8692,68947,14901,24.67,1387753472
77,44,281,363,218,232,274,0,1087,2026,0,0,0,0,0,0
78,223,127,189,126,127,127,0,569,1891,12621,9251,67196,13354,31.03,1361711104
79,135,109,201,109,109,109,0,528,1938,0,0,0,0,0,0
80,92,239,163,257,257,252,0,929,1967,12352,8615,60612,13676,36.22,1384370176
81,220,156,221,138,138,143,0,640,1834,12708,9129,62807,13725,32.47,1384984576
82,251,145,81,145,145,145,0,516,2075,0,0,0,0,0,0
83,103,154,259,154,154,154,0,721,1963,13151,9229,61382,13830,30.67,1382264832
84,428,0,53,0,0,0,0,53,2317,0,0,0,0,0,0
85,77,5,224,8,7,7,0,246,2389,12830,8545,69762,15213,28.8,1414733824
86,77,236,336,276,235,234,0,1081,2411,12650,8157,69477,14709,31.64,1431244800
87,156,444,141,442,479,446,0,1508,2232,0,0,0,0,0,0
88,159,234,188,193,198,232,0,811,1926,12580,8758,65483,13909,26.33,1400463360
89,0,201,0,201,201,201,0,603,0,12858,9127,66794,13681,22.63,1406861312
90,0,163,0,163,163,163,0,489,0,12858,9513,65243,13204,7.09,1396903936
91,0,221,0,221,221,221,0,663,0,12858,10048,62961,12434,7.24,1385205760
92,0,81,0,81,81,81,0,243,0,12858,10401,61735,11637,9.36,1370296320
93,0,253,0,253,253,253,0,759,0,12724,10747,59793,11018,5.27,1357369344
94,0,59,0,59,59,59,0,177,0,12592,10801,59146,10803,4.94,1352765440
95,70,224,37,224,223,223,1,707,900,11559,10121,58682,10466,13.31,1345556480
96,207,336,203,336,336,336,0,1211,821,0,0,0,0,0,0
97,191,9,27,9,9,9,0,54,788,11805,10601,49470,10028,33.2,1309487104
98,154,237,130,241,237,237,0,845,921,11780,10653,40295,10281,20.9,1162731520
99,124,83,306,79,83,83,0,551,746,11324,9915,39213,10258,35.69,1008410624
100,262,0,276,0,0,0,0,276,1008,11552,9541,44636,10894,32.68,1025794048
101,55,0,84,0,0,0,0,84,1063,0,0,0,0,0,0
103,104,0,58,0,0,0,0,58,1167,11517,9378,45338,10314,1.65,1021997056
104,25,0,71,0,0,0,0,71,1192,11767,9370,47662,10513,14.16,1036574720
105,0,37,0,37,37,37,0,111,0,11243,8846,47662,10513,0.74,1036881920
106,0,199,0,200,200,200,0,600,0,10545,8466,46405,10057,7.28,1027768320
107,0,31,0,30,30,30,0,90,0,9828,7956,45595,9786,3.35,1022275584
108,275,17,91,17,17,17,0,142,1183,9736,7712,47739,10140,11.19,1036464128
109,186,356,182,365,359,358,0,1264,1316,0,0,0,0,0,0
110,147,283,239,278,280,281,0,1078,1012,9899,7904,43284,10385,26.64,1022906368
111,247,140,210,136,140,140,0,626,984,9798,8149,42944,10323,31.73,1034186752
112,365,0,3,0,0,0,0,3,1349,10298,8107,51233,11803,25.63,1079939072
113,67,58,541,58,58,58,0,715,1378,10528,7814,52522,11574,33.6,1136017408
114,360,71,60,71,71,71,0,273,1647,0,0,0,0,0,0
115,29,0,350,0,0,0,0,350,1676,11073,7946,58932,12264,31.98,1183485952
118,0,91,0,91,91,91,0,273,0,9482,6275,52734,11764,2.77,1106186240
119,0,82,0,178,143,84,0,405,0,9080,5990,52421,11410,5.75,1104052224
120,119,339,92,243,278,337,0,950,1419,9115,6556,50949,10632,14.36,1093455872
121,202,210,195,210,210,210,0,825,1385,8825,6272,53571,10627,28.92,1111293952
122,242,3,236,3,3,3,0,245,1514,0,0,0,0,0,0
123,211,398,162,399,399,398,0,1358,1587,8869,5774,58671,11121,32.57,1158397952
124,257,203,127,202,202,203,0,734,1508,9237,6815,59990,10753,26.69,1185976320
125,137,268,300,287,281,269,0,1137,1411,8751,6037,61424,10649,32.36,1230815232
126,230,82,266,63,69,81,0,479,1398,9176,6393,64752,11024,38.79,1283235840
127,158,0,154,0,0,0,0,154,1556,0,0,0,0,0,0
128,0,0,24,0,0,0,0,24,0,9052,5929,49404,11355,27.04,1230860288
130,108,81,87,84,82,81,0,334,1609,8860,5738,49404,11080,0.55,1226461184
131,206,177,191,174,176,177,0,718,1612,9188,6053,51407,11091,30.3,1230741504
132,168,250,181,253,250,250,0,934,1613,9630,6534,49312,10875,32.81,1219813376
133,316,138,164,135,138,138,0,575,1708,0,0,0,0,0,0
134,129,54,162,67,63,57,0,349,1806,10378,7036,55843,11317,32.52,1238605824
135,64,412,206,399,403,409,0,1417,1781,10781,7713,50084,10710,36.12,1239384064
136,0,254,0,254,254,254,0,762,0,10414,7822,47868,10123,8.74,1226924032
137,111,166,74,166,166,166,0,572,1126,10391,8226,47213,9832,10.49,1219923968
138,308,24,215,24,24,24,0,287,1410,0,0,0,0,0,0
139,157,0,265,0,0,0,0,265,1567,10505,7646,55990,11011,28.73,1259806720
140,0,86,22,86,86,86,0,280,0,10186,7042,48464,10863,15.35,1269575680
141,0,192,0,192,192,192,0,576,0,9868,7106,46860,10262,5.14,1258860544
142,54,146,17,164,147,146,0,474,1197,9868,7554,45193,9537,6.83,1244557312
143,212,199,204,181,198,199,0,782,1210,10075,7712,48160,9810,37.63,1246998528
144,345,30,56,30,30,30,0,146,1525,0,0,0,0,0,0
145,75,337,285,338,337,337,0,1297,1576,10578,8169,45351,9981,28.87,1215643648
146,53,1,177,0,1,1,0,179,1315,11088,8448,43103,9952,30.68,1219452928
147,0,74,0,74,74,74,0,222,0,11088,8486,42966,9774,1.28,1182642176
148,0,215,0,215,215,215,0,645,0,10906,8784,40968,9074,5.51,1168330752
149,147,117,102,222,151,117,0,592,1169,10402,8106,42446,9228,19.84,1171218432
150,210,170,182,65,136,170,0,553,1096,0,0,0,0,0,0
151,126,0,199,0,0,0,0,199,1222,10386,8168,40525,9640,29.5,1173868544
152,0,17,0,17,17,17,0,51,0,10604,8150,42192,9898,12.39,1188749312
153,98,204,98,204,204,204,0,710,1142,9867,7620,41631,9720,8.55,1183633408
154,278,56,104,56,56,56,0,272,1321,9944,7501,45390,10472,28.12,1202798592
155,67,285,216,285,285,285,0,1071,1160,9539,7371,43619,10070,21.67,1199108096
156,238,177,210,177,177,177,0,741,1164,0,0,0,0,0,0
157,167,0,220,0,0,0,0,220,1331,10119,7725,47739,10460,35.34,1219936256
158,113,0,12,0,0,0,0,12,1444,10397,7725,45389,10423,16.71,1233518592
159,286,31,25,41,31,31,0,128,1708,10717,7724,51303,11457,14.92,1256026112
160,82,248,419,243,253,253,0,1168,1704,11202,8086,49883,10908,35.67,1245634560
161,378,141,63,136,136,136,0,471,1770,0,0,0,0,0,0
162,216,63,145,63,63,63,0,334,1923,10998,7781,56464,11830,28.45,1283026944
163,332,40,84,44,40,40,0,208,2234,0,0,0,0,0,0
164,106,90,272,99,103,103,0,577,2235,11405,7520,59627,12838,28.52,1335812096
165,8,245,359,243,237,233,0,1072,2197,10765,6739,58730,12597,38.63,1332240384
166,117,253,259,242,248,252,0,1001,1995,0,0,0,0,0,0
167,0,220,0,220,220,220,0,660,0,10647,7078,58295,12309,23.89,1336053760
168,41,12,0,12,12,12,0,36,1667,10561,7276,57157,12016,3.33,1330593792
169,176,24,181,24,24,24,0,253,1819,10768,7300,59472,11974,14.73,1348587520
170,179,408,177,409,409,409,0,1404,1883,11075,7858,53935,11865,31.28,1342332928
171,192,75,203,74,74,74,0,425,1707,11221,7888,56352,11823,30.41,1341767680
172,172,145,156,145,144,144,1,589,1805,10772,7359,53734,11769,29.78,1334116352
173,218,22,211,36,32,32,0,311,1951,0,0,0,0,0,0
174,117,334,141,320,324,324,0,1109,1917,11236,7477,57193,12172,34.2,1342431232
175,258,106,106,109,109,109,0,433,1865,10956,7611,57016,11558,24.45,1334583296
176,110,460,227,475,475,457,0,1634,1969,11301,8387,52896,11648,28.4,1320873984
177,0,52,61,34,34,52,0,181,0,11442,8507,52472,11467,10.66,1320415232
