second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,43,0,0,0,0,0,0,0,43,4292,4273,489,28,4.23,79855616
2,432,258,0,0,258,0,0,258,217,4109,4043,1461,178,8.02,108879872
3,16,233,0,0,233,0,0,233,233,4321,4001,5239,933,51.15,166670336
4,101,63,0,0,68,0,0,68,50,4190,4171,3576,606,20.16,160940032
5,365,286,0,0,281,0,0,281,117,4253,4191,4572,836,23.5,181923840
6,271,341,0,0,346,0,0,346,213,4780,4425,7924,1551,52.32,208433152
7,330,332,0,0,334,0,0,334,131,5060,4863,8274,1772,48.6,231047168
8,59,90,0,0,83,0,0,83,45,5301,5281,7837,1735,36.54,225763328
9,0,14,0,0,14,0,0,14,0,5091,5071,8149,1766,6.13,227356672
11,52,6,0,0,18,0,0,18,46,4549,4529,8149,1766,0.19,227745792
12,339,296,0,0,287,0,0,287,96,4773,4669,9432,2124,25.96,235008000
13,349,438,0,0,435,0,0,435,70,5197,5113,8995,2482,37.67,240812032
15,35,12,0,0,12,0,0,12,26,4956,4936,9041,2512,0.19,242651136
16,534,207,0,0,207,0,0,207,350,0,0,0,0,0,0
17,522,0,0,0,0,0,0,0,872,5843,5162,20154,4798,29.63,368295936
18,88,204,0,0,209,0,0,209,756,6680,5570,23241,5083,32.27,421380096
19,114,763,0,0,758,0,0,758,758,7076,6794,19287,4195,39.03,410640384
20,299,378,0,0,378,0,0,378,118,7766,7703,19368,4144,34.86,403030016
21,95,123,0,0,123,0,0,123,45,8115,8094,19532,4240,19.29,404967424
22,15,15,0,0,15,0,0,15,15,8146,8126,19692,4256,2.65,405262336
24,287,269,0,0,270,0,0,270,58,8711,8662,20817,4574,34.41,411017216
25,119,137,0,0,136,0,0,136,34,0,0,0,0,0,0
26,157,114,0,0,114,0,0,114,51,8958,8938,21200,4661,10.37,412684288
27,334,348,0,0,350,0,0,350,55,9306,9232,21989,4912,20.37,418041856
28,200,229,0,0,227,0,0,227,43,10046,9986,22869,5268,38.3,433455104
29,402,145,0,0,145,0,0,145,257,10476,10392,23832,5487,21.61,438398976
30,352,246,0,0,246,0,0,246,363,11179,11082,27670,6171,33.5,485343232
31,114,445,0,0,445,0,0,445,50,11806,11786,22107,6142,33.7,508030976
