second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,124,0,120,0,0,0,0,120,124,7890,7878,30000,6812,17.23,1043980288
1,146,0,147,0,0,0,0,147,270,7887,7630,27286,7029,13.59,995201024
2,135,0,136,0,0,0,0,136,405,7935,7344,26034,7389,27.51,857796608
3,135,0,133,0,0,0,0,133,540,7940,7064,28555,7666,15.08,709681152
4,135,0,135,0,0,0,0,135,675,8019,6848,30243,7968,15.69,659496960
5,135,0,134,0,0,0,0,134,810,8001,6542,32822,8255,17.45,683290624
6,135,0,136,0,0,0,0,136,945,8025,6285,35353,8537,13.43,708775936
7,132,0,132,0,0,0,0,132,1077,8036,6009,37928,8820,13.74,731607040
8,138,0,126,0,0,0,0,126,1215,8049,5721,40677,9127,20,776187904
9,136,0,148,0,0,0,0,148,1351,8073,5456,41072,9412,18.19,780591104
10,131,120,132,120,120,120,0,492,1368,7836,5118,42906,9508,18.35,798855168
11,138,147,138,147,147,147,0,579,1404,7831,5120,44347,9503,16.46,817336320
12,135,134,134,135,135,134,0,538,1374,7903,5173,45873,9525,25.76,829476864
13,135,134,135,134,134,134,0,537,1374,7878,5160,47247,9501,18.97,852496384
14,135,136,135,135,135,136,0,541,1366,7877,5164,48688,9510,24.4,873848832
15,125,125,124,125,125,125,0,499,1369,0,0,0,0,0,0
16,142,140,142,142,140,140,0,564,1375,7923,5211,50147,9503,17.94,905887744
17,138,137,140,135,137,137,0,549,1368,7931,5202,51641,9520,20.36,932380672
18,135,123,92,123,123,123,0,461,1375,7931,5212,53025,9506,17.54,956067840
19,135,151,177,151,151,151,0,630,1372,7942,5228,42350,9511,23.93,947023872
20,135,132,136,132,132,132,0,532,1370,7961,5239,43829,9514,24.13,951468032
21,135,136,127,138,137,136,0,538,1367,7977,5257,45226,9508,18.09,951476224
22,129,128,137,126,127,128,0,518,1369,7986,5278,41981,9526,21.9,956751872
23,141,142,139,143,142,142,0,566,1367,8036,5306,43433,9526,20.21,956841984
24,135,135,135,135,136,135,0,541,1368,8052,5328,44831,9529,19.65,960114688
25,135,125,136,124,124,125,0,509,1366,8039,5320,46229,9514,21.46,963940352
26,135,142,134,142,142,142,0,560,1368,8066,5344,47612,9516,18.15,982171648
27,135,139,136,140,140,139,0,555,1367,7802,5088,49083,9511,14.19,996089856
28,133,91,133,90,90,91,0,404,1399,7833,5080,50612,9536,16.28,1004838912
29,135,177,134,177,177,177,0,665,1406,8052,5334,51975,9513,17.63,1005490176
30,137,138,138,138,138,138,0,552,1372,8338,5614,53433,9514,19.85,1014063104
31,135,125,136,125,125,125,0,511,1368,8621,5904,54842,9508,17.24,1018109952
32,135,139,134,139,139,139,0,551,1369,8907,6188,42596,9512,23.59,1007034368
33,135,139,132,139,139,139,0,549,1366,9192,6471,44048,9513,17.79,1011441664
34,135,127,131,133,127,127,0,518,1371,0,0,0,0,0,0
35,134,141,139,136,142,141,0,558,1371,9477,6756,45457,9512,20.01,1013874688
36,136,136,139,136,135,136,0,546,1369,9761,7038,42612,9508,24.71,1016000512
37,135,135,135,135,135,135,0,540,1369,10048,7325,44065,9512,15.49,1016221696
38,132,127,126,131,132,129,0,518,1367,10334,7615,45521,9516,16.01,1018314752
39,138,142,143,137,137,140,0,557,1369,10621,7899,42173,9515,22.65,1019772928
40,135,137,131,137,137,137,0,542,1368,10751,8031,43643,9514,21.73,1028136960
41,125,125,130,125,125,125,0,505,1368,10754,8035,45089,9513,20.46,1031204864
42,142,143,141,143,143,143,0,570,1395,10767,7969,42222,9575,21.72,1033035776
43,138,127,138,128,127,127,0,520,1370,10787,8064,43478,9520,17.13,1036070912
44,135,138,136,138,138,138,0,550,1369,10798,8078,44915,9522,20.73,1044144128
