second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,131,0,0,131,0,0,131,8,1921,1905,496,30,0,76361728
1,135,135,0,0,135,0,0,135,7,1662,1636,1075,185,20.58,108613632
2,135,135,0,0,135,0,0,135,7,1564,1539,1938,316,15.66,116166656
3,135,136,0,0,136,0,0,136,7,1834,1809,2375,457,21.04,128770048
4,135,134,0,0,135,0,0,135,8,2110,2081,2804,596,19.49,138973184
5,135,134,0,0,133,0,0,133,8,2384,2357,3108,730,23.3,148631552
6,135,134,0,0,134,0,0,134,9,2427,2401,3540,869,22.51,155369472
7,135,135,0,0,136,0,0,136,9,2150,2125,3969,1007,29.49,166158336
8,135,138,0,0,137,0,0,137,8,2213,2189,4300,1148,13.09,167030784
9,135,134,0,0,134,0,0,134,7,2488,2463,4704,1281,14.04,171778048
10,135,136,0,0,136,0,0,136,7,2762,2737,5116,1419,11.56,171515904
11,135,135,0,0,135,0,0,135,8,3037,3011,5553,1554,12.32,180510720
12,135,133,0,0,133,0,0,133,8,3312,3287,5884,1690,12.69,185974784
13,135,136,0,0,136,0,0,136,8,3587,3563,6304,1828,15.89,190836736
14,135,132,0,0,132,0,0,132,9,3859,3835,6727,1963,16.71,195018752
15,135,134,0,0,134,0,0,134,8,4138,4114,7080,2101,12.95,202166272
16,135,138,0,0,138,0,0,138,9,4412,4391,7523,2239,13.38,206675968
17,135,137,0,0,137,0,0,137,8,4686,4667,7939,2375,12.48,211021824
18,135,136,0,0,136,0,0,136,11,4964,4941,8411,2516,10.45,219328512
19,135,134,0,0,134,0,0,134,9,5240,5219,8789,2655,15.27,222142464
20,135,134,0,0,134,0,0,134,9,5517,5495,9275,2795,13.85,226496512
21,135,134,0,0,134,0,0,134,9,5796,5774,9716,2932,10.28,231505920
22,135,137,0,0,137,0,0,137,10,6070,6050,10046,3070,13.51,241074176
23,135,135,0,0,136,0,0,136,9,6351,6327,10519,3210,10.24,244346880
24,135,134,0,0,133,0,0,133,11,6628,6605,10984,3351,14.23,249495552
25,135,135,0,0,135,0,0,135,11,6904,6879,11457,3489,13.24,258293760
26,135,134,0,0,134,0,0,134,10,7185,7158,11826,3625,12.6,263421952
27,135,134,0,0,134,0,0,134,12,7464,7440,11928,3774,16.47,268419072
28,135,136,0,0,136,0,0,136,13,7748,7720,12429,3928,13.6,276885504
29,135,137,0,0,137,0,0,137,10,7902,7876,12896,4064,14.27,281948160
30,135,134,0,0,134,0,0,134,10,7912,7890,13378,4202,13.49,288403456
31,135,135,0,0,135,0,0,135,11,7919,7894,13745,4343,14.85,294772736
32,135,136,0,0,136,0,0,136,9,7934,7910,14275,4483,16.66,298868736
33,135,135,0,0,135,0,0,135,11,7942,7916,14786,4623,15.72,303104000
34,135,134,0,0,134,0,0,134,11,7957,7929,15174,4772,14.03,311001088
35,135,136,0,0,136,0,0,136,11,7970,7946,15726,4913,14.19,316448768
36,135,134,0,0,134,0,0,134,11,7980,7956,16239,5054,16.71,324624384
37,135,134,0,0,134,0,0,134,17,0,0,0,0,0,0
38,135,136,0,0,136,0,0,136,11,7996,7974,16278,5191,19.15,326533120
39,135,133,0,0,133,0,0,133,11,8013,7982,16747,5341,18.76,331272192
40,135,139,0,0,139,0,0,139,12,8026,8004,17144,5483,14.01,339062784
41,135,134,0,0,134,0,0,134,11,8040,8018,17671,5625,16.82,343572480
42,135,135,0,0,135,0,0,135,11,8053,8028,18135,5760,12.89,347283456
43,135,134,0,0,134,0,0,134,12,8065,8040,18560,5906,16.42,355024896
44,135,134,0,0,134,0,0,134,11,8080,8056,19076,6047,15.7,359297024
45,135,137,0,0,137,0,0,137,13,8094,8070,19563,6189,14.96,363503616
46,135,135,0,0,135,0,0,135,12,8108,8084,20006,6332,13.62,371904512
47,135,134,0,0,134,0,0,134,14,8112,8088,20235,6473,15.7,377417728
48,134,133,0,0,133,0,0,133,37,7882,7836,20697,6649,20.35,383381504
49,136,120,0,0,120,0,0,120,41,7875,7830,21201,6801,16.38,391110656
50,130,147,0,0,147,0,0,147,25,7928,7902,21650,6919,17.94,400109568
51,140,134,0,0,134,0,0,134,14,7949,7922,22206,7065,16.01,403836928
52,135,134,0,0,135,0,0,135,12,7959,7934,22732,7209,11.33,411725824
53,133,140,0,0,139,0,0,139,14,0,0,0,0,0,0
54,133,133,0,0,133,0,0,133,13,7978,7952,22760,7356,12.81,417271808
55,139,133,0,0,134,0,0,134,12,8007,7984,23268,7497,13.43,422514688
56,128,127,0,0,126,0,0,126,13,8017,7992,23783,7640,12.66,426405888
57,142,146,0,0,146,0,0,146,19,8037,8010,24253,7778,10.24,434479104
58,135,135,0,0,135,0,0,135,13,8049,8026,24800,7922,14.25,438702080
59,135,139,0,0,139,0,0,139,15,8051,8028,25329,8060,14.16,442486784
60,135,135,0,0,135,0,0,135,13,8069,8042,25660,8155,14.03,454754304
61,135,135,0,0,135,0,0,135,13,8082,8053,25853,8153,17.99,458416128
62,135,133,0,0,133,0,0,133,16,8113,8086,26388,8160,16.25,458788864
63,135,134,0,0,134,0,0,134,14,8126,8102,26764,8152,17.48,459685888
64,135,138,0,0,138,0,0,138,14,7861,7836,27337,8163,21.39,460623872
65,135,135,0,0,135,0,0,135,13,7873,7845,27866,8161,17.03,461627392
66,135,135,0,0,135,0,0,135,23,7884,7860,25424,8166,16.09,464351232
67,135,133,0,0,133,0,0,133,14,7913,7886,25977,8161,15.74,467435520
68,135,136,0,0,136,0,0,136,15,7921,7898,26357,8160,16.8,471293952
69,135,134,0,0,134,0,0,134,14,7929,7904,26919,8160,15.58,471597056
70,132,132,0,0,132,0,0,132,15,7939,7914,27407,8159,14.45,471904256
71,138,132,0,0,132,0,0,132,14,7952,7930,27857,8162,17.63,472096768
72,135,136,0,0,136,0,0,136,13,7969,7944,28028,8152,15.57,473284608
73,135,131,0,0,131,0,0,131,15,0,0,0,0,0,0
74,135,146,0,0,146,0,0,146,15,7991,7964,28474,8164,13.63,473862144
75,135,135,0,0,135,0,0,135,14,8009,7984,29018,8162,17.76,474152960
76,135,135,0,0,135,0,0,135,14,8022,8001,29542,8158,15.75,475176960
77,135,134,0,0,134,0,0,134,15,8036,8015,29952,8156,15.31,475389952
78,135,136,0,0,136,0,0,136,15,8047,8024,30500,8161,12.93,476434432
79,135,134,0,0,134,0,0,134,13,8055,8033,30575,8168,14.04,481124352
80,135,136,0,0,136,0,0,136,15,8086,8065,31117,8164,20.02,481394688
81,135,133,0,0,133,0,0,133,16,8098,8077,31646,8162,15.42,486113280
82,135,136,0,0,136,0,0,136,19,8109,8089,32039,8164,16.39,490708992
83,135,136,0,0,137,0,0,137,15,8122,8101,32626,8164,14.79,490946560
84,134,133,0,0,132,0,0,132,18,8120,8098,32826,8157,13.78,492011520
85,131,130,0,0,130,0,0,130,14,7875,7854,33153,8162,15.73,492945408
86,140,132,0,0,132,0,0,132,16,7884,7866,33703,8163,14.01,493019136
87,135,145,0,0,145,0,0,145,15,7903,7886,34167,8162,16.64,495206400
88,135,134,0,0,134,0,0,134,15,7913,7895,34708,8163,14.21,495370240
89,135,136,0,0,136,0,0,136,16,7918,7901,35230,8168,13.93,498405376
90,135,134,0,0,134,0,0,134,17,7931,7911,35355,8175,14.98,504283136
91,135,136,0,0,136,0,0,136,15,7962,7946,35838,8170,17.27,504360960
92,135,133,0,0,133,0,0,133,14,7972,7955,36358,8173,17.58,505114624
93,135,137,0,0,137,0,0,137,17,0,0,0,0,0,0
94,135,135,0,0,135,0,0,135,15,7986,7967,36808,8167,15.45,509550592
95,135,135,0,0,135,0,0,135,16,8001,7981,37358,8173,16.63,509968384
96,135,135,0,0,135,0,0,135,15,8008,7989,37631,8162,13.44,512204800
97,135,133,0,0,133,0,0,133,16,8034,7997,37949,8172,17.77,513806336
98,135,135,0,0,135,0,0,135,15,8051,8033,38471,8169,16.06,520802304
99,133,135,0,0,135,0,0,135,15,8060,8041,38902,8174,17.09,521318400
100,137,130,0,0,130,0,0,130,15,8071,8053,39472,8166,17.04,521666560
101,135,130,0,0,130,0,0,130,15,8096,8077,39982,8168,10.73,526336000
102,135,147,0,0,147,0,0,147,16,8110,8093,40106,8183,19.33,527831040
103,135,135,0,0,135,0,0,135,15,7853,7837,40539,8167,15.13,528134144
104,135,133,0,0,133,0,0,133,15,7863,7844,41070,8170,16.64,528986112
105,135,137,0,0,137,0,0,137,16,7879,7860,41550,8169,14.76,530280448
106,135,136,0,0,136,0,0,136,17,7891,7874,42103,8175,13.7,533737472
107,135,134,0,0,134,0,0,134,17,7900,7882,42462,8169,15.49,535474176
108,135,135,0,0,135,0,0,135,28,7923,7905,25660,8171,19.7,536297472
109,135,132,0,0,132,0,0,132,15,7935,7918,26153,8189,14.3,536690688
110,135,137,0,0,137,0,0,137,13,7945,7924,26629,8170,14.95,540102656
111,135,136,0,0,136,0,0,136,13,7955,7940,27187,8173,15.03,540561408
112,135,134,0,0,134,0,0,134,13,7976,7960,27723,8184,16.32,540696576
113,135,136,0,0,136,0,0,136,16,0,0,0,0,0,0
114,131,128,0,0,128,0,0,128,15,7983,7966,27841,8173,15.8,540987392
115,139,134,0,0,134,0,0,134,15,8009,7995,28278,8175,14.26,540676096
116,135,131,0,0,131,0,0,131,17,8036,8021,28774,8173,15.16,540483584
117,135,147,0,0,147,0,0,147,16,8046,8031,29242,8176,17.86,540585984
118,135,135,0,0,135,0,0,135,16,8035,8020,29803,8178,19.36,540680192
119,135,135,0,0,135,0,0,135,16,8049,8028,29917,8169,19.08,540553216
120,135,135,0,0,135,0,0,135,14,8075,8049,30384,8185,16.57,540729344
121,135,134,0,0,134,0,0,134,15,8091,8072,30856,8172,17.05,540553216
122,135,134,0,0,134,0,0,134,22,8104,8085,25583,8173,19.16,531947520
123,135,136,0,0,136,0,0,136,13,8109,8092,26120,8173,14.48,532238336
124,135,137,0,0,137,0,0,137,13,7848,7830,26661,8175,11.67,532525056
125,135,133,0,0,133,0,0,133,15,7861,7846,26753,8180,14.77,532815872
126,135,134,0,0,134,0,0,134,13,7894,7877,27233,8180,10.16,532574208
127,130,130,0,0,130,0,0,130,16,7902,7886,27699,8176,15.76,532578304
128,140,132,0,0,132,0,0,132,13,7924,7906,28222,8175,13.52,532676608
129,135,145,0,0,145,0,0,145,14,7941,7926,28747,8178,11.46,532828160
130,135,134,0,0,134,0,0,134,16,7933,7916,29113,8165,13.34,532574208
131,135,136,0,0,136,0,0,136,14,7965,7934,29348,8180,16.46,532762624
132,135,135,0,0,135,0,0,135,15,7973,7958,29791,8171,17.97,532664320
133,135,135,0,0,135,0,0,135,16,0,0,0,0,0,0
134,135,132,0,0,132,0,0,132,14,7990,7972,30335,8173,12.34,532705280
135,135,135,0,0,135,0,0,135,14,7996,7980,30877,8171,15.4,533098496
136,135,138,0,0,138,0,0,138,14,8015,8001,31298,8170,13.98,533086208
137,135,135,0,0,135,0,0,135,15,8019,8005,31524,8182,14.87,533561344
138,135,135,0,0,135,0,0,135,16,8052,8035,31997,8173,14.24,533135360
139,135,136,0,0,136,0,0,136,17,8068,8051,25479,8176,17.45,533061632
140,135,134,0,0,134,0,0,134,16,8075,8061,26102,8175,14.11,533233664
