second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,35,12,496,17,5.06,78376960
2,323,207,0,0,213,0,0,213,198,171,13,1642,169,2.33,93810688
3,86,236,0,0,237,0,0,237,218,978,427,4294,512,53.31,143847424
4,263,69,0,0,62,0,0,62,248,1233,995,2942,34,58.82,140861440
5,121,242,0,0,242,0,0,242,242,1409,1041,4582,612,21.21,170340352
6,546,57,0,0,57,0,0,57,610,2189,1521,6617,855,53.76,188633088
7,12,123,0,0,128,0,0,128,519,3174,1699,12778,1494,46.97,271826944
8,153,399,0,0,395,0,0,395,496,3349,2183,10655,1120,69.96,292483072
9,31,284,0,0,283,0,0,283,254,3550,3045,8798,335,50.1,264126464
12,314,199,0,0,202,0,0,202,295,3817,3291,12213,787,22.48,274857984
13,380,191,0,0,190,0,0,190,304,4404,3937,4418,368,54.35,266063872
14,46,350,0,0,348,0,0,348,258,5051,4287,6109,689,47.45,205602816
16,390,201,0,0,201,0,0,201,216,5449,4909,4197,501,22.91,166264832
17,473,36,0,0,38,0,0,38,655,0,0,0,0,0,0
18,186,337,0,0,335,0,0,335,631,7246,5855,11332,1183,47.65,286715904
19,131,360,0,0,360,0,0,360,482,7243,6385,11527,827,55.14,290668544
20,241,200,0,0,207,0,0,207,366,7939,6993,7972,881,47.23,306601984
21,266,291,0,0,286,0,0,286,267,0,0,0,0,0,0
22,0,262,0,0,260,0,0,260,0,8338,7589,7317,807,49.93,295784448
23,15,15,0,0,15,0,0,15,15,8166,8101,2855,33,20.37,185049088
24,32,0,0,0,0,0,0,0,32,8167,8132,3005,33,2.85,185495552
25,374,155,0,0,155,0,0,155,403,8685,8145,7254,596,7.97,186818560
26,0,251,0,0,251,0,0,251,0,9327,8504,6329,692,55.15,229617664
27,284,85,0,0,87,0,0,87,201,8964,8944,3272,32,15.53,193830912
28,337,176,0,0,176,0,0,176,395,10054,9349,5400,521,44.4,177332224
29,70,372,0,0,372,0,0,372,258,10502,9622,7297,814,49.6,235249664
30,417,181,0,0,180,0,0,180,385,11052,10334,6952,965,54.59,241119232
31,276,322,0,0,322,0,0,322,351,11410,10491,8015,856,54.24,256913408
32,143,153,0,0,156,0,0,156,244,11478,10827,5645,667,45.01,199733248
33,401,298,0,0,297,0,0,297,352,12005,11101,6572,809,47.84,225263616
34,304,341,0,0,338,0,0,338,304,12122,11473,5833,551,48.35,209162240
35,36,199,0,0,201,0,0,201,320,0,0,0,0,0,0
36,399,201,0,0,199,0,0,199,339,12264,11711,5589,385,53.41,222863360
37,220,173,0,0,177,0,0,177,386,12812,11853,8995,1126,43.53,251756544
38,537,219,0,0,215,0,0,215,704,0,0,0,0,0,0
39,210,150,0,0,168,0,0,168,911,0,0,0,0,0,0
40,65,250,0,0,232,0,0,232,787,13171,11521,18891,2373,46.66,371695616
41,20,449,0,0,455,0,0,455,182,13506,12169,13472,995,63.48,341602304
42,45,195,0,0,189,0,0,189,151,13226,13025,10081,31,53.74,279916544
43,30,30,0,0,30,0,0,30,30,12466,12445,10081,31,0.93,281104384
48,414,130,0,0,141,0,0,141,309,11077,10523,14788,671,28.41,341549056
49,187,216,0,0,206,0,0,206,291,11047,10339,7989,794,51.16,361066496
50,96,316,0,0,315,0,0,315,256,10498,10289,4289,128,44.83,181092352
51,83,94,0,0,95,0,0,95,83,10130,9943,1895,57,21.2,174682112
52,399,24,0,0,23,0,0,23,399,0,0,0,0,0,0
53,0,174,0,0,174,0,0,174,0,10676,9992,7184,975,15.25,191868928
54,485,317,0,0,317,0,0,317,393,11187,10758,3722,267,52.53,205656064
55,179,74,0,0,82,0,0,82,571,0,0,0,0,0,0
56,30,218,0,0,213,0,0,213,400,11798,10492,11196,1204,43.92,269918208
57,641,307,0,0,304,0,0,304,644,11754,11266,5831,299,51.87,235827200
58,143,79,0,0,79,0,0,79,786,12945,10864,16439,2106,28.9,332152832
59,0,440,0,0,458,0,0,458,0,12698,10782,17254,1986,61.91,344211456
60,0,268,0,0,250,0,0,250,0,11700,11474,8394,29,61.67,264220672
61,176,0,0,0,0,0,0,0,176,11134,11114,8394,29,0.73,266452992
62,0,176,0,0,176,0,0,176,0,10930,10734,9681,28,32.55,291049472
64,348,116,0,0,118,0,0,118,291,9934,9364,6332,786,31.64,260706304
65,431,251,0,0,264,0,0,264,416,10166,9362,8264,784,49.46,215097344
66,252,199,0,0,186,0,0,186,507,10530,9402,11924,1422,53.35,294019072
67,167,252,0,0,250,0,0,250,516,0,0,0,0,0,0
68,309,109,0,0,109,0,0,109,586,11028,9562,12259,1194,47.5,301744128
69,138,374,0,0,375,0,0,375,584,11079,9855,11161,1326,56.08,340185088
70,289,287,0,0,287,0,0,287,357,10867,10341,5052,452,55.11,313344000
71,154,358,0,0,365,0,0,365,150,10575,9992,5461,347,41.49,231710720
72,0,142,0,0,134,0,0,134,0,10076,9902,1796,29,39.65,198979584
73,496,42,0,0,42,0,0,42,492,10765,9892,10168,1374,26.16,232042496
74,12,335,0,0,342,0,0,342,176,0,0,0,0,0,0
75,385,165,0,0,159,0,0,159,353,11123,10856,4241,29,54.11,223469568
76,197,132,0,0,132,0,0,132,419,12228,11138,10186,1206,30.08,291467264
77,361,229,0,0,231,0,0,231,554,12876,11546,12112,1645,52.27,309936128
78,50,284,0,0,283,0,0,283,550,0,0,0,0,0,0
79,0,314,0,0,312,0,0,312,0,12594,12110,4092,29,61.67,273920000
86,243,93,0,0,93,0,0,93,161,9463,9250,5796,218,15.78,285364224
87,379,168,0,0,170,0,0,170,368,0,0,0,0,0,0
88,0,332,0,0,337,0,0,337,0,10744,9850,7416,773,43.48,244899840
89,0,29,0,0,22,0,0,22,0,10025,10006,2366,30,28.52,215547904
90,441,30,0,0,33,0,0,33,423,8847,8774,2776,64,3.16,216354816
91,0,138,0,0,135,0,0,135,0,10116,9032,8485,967,38.84,261185536
92,0,273,0,0,273,0,0,273,0,9354,9304,3246,31,39.62,245112832
94,129,60,0,0,65,0,0,65,129,8888,8658,5393,359,8.91,249569280
95,0,69,0,0,64,0,0,64,0,8721,8618,4057,31,15.16,241934336
99,427,113,0,0,113,0,0,113,413,7391,6587,7878,993,39.52,202018816
100,277,14,0,0,14,0,0,14,591,0,0,0,0,0,0
101,201,402,0,0,408,0,0,408,451,7632,6163,13835,1763,40.46,290893824
102,492,219,0,0,214,0,0,214,652,7402,6495,8981,1125,53.31,302669824
103,78,84,0,0,83,0,0,83,651,8367,6874,14508,1926,50.38,330940416
104,201,366,0,0,369,0,0,369,649,8747,7106,14221,1440,53.4,326004736
105,0,393,0,0,390,0,0,390,0,7907,6915,12242,789,62.89,326303744
106,0,85,0,0,85,0,0,85,0,7055,7019,8903,31,19.63,302854144
110,522,18,0,0,19,0,0,19,505,6719,5772,16952,1140,21.15,358367232
111,118,206,0,0,205,0,0,205,505,0,0,0,0,0,0
112,174,159,0,0,164,0,0,164,496,7424,6189,9633,1194,43.05,386125824
113,198,430,0,0,425,0,0,425,430,8019,7153,9923,613,56.06,296595456
114,267,250,0,0,250,0,0,250,353,8435,7702,6517,694,48.95,219107328
115,73,289,0,0,289,0,0,289,73,8534,8443,1357,33,40.25,175910912
117,204,204,0,0,204,0,0,204,204,8233,8011,1939,33,33.06,152350720
120,230,11,0,0,11,0,0,11,225,7589,7571,1936,32,0.19,152952832
121,248,236,0,0,240,0,0,240,231,7722,7403,3982,494,14.89,166809600
122,386,237,0,0,233,0,0,233,380,7947,7259,6622,622,46.82,197971968
123,127,14,0,0,21,0,0,21,507,8591,7699,9188,1259,39.67,237551616
124,0,493,0,0,486,0,0,486,0,9096,8253,8794,709,56.38,256352256
127,289,1,0,0,1,0,0,1,288,8466,8449,5611,32,0.19,237043712
128,287,95,0,0,95,0,0,95,560,9831,8498,11413,1644,42.37,247316480
129,0,180,0,0,195,0,0,195,0,9722,8730,10294,961,44.04,257331200
130,0,300,0,0,285,0,0,285,0,8870,8676,5940,34,23.76,255201280
133,368,34,0,0,34,0,0,34,364,8046,8020,6656,132,0.94,249847808
134,371,369,0,0,369,0,0,369,337,8316,7559,7089,674,40.89,276660224
135,0,292,0,0,300,0,0,300,0,8539,7786,7356,879,42.62,281022464
136,0,44,0,0,36,0,0,36,0,7937,7724,3591,35,39.17,256598016
139,483,25,0,0,26,0,0,26,477,8321,7724,5906,718,9.15,271208448
140,0,331,0,0,334,0,0,334,0,9125,8128,6986,862,45.13,249540608
141,0,127,0,0,123,0,0,123,0,8604,8572,3388,34,30.92,221077504
143,376,103,0,0,103,0,0,103,278,7671,7555,4337,34,17.35,222715904
