second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,130,130,0,0,0,0,130,9,8172,8023,609,30,18.61,117350400
1,135,135,135,0,0,0,0,135,10,8197,8032,737,34,24.29,117374976
2,135,134,134,0,0,0,0,134,9,7944,7764,662,32,17.85,117219328
3,135,136,136,0,0,0,0,136,9,7960,7784,992,29,18.82,117497856
4,135,135,135,0,0,0,0,135,9,7962,7781,849,35,18.44,121606144
5,135,136,136,0,0,0,0,136,13,7973,7787,964,32,18.53,117633024
6,134,134,134,0,0,0,0,134,8,7984,7805,787,38,22.89,117776384
7,135,135,135,0,0,0,0,135,8,7997,7819,1015,31,15.55,117600256
8,135,135,135,0,0,0,0,135,9,8006,7827,890,35,22.12,117694464
9,135,134,135,0,0,0,0,135,9,8014,7838,807,37,21.07,117657600
10,135,134,133,0,0,0,0,133,9,8023,7843,757,34,22.37,117747712
11,136,136,136,0,0,0,0,136,8,8032,7858,648,32,18.05,117587968
12,135,133,133,0,0,0,0,133,9,8050,7872,646,35,16.94,118108160
13,134,137,138,0,0,0,0,138,9,8060,7882,799,31,23.19,118583296
14,135,135,134,0,0,0,0,134,8,8066,7888,1036,37,17.06,118886400
15,135,137,137,0,0,0,0,137,9,8077,7899,842,32,20.85,118714368
16,136,134,134,0,0,0,0,134,9,8087,7906,1069,37,21.06,118853632
17,135,135,135,0,0,0,0,135,9,8102,7926,760,32,18.35,118890496
18,135,135,135,0,0,0,0,135,9,8108,7932,1006,32,18.65,118996992
19,134,136,136,0,0,0,0,136,8,8126,7948,848,31,20.62,118796288
20,135,134,134,0,0,0,0,134,9,8136,7957,981,30,18.28,118722560
21,135,134,134,0,0,0,0,134,9,8143,7965,859,31,18.97,118857728
22,135,136,136,0,0,0,0,136,9,8153,7978,754,32,21.27,118829056
23,136,134,134,0,0,0,0,134,9,8164,7989,789,38,18.58,118919168
24,135,135,135,0,0,0,0,135,9,8176,7999,666,29,22.94,114573312
25,134,135,135,0,0,0,0,135,8,8187,8010,636,33,18.79,114667520
26,136,134,134,0,0,0,0,134,8,0,0,0,0,0,0
27,134,138,138,0,0,0,0,138,8,8200,8020,835,36,19.77,118861824
28,136,133,133,0,0,0,0,133,9,7938,7761,1020,30,18.77,118812672
29,134,134,134,0,0,0,0,134,9,7990,7813,715,29,24.14,119287808
30,136,137,137,0,0,0,0,137,9,7997,7821,846,32,18.14,119218176
31,135,135,135,0,0,0,0,135,10,8009,7830,755,35,21.33,111484928
32,134,135,135,0,0,0,0,135,10,8023,7845,902,29,19.33,112701440
33,136,134,134,0,0,0,0,134,10,8031,7857,699,30,17.8,107261952
34,135,136,136,0,0,0,0,136,9,8037,7860,922,37,20.85,108281856
35,134,135,135,0,0,0,0,135,9,8051,7877,700,32,18.33,107315200
36,135,134,134,0,0,0,0,134,10,8065,7886,964,34,24.52,108896256
37,136,136,136,0,0,0,0,136,9,8074,7898,802,31,19.39,107495424
38,135,135,135,0,0,0,0,135,9,8087,7910,988,37,19.8,109305856
39,135,134,134,0,0,0,0,134,9,8095,7918,964,29,22.17,109248512
40,135,136,136,0,0,0,0,136,9,8108,7931,799,31,19.64,107913216
41,134,134,134,0,0,0,0,134,10,8115,7942,833,40,22,107913216
42,136,135,135,0,0,0,0,135,9,8127,7953,713,29,18.86,108306432
43,135,135,135,0,0,0,0,135,9,8139,7962,907,32,21.52,108552192
44,135,134,134,0,0,0,0,134,10,8149,7971,899,34,19.09,108445696
45,135,136,136,0,0,0,0,136,10,8159,7981,735,32,22.23,107405312
46,135,135,135,0,0,0,0,135,9,8171,7995,988,34,20.51,109023232
47,135,135,135,0,0,0,0,135,10,8180,8003,744,34,22.79,107528192
48,135,136,136,0,0,0,0,136,9,8188,8012,1017,34,19.65,109166592
49,135,134,134,0,0,0,0,134,9,8202,8028,856,31,17.5,108277760
50,135,136,136,0,0,0,0,136,9,8216,8040,769,39,20.56,107716608
51,135,135,135,0,0,0,0,135,9,8218,8042,704,29,18.09,107565056
52,135,133,133,0,0,0,0,133,9,8229,8055,639,27,21.13,109342720
53,134,137,137,0,0,0,0,137,8,0,0,0,0,0,0
54,136,134,134,0,0,0,0,134,9,8246,8070,906,30,19.16,109121536
55,134,135,135,0,0,0,0,135,8,7987,7810,808,29,19.39,107966464
56,136,136,136,0,0,0,0,136,8,7993,7817,974,33,18.48,109314048
57,135,134,134,0,0,0,0,134,9,8004,7826,704,29,19.63,110764032
58,135,135,135,0,0,0,0,135,9,8014,7837,968,32,19.43,112107520
59,135,135,135,0,0,0,0,135,8,8029,7851,805,34,16.59,111013888
60,135,135,136,0,0,0,0,136,10,8035,7860,669,31,20.24,111910912
61,135,136,135,0,0,0,0,135,9,8044,7867,917,33,23.42,112209920
62,135,134,134,0,0,0,0,134,9,8055,7881,704,31,21.11,110800896
63,135,135,135,0,0,0,0,135,9,8071,7890,931,33,18.58,108810240
64,135,135,135,0,0,0,0,135,10,8080,7905,791,36,18.29,107831296
65,135,135,135,0,0,0,0,135,9,8092,7911,741,31,21.93,107556864
66,135,135,135,0,0,0,0,135,9,8103,7924,936,29,21.33,108670976
67,135,136,136,0,0,0,0,136,9,8110,7934,764,28,20.13,107491328
68,135,135,135,0,0,0,0,135,9,8118,7945,987,31,19.1,109248512
69,134,135,136,0,0,0,0,136,9,8128,7954,839,35,16.87,107950080
70,136,135,135,0,0,0,0,135,8,8137,7959,679,29,22.11,108326912
71,135,134,133,0,0,0,0,133,9,8150,7976,950,26,21.83,109309952
72,135,136,136,0,0,0,0,136,9,8157,7979,878,32,24.46,108605440
73,135,133,133,0,0,0,0,133,9,8166,7990,732,28,14.21,107499520
74,134,136,136,0,0,0,0,136,9,8181,8005,999,31,17.54,109187072
75,136,134,134,0,0,0,0,134,10,8192,8018,776,30,18.13,107757568
76,135,135,135,0,0,0,0,135,10,8199,8022,671,34,22.17,109805568
77,134,136,136,0,0,0,0,136,10,8218,8039,643,32,23.46,109772800
78,135,136,136,0,0,0,0,136,9,8219,8044,869,31,21.49,108462080
79,136,132,133,0,0,0,0,133,11,8231,8055,747,37,22.42,108367872
80,135,133,132,0,0,0,0,132,13,0,0,0,0,0,0
81,134,141,141,0,0,0,0,141,12,8235,8053,784,42,18.45,108630016
82,136,134,134,0,0,0,0,134,10,7986,7806,969,31,17.25,108871680
83,134,134,134,0,0,0,0,134,9,7993,7816,714,28,19.23,107741184
84,136,136,136,0,0,0,0,136,9,8003,7828,897,28,20.31,109035520
85,134,134,134,0,0,0,0,134,8,8014,7837,779,26,17.43,108220416
86,136,135,135,0,0,0,0,135,10,8024,7848,781,33,20.3,107958272
87,135,135,135,0,0,0,0,135,8,8036,7861,644,30,18.32,108081152
88,135,135,135,0,0,0,0,135,9,8047,7872,874,31,20.71,108666880
89,135,135,135,0,0,0,0,135,15,8066,7878,801,54,17.43,108736512
90,134,134,134,0,0,0,0,134,9,8087,7904,721,34,18.08,108036096
91,136,135,135,0,0,0,0,135,9,8096,7919,934,28,24.22,109551616
92,134,136,136,0,0,0,0,136,9,8097,7922,865,29,20.03,108580864
93,135,135,135,0,0,0,0,135,9,8108,7931,719,26,20.31,107470848
94,136,136,136,0,0,0,0,136,9,8115,7940,696,30,19.2,107683840
95,135,134,135,0,0,0,0,135,9,8124,7948,927,31,20.27,108994560
96,135,136,135,0,0,0,0,135,9,8136,7961,900,29,20.7,108474368
97,135,135,135,0,0,0,0,135,10,8146,7975,689,32,19.75,108662784
98,135,134,134,0,0,0,0,134,9,8166,7990,911,31,21.59,108855296
99,135,136,136,0,0,0,0,136,9,8173,7997,752,25,17.86,107753472
100,134,135,135,0,0,0,0,135,9,8184,8006,652,29,19.78,107651072
101,136,134,136,0,0,0,0,136,9,8197,8020,932,32,19.59,109027328
102,135,135,133,0,0,0,0,133,9,8204,8027,767,37,21.42,107978752
103,135,134,134,0,0,0,0,134,10,8217,8038,632,29,16.61,109764608
104,134,136,136,0,0,0,0,136,9,8218,8044,902,34,19.95,108949504
105,136,134,134,0,0,0,0,134,9,0,0,0,0,0,0
106,134,137,137,0,0,0,0,137,9,8245,8068,874,29,20.31,108687360
107,135,136,136,0,0,0,0,136,9,7979,7801,850,34,20.74,108433408
108,136,133,133,0,0,0,0,133,9,7989,7815,645,29,20.77,107823104
109,135,135,135,0,0,0,0,135,10,8005,7827,874,37,21.77,108285952
110,135,136,137,0,0,0,0,137,9,8024,7845,636,29,19.3,107896832
111,134,130,129,0,0,0,0,129,10,8027,7849,908,27,23.19,109535232
112,136,138,138,0,0,0,0,138,11,8033,7850,923,35,20.89,108949504
113,134,137,137,0,0,0,0,137,9,8044,7866,750,29,20.35,107884544
114,136,135,135,0,0,0,0,135,9,8053,7875,810,29,22.67,112103424
115,134,135,135,0,0,0,0,135,9,8061,7883,987,29,19.9,113811456
116,136,135,135,0,0,0,0,135,9,8070,7894,834,29,24.66,112238592
117,135,133,133,0,0,0,0,133,8,8081,7906,1018,33,21.96,113487872
118,135,134,134,0,0,0,0,134,10,8090,7911,886,31,17.99,113397760
119,134,138,138,0,0,0,0,138,9,8099,7920,849,28,15.69,112656384
120,135,132,132,0,0,0,0,132,10,8110,7929,717,37,20.7,108142592
121,136,137,137,0,0,0,0,137,10,8120,7945,665,28,19.82,107622400
122,134,136,136,0,0,0,0,136,9,8131,7951,1017,28,21.62,109498368
123,135,135,135,0,0,0,0,135,9,8137,7958,833,26,19.57,108867584
124,136,135,135,0,0,0,0,135,9,8151,7967,834,28,20.17,108113920
125,135,134,134,0,0,0,0,134,10,8158,7980,718,28,19.14,107606016
126,135,136,136,0,0,0,0,136,10,8172,7994,714,37,19.28,108048384
127,134,134,134,0,0,0,0,134,9,8179,7998,674,29,18.35,107884544
128,136,134,134,0,0,0,0,134,10,8193,8015,928,29,23.6,109805568
129,135,133,133,0,0,0,0,133,12,8200,8022,894,28,22.31,108691456
130,134,138,138,0,0,0,0,138,9,8211,8037,762,29,20.31,108032000
131,135,135,135,0,0,0,0,135,10,8221,8044,643,26,19.93,107757568
132,135,135,135,0,0,0,0,135,9,0,0,0,0,0,0
133,136,136,136,0,0,0,0,136,9,8234,8057,943,28,21.42,109641728
134,135,135,135,0,0,0,0,135,10,7979,7802,811,26,19.61,108257280
135,135,135,135,0,0,0,0,135,9,7984,7806,849,30,17.75,112640000
