second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,55,0,0,0,0,0,0,0,55,3500,3481,492,28,4.05,78819328
2,326,224,225,0,0,0,0,225,231,3309,3213,1420,183,7.39,107585536
3,110,267,266,0,0,0,0,266,158,3675,3479,3689,642,42.87,169168896
4,81,61,61,0,0,0,0,61,58,3682,3663,3005,621,25.46,158699520
5,313,302,302,0,0,0,0,302,149,3623,3579,3195,769,23.13,167763968
6,401,194,196,0,0,0,0,196,300,4008,3951,4437,1104,40.35,181997568
7,252,374,372,0,0,0,0,372,209,4454,4111,8124,1800,40.28,229580800
8,79,164,166,0,0,0,0,166,164,4776,4463,8419,2051,50.22,232493056
9,0,31,29,0,0,0,0,29,0,4579,4561,6864,1768,14.4,228876288
11,52,15,17,0,0,0,0,17,39,4033,4015,6864,1768,0.19,229421056
12,340,334,333,0,0,0,0,333,117,4089,3995,7852,2031,17.11,244031488
13,348,274,273,0,0,0,0,273,240,4528,4445,8881,2397,38.32,251588608
14,0,117,117,0,0,0,0,117,0,4740,4722,9581,2533,23.88,262602752
15,35,0,0,0,0,0,0,0,35,4740,4722,9210,2533,0.93,262672384
16,359,345,346,0,0,0,0,346,71,5123,5040,10127,2855,26.52,280256512
17,459,277,276,0,0,0,0,276,231,5902,5830,11224,3229,38.1,306294784
18,295,257,257,0,0,0,0,257,445,6631,6073,18079,4505,30.76,373465088
19,154,398,402,0,0,0,0,402,270,7193,7133,12711,3812,35.33,336891904
20,334,325,321,0,0,0,0,321,58,7921,7818,14456,4179,34.44,327065600
21,51,85,85,0,0,0,0,85,53,8116,8096,13926,4219,12.89,333692928
22,15,15,15,0,0,0,0,15,15,8146,8126,14076,4234,1.52,333942784
23,81,58,59,0,0,0,0,59,43,8286,8242,14886,4404,8.9,337809408
24,324,324,324,0,0,0,0,324,45,0,0,0,0,0,0
25,1,24,23,0,0,0,0,23,22,8957,8938,15197,4640,38.97,343384064
26,283,253,253,0,0,0,0,253,60,8957,8938,15193,4639,0.38,343330816
27,338,172,172,0,0,0,0,172,334,9558,9510,17142,5126,34.34,365056000
28,155,301,301,0,0,0,0,301,50,10197,10178,17657,5258,34.5,402968576
29,364,273,273,0,0,0,0,273,141,10663,10607,18423,5586,28.78,411267072
30,305,124,124,0,0,0,0,124,429,11389,10963,25254,6951,31.95,476770304
31,312,354,357,0,0,0,0,357,302,11755,11551,25561,6764,32.82,476635136
32,137,383,380,0,0,0,0,380,298,11743,11663,21185,6601,34.15,498872320
33,140,141,143,0,0,0,0,143,71,0,0,0,0,0,0
34,277,292,292,0,0,0,0,292,256,12244,11973,24806,7261,25.73,447401984
35,290,259,266,0,0,0,0,266,108,11974,11891,24015,7252,33.67,468369408
36,563,58,49,0,0,0,0,49,554,0,0,0,0,0,0
37,406,0,0,0,0,0,0,0,960,11817,10979,36797,9880,33.76,589725696
38,129,257,257,0,0,0,0,257,1057,12467,11425,39200,10014,30.97,670593024
39,0,548,548,0,0,0,0,548,0,0,0,0,0,0,0
40,0,284,284,0,0,0,0,284,0,13113,13023,30317,8833,33.49,667987968
41,65,65,65,0,0,0,0,65,37,12881,12847,26662,8434,13.18,657444864
43,30,30,30,0,0,0,0,30,30,11824,11806,26959,8463,4.24,658980864
47,183,130,130,0,0,0,0,130,53,10760,10706,27860,8752,24.54,659705856
48,306,85,85,0,0,0,0,85,306,0,0,0,0,0,0
49,173,447,447,0,0,0,0,447,274,10576,10046,30466,9118,34.51,690003968
50,73,35,35,0,0,0,0,35,38,10377,10358,31708,9220,25.08,699686912
51,77,83,83,0,0,0,0,83,50,10011,9992,32282,9304,9.36,701669376
52,349,207,207,0,0,0,0,207,174,10285,10202,33099,9549,22.74,706498560
53,235,297,297,0,0,0,0,297,192,10508,10443,35197,9875,30.78,730816512
54,286,165,165,0,0,0,0,165,233,10662,10488,34518,10554,30.13,710238208
55,221,233,233,0,0,0,0,233,394,0,0,0,0,0,0
56,373,235,235,0,0,0,0,235,359,11276,11155,36562,10612,33.62,732549120
57,381,37,37,0,0,0,0,37,732,11416,10866,44947,12206,33.97,800661504
58,0,413,413,0,0,0,0,413,0,10827,10239,45332,11872,32.25,850763776
59,0,290,290,0,0,0,0,290,0,10890,10871,37439,11186,20.73,833589248
61,176,176,176,0,0,0,0,176,164,10034,10015,37436,11185,0.56,834056192
63,201,181,181,0,0,0,0,181,63,9418,9399,36634,10961,1.76,833867776
64,216,183,183,0,0,0,0,183,60,9720,9669,35390,11167,27.1,836378624
65,347,209,209,0,0,0,0,209,191,9517,9458,36261,11164,30.56,819953664
