second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,57,7,7,0,0,0,0,7,50,8308,8297,27152,7771,1.98,653524992
2,253,241,241,0,0,0,0,241,76,8408,8363,27479,7855,8.98,664240128
3,181,243,243,0,0,0,0,243,70,8608,8563,26789,7920,33.4,666660864
4,85,60,60,0,0,0,0,60,45,8556,8545,26777,7944,15.08,666873856
5,255,249,249,0,0,0,0,249,51,8554,8506,27626,8145,19.52,670453760
6,314,281,281,0,0,0,0,281,73,8605,8514,27838,8320,33.23,673599488
7,272,295,296,0,0,0,0,296,77,8960,8883,28510,8461,34.69,675803136
8,200,220,219,0,0,0,0,219,66,8848,8810,28718,8621,36.43,678420480
9,0,21,21,0,0,0,0,21,0,8516,8505,28170,8547,5.27,677208064
11,58,4,4,0,0,0,0,4,54,7584,7573,28167,8446,0.38,675840000
12,279,297,297,0,0,0,0,297,73,8140,8089,29303,8464,29.47,676696064
13,263,258,258,0,0,0,0,258,56,8480,8432,28622,8734,34.29,681758720
14,140,181,181,0,0,0,0,181,49,0,0,0,0,0,0
15,46,10,12,0,0,0,0,12,43,8204,8192,28548,8811,19.62,683036672
16,451,56,54,0,0,0,0,54,431,8287,8225,29374,9044,7.73,687738880
17,516,0,0,0,0,0,0,0,947,8349,7725,38879,10812,29.61,753500160
18,88,270,270,0,0,0,0,270,1025,8597,7615,43466,11419,29.11,808357888
19,121,259,262,0,0,0,0,262,795,0,0,0,0,0,0
20,108,370,370,0,0,0,0,370,619,9072,8090,42744,10435,35.21,809906176
21,139,456,453,0,0,0,0,453,363,9229,9085,38236,9813,38.29,842436608
22,230,230,230,0,0,0,0,230,56,9083,9033,33663,9682,39.48,845819904
23,3,51,51,0,0,0,0,51,32,9044,9031,31193,9470,23.73,812429312
24,190,152,153,0,0,0,0,153,51,9109,9061,30287,9354,11.5,806719488
25,216,254,253,0,0,0,0,253,58,8779,8714,31663,9714,30.43,718835712
26,92,42,51,0,0,0,0,51,56,8963,8929,31835,9698,10.46,720855040
27,341,189,180,0,0,0,0,180,202,9528,9391,34180,10342,32.79,731799552
28,198,156,156,0,0,0,0,156,390,10193,9703,36496,10110,30.61,752160768
29,244,444,449,0,0,0,0,449,90,0,0,0,0,0,0
30,315,137,132,0,0,0,0,132,222,10764,10691,37225,10129,35.01,756064256
31,255,194,199,0,0,0,0,199,474,11234,10871,38923,11176,33.62,777662464
32,268,300,295,0,0,0,0,295,251,11617,11557,37990,10626,38.72,777195520
33,92,322,324,0,0,0,0,324,318,11535,11423,36267,10405,36.36,787017728
34,286,259,267,0,0,0,0,267,63,0,0,0,0,0,0
35,271,262,254,0,0,0,0,254,61,11740,11674,37653,10692,35.17,796131328
36,482,9,7,0,0,0,0,7,530,11795,11603,41120,11181,31.97,819834880
37,218,219,220,0,0,0,0,220,748,0,0,0,0,0,0
38,385,121,121,0,0,0,0,121,805,11799,10980,47955,12736,32.27,913858560
39,36,408,407,0,0,0,0,407,782,0,0,0,0,0,0
40,216,117,117,0,0,0,0,117,620,12371,11820,48590,12185,34.54,913911808
41,0,520,520,0,0,0,0,520,0,13107,12822,46772,11044,35.97,907784192
43,65,65,65,0,0,0,0,65,47,11814,11781,46298,10746,6.51,918511616
45,30,30,30,0,0,0,0,30,30,11705,11692,46148,10308,5.2,919412736
49,104,72,73,0,0,0,0,73,42,10719,10706,45943,9811,1.31,915193856
50,153,146,145,0,0,0,0,145,47,10286,10206,47007,9839,17.45,938090496
51,405,90,90,0,0,0,0,90,354,9937,9892,32935,10116,26.14,909119488
52,35,389,389,0,0,0,0,389,242,9813,9613,35908,10256,31.64,908644352
53,83,83,83,0,0,0,0,83,39,9834,9792,31706,9844,23.37,903753728
54,323,39,39,0,0,0,0,39,284,9709,9461,35642,10521,19.77,913403904
55,98,348,356,0,0,0,0,356,360,0,0,0,0,0,0
56,240,246,241,0,0,0,0,241,197,10001,9950,33714,9952,36.31,867606528
57,411,85,90,0,0,0,0,90,425,10242,10135,34833,10487,30.47,864989184
58,135,340,332,0,0,0,0,332,348,10666,10326,37759,10883,30.05,876072960
59,313,56,70,0,0,0,0,70,447,9885,9405,40803,11740,31.38,894046208
60,110,380,366,0,0,0,0,366,384,0,0,0,0,0,0
61,216,199,199,0,0,0,0,199,153,10494,10398,36480,11112,35.81,805490688
62,31,184,184,0,0,0,0,184,184,9991,9978,35569,11065,29.01,719466496
63,176,23,25,0,0,0,0,25,176,9114,9008,36882,11089,7.31,711892992
64,0,153,151,0,0,0,0,151,0,8849,8836,36830,10922,13.01,708182016
65,116,86,86,0,0,0,0,86,73,8767,8656,37532,10749,10.74,708927488
66,258,251,251,0,0,0,0,251,187,9363,9300,39175,10716,31.44,743940096
67,199,195,195,0,0,0,0,195,60,0,0,0,0,0,0
68,263,267,269,0,0,0,0,269,55,9191,9146,34911,10651,31.81,735772672
69,270,263,265,0,0,0,0,265,62,9385,9330,36081,10778,32.8,749166592
70,241,236,232,0,0,0,0,232,66,9492,9434,36851,11122,33.66,785641472
71,291,145,145,0,0,0,0,145,324,8910,8532,40256,12015,29.97,778838016
72,296,247,247,0,0,0,0,247,315,9437,9094,43125,12041,34.41,808407040
73,154,333,333,0,0,0,0,333,154,9865,9760,39787,11420,33.83,751353856
74,89,104,104,0,0,0,0,104,59,0,0,0,0,0,0
75,407,60,60,0,0,0,0,60,410,10045,9956,36952,11350,17.3,758398976
76,25,280,280,0,0,0,0,280,181,10861,10551,40397,11582,30.04,789852160
77,176,287,293,0,0,0,0,293,43,11112,11053,40206,10917,22.83,791212032
78,252,248,242,0,0,0,0,242,64,11657,11592,41175,11020,34.64,820477952
79,483,27,27,0,0,0,0,27,491,0,0,0,0,0,0
80,69,288,288,0,0,0,0,288,549,12024,11415,49309,12396,27.53,869797888
81,0,272,272,0,0,0,0,272,0,12217,12007,38865,11272,32.29,847544320
88,160,136,137,0,0,0,0,137,53,0,0,0,0,0,0
89,423,121,120,0,0,0,0,120,326,9489,9443,39893,10141,22.52,859197440
90,39,259,259,0,0,0,0,259,365,9415,9051,45397,10976,30.85,889860096
91,0,106,106,0,0,0,0,106,0,9292,9068,43970,10072,19.39,880447488
92,124,84,96,0,0,0,0,96,42,8787,8775,43212,9707,6.76,877133824
93,317,98,86,0,0,0,0,86,273,9154,9109,32270,9752,26.39,859627520
94,0,259,259,0,0,0,0,259,0,9317,9305,32869,9668,28.15,866439168
96,129,122,122,0,0,0,0,122,45,9058,8989,33542,9075,10.67,858882048
97,0,7,7,0,0,0,0,7,0,8661,8649,29418,8662,14.38,864350208
100,43,0,3,0,0,0,0,3,43,6971,6959,29085,8038,0.57,850784256
101,373,133,130,0,0,0,0,130,283,6737,6591,28893,8645,22.97,720965632
102,120,360,367,0,0,0,0,367,324,6676,6579,29117,8622,28.28,731942912
103,276,295,290,0,0,0,0,290,59,6977,6916,28885,8807,35.42,738795520
104,313,289,287,0,0,0,0,287,56,7443,7369,30400,9188,36.56,750018560
105,240,253,253,0,0,0,0,253,98,0,0,0,0,0,0
106,261,279,281,0,0,0,0,281,56,7513,7460,30319,9360,34.5,690012160
107,50,67,65,0,0,0,0,65,31,7656,7642,31128,9608,32.53,703164416
112,193,155,157,0,0,0,0,157,40,5807,5737,31305,9033,5.4,695664640
113,451,62,60,0,0,0,0,60,427,6357,6171,32142,9637,32.16,727064576
114,351,42,42,0,0,0,0,42,768,6908,6191,40677,11041,28.79,778256384
115,24,370,370,0,0,0,0,370,511,0,0,0,0,0,0
116,163,504,512,0,0,0,0,512,190,7764,7421,34008,9691,35.37,754847744
117,170,219,211,0,0,0,0,211,58,8239,8192,34087,9280,40.13,749252608
119,204,204,204,0,0,0,0,204,61,8096,8061,34693,8952,12.28,763469824
122,66,21,21,0,0,0,0,21,45,7280,7270,34518,8507,1.26,766296064
123,211,231,235,0,0,0,0,235,46,7164,7129,28269,8592,26.03,755822592
124,279,271,267,0,0,0,0,267,39,7773,7740,28742,8935,31.07,752373760
