second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,57,0,1,0,0,0,0,1,57,6345,6332,33191,5232,1.13,974528512
2,207,0,243,0,0,0,0,243,264,6061,5910,34721,5378,8.28,978935808
3,227,0,247,0,0,0,0,247,491,6070,5446,22644,6080,31.6,964542464
4,81,0,53,0,0,0,0,53,572,6389,5394,25761,6590,17.88,884043776
5,273,0,267,0,0,0,0,267,845,6550,5166,29673,7255,23.4,873021440
6,269,0,275,0,0,0,0,275,1114,7227,5159,35735,8269,35.57,904540160
7,283,0,276,0,0,0,0,276,1397,7356,4724,40653,8825,32.31,948678656
8,189,0,224,0,0,0,0,224,1586,7717,4532,45468,9371,29.78,991739904
9,31,0,31,0,0,0,0,31,1617,7779,4532,46026,9225,6,994459648
11,0,0,0,1,0,0,0,1,0,7143,3896,45972,8974,1.13,995586048
12,218,241,193,240,241,241,0,915,1629,7480,4302,48021,9152,33.68,1011539968
13,200,195,201,198,195,195,0,789,1636,0,0,0,0,0,0
14,225,98,225,102,103,102,0,532,1732,7749,4568,50384,9212,35.24,1038684160
15,97,277,121,270,272,273,0,936,1729,8107,4714,46581,9624,33.28,1065099264
16,254,228,133,229,229,229,0,820,1573,8050,5027,46239,9360,20.53,1062670336
17,498,56,0,55,55,55,0,165,2014,0,0,0,0,0,0
18,161,311,112,311,311,311,0,1045,2015,8428,5257,54253,10538,28,1120124928
19,42,66,493,136,92,72,0,793,1875,0,0,0,0,0,0
20,156,144,335,74,118,138,0,665,1852,9008,5759,56274,10152,33.42,1140207616
21,229,0,223,0,0,0,0,223,2081,9611,5735,61253,10554,33.46,1193693184
22,347,88,33,92,90,90,0,305,2358,10315,5922,57740,11703,30.91,1210957824
23,0,294,353,300,295,292,0,1240,0,0,0,0,0,0,0
24,15,234,20,227,231,234,0,712,2050,10588,6556,55629,11022,25.77,1196691456
25,177,124,129,121,124,124,0,498,1880,10141,6585,53939,10557,5.68,1186541568
26,223,133,231,133,133,133,0,630,1970,9799,6019,57701,11000,38.73,1196158976
27,71,0,75,0,0,0,0,75,2041,9641,5673,59711,11172,19.01,1204211712
28,223,50,225,57,57,57,0,396,2219,9738,5419,63734,11620,36.2,1226076160
29,307,196,64,191,189,189,0,633,2325,9792,5473,67349,12172,24.37,1247350784
30,60,481,101,510,497,481,0,1589,2345,0,0,0,0,0,0
31,167,417,351,386,401,417,0,1555,1907,10268,6919,64000,10912,30.64,1271373824
32,259,10,0,10,10,10,0,30,1903,10765,7289,64760,11514,34.75,1315274752
33,351,76,2,76,76,76,0,230,2178,0,0,0,0,0,0
34,47,331,240,331,331,331,0,1233,2191,11416,7866,55059,11780,26.89,1288843264
35,30,50,428,60,56,56,1,600,1897,11907,8202,55775,11691,28.25,1287790592
36,150,311,190,306,305,304,0,1105,1875,0,0,0,0,0,0
37,177,57,152,56,61,62,0,331,1833,12305,8930,52023,11326,27.57,1282998272
38,198,197,157,205,205,194,0,761,1835,12785,9170,54506,11555,37.19,1287741440
39,260,118,152,105,105,116,0,478,1976,0,0,0,0,0,0
40,352,10,0,10,10,10,0,30,2318,13702,9588,61815,13348,37.16,1325592576
41,405,49,27,49,49,49,0,174,2674,0,0,0,0,0,0
42,353,4,0,5,5,5,0,15,3027,13992,9530,68302,14658,24.14,1373577216
43,49,391,85,390,390,390,0,1255,3025,0,0,0,0,0,0
44,27,33,403,33,33,33,0,502,2693,13841,9288,71505,14609,29.75,1415004160
45,27,47,413,47,47,47,0,554,2685,0,0,0,0,0,0
46,53,160,370,173,172,167,0,882,2656,0,0,0,0,0,0
47,39,730,125,717,718,723,0,2283,2537,13343,9224,64507,12747,30.29,1395867648
48,100,197,185,197,197,197,0,776,1860,13500,9943,63779,12181,29.13,1382035456
49,65,152,64,152,152,152,0,520,1673,13241,9879,63778,11853,12.97,1377816576
50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51,30,27,30,27,27,27,0,111,1676,13243,9884,63269,11743,3,1375211520
53,0,49,0,84,50,49,0,183,0,12906,9629,63568,11735,2.93,1377611776
54,0,436,0,402,435,436,0,1273,0,11954,9141,61710,11274,6.22,1367339008
55,69,414,35,415,416,416,0,1282,872,11774,10001,57512,10237,9.14,1344528384
56,186,364,160,366,366,364,0,1256,869,11932,10423,58940,10292,27.71,1350316032
57,221,133,258,129,129,131,0,647,770,12439,10941,61161,10416,34.7,1394274304
58,221,185,210,185,185,185,0,765,792,0,0,0,0,0,0
59,83,64,117,64,64,64,0,309,875,12490,10889,63675,10762,29.99,1422397440
60,180,1,153,1,1,1,0,156,990,11981,10342,64661,10881,10.75,1438605312
61,230,30,233,30,30,30,0,323,1190,11698,9535,69789,11750,30.8,1491226624
62,218,0,223,0,0,0,0,223,1408,11749,9111,74434,12284,30.46,1534119936
63,205,0,195,0,0,0,0,195,1613,11995,8871,78766,12765,28.25,1579126784
64,91,0,98,0,0,0,0,98,1704,0,0,0,0,0,0
65,274,13,105,13,13,13,0,144,1965,11841,8405,56443,13038,21.41,1550966784
66,302,36,0,36,36,36,0,108,2231,0,0,0,0,0,0
67,72,270,191,270,270,270,0,1001,2278,11738,7902,63369,13782,25.15,1562660864
68,16,196,353,214,197,197,0,961,2035,0,0,0,0,0,0
69,294,265,83,247,264,264,0,858,1997,11765,8229,57061,12790,30.71,1552670720
70,123,149,338,153,153,149,0,793,1912,12206,8502,60903,13324,27.45,1563058176
71,48,233,81,229,229,233,0,772,1868,12584,8959,61874,13307,30.61,1567477760
72,308,114,44,141,139,124,0,448,1878,12375,8972,59021,13360,26.72,1550737408
73,88,302,306,278,278,292,0,1154,1787,12404,9002,59909,12998,31.75,1548242944
74,245,56,66,53,55,56,0,230,1840,12708,9217,59256,13577,26.79,1552007168
75,180,130,163,136,136,133,0,568,1971,0,0,0,0,0,0
76,296,13,200,7,7,10,0,224,2173,0,0,0,0,0,0
