second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,74,0,0,0,0,0,0,0,74,8743,8730,28057,8168,1.13,696459264
2,242,277,0,0,278,0,0,278,82,8437,8328,29272,8360,8.57,700243968
3,175,214,0,0,213,0,0,213,59,8716,8669,29744,8432,34.77,697212928
4,83,46,0,0,47,0,0,47,37,8003,7990,30212,8493,9.63,698281984
5,280,258,0,0,258,0,0,258,59,8147,8096,30981,8740,22.42,706752512
6,245,276,0,0,275,0,0,275,116,8700,8614,28893,8632,41.88,705454080
7,272,265,0,0,265,0,0,265,43,9040,8996,29617,8884,33.97,708595712
8,246,257,0,0,257,0,0,257,139,9024,8976,29104,9134,32.72,708595712
9,0,24,0,0,24,0,0,24,0,9037,9024,29020,9126,5.46,712183808
11,39,11,0,0,12,0,0,12,36,0,0,0,0,0,0
12,285,278,0,0,277,0,0,277,56,8160,8122,29239,9200,6.73,713617408
13,256,260,0,0,261,0,0,261,85,8582,8513,30621,9401,41.9,717004800
14,160,191,0,0,190,0,0,190,46,8835,8768,31194,9388,31.68,708493312
15,22,0,0,0,0,0,0,0,22,8455,8442,31470,9291,10.54,710914048
16,255,232,0,0,235,0,0,235,57,8233,8182,30012,9210,15.58,710066176
17,464,27,0,0,24,0,0,24,482,8814,8520,34436,9858,32.19,727597056
18,272,253,0,0,253,0,0,253,676,0,0,0,0,0,0
19,193,288,0,0,288,0,0,288,521,8904,8314,38917,10579,30.91,767541248
20,140,290,0,0,295,0,0,295,431,9412,9068,36029,10477,35.35,766824448
21,190,396,0,0,392,0,0,392,264,9966,9884,35577,10074,40.23,760938496
22,166,216,0,0,215,0,0,215,60,10487,10474,36137,10071,26.75,762314752
24,172,139,0,0,139,0,0,139,53,10108,10059,31480,9824,17.83,757882880
25,234,267,0,0,267,0,0,267,73,0,0,0,0,0,0
26,87,52,0,0,52,0,0,52,49,10023,10010,31925,10006,29.57,761581568
27,254,263,0,0,263,0,0,263,51,10248,10182,32618,10046,17.02,762765312
28,270,261,0,0,262,0,0,262,56,9813,9726,33799,10053,36.1,763871232
29,261,259,0,0,258,0,0,258,53,10330,10312,32959,10128,31.46,759640064
30,291,192,0,0,192,0,0,192,136,10920,10864,33689,10144,31.72,764760064
31,239,53,0,0,53,0,0,53,322,11554,10986,36745,10833,28.46,779747328
32,206,465,0,0,465,0,0,465,337,11366,11232,36845,10485,34.71,772055040
33,246,274,0,0,279,0,0,279,69,0,0,0,0,0,0
34,270,270,0,0,266,0,0,266,57,11690,11646,36948,10249,32.2,766898176
35,279,239,0,0,238,0,0,238,75,12041,11978,37969,10394,37.11,765366272
36,225,152,0,0,152,0,0,152,148,11603,11446,34875,10782,29.26,777424896
37,250,295,0,0,295,0,0,295,235,11893,11758,38062,11054,30.92,783126528
38,273,191,0,0,191,0,0,191,185,0,0,0,0,0,0
39,184,266,0,0,278,0,0,278,234,12107,11848,39469,11261,31.9,799780864
40,364,98,0,0,86,0,0,86,378,12609,12338,39287,11717,35.26,806842368
41,65,422,0,0,422,0,0,422,49,12957,12944,35802,10932,32.34,807530496
42,0,12,0,0,12,0,0,12,0,12537,12524,36462,10893,6.82,806825984
43,30,30,0,0,30,0,0,30,30,12071,12058,36307,10727,5.37,804106240
47,66,12,0,0,12,0,0,12,54,11299,11286,36090,10154,2.61,794648576
48,400,10,0,0,10,0,0,10,444,11108,10634,38800,11055,16.41,818184192
49,118,413,0,0,413,0,0,413,429,0,0,0,0,0,0
50,113,262,0,0,262,0,0,262,169,10861,10812,33628,10371,39.24,815054848
51,83,83,0,0,83,0,0,83,56,10227,10155,34328,10524,12.82,818266112
52,164,111,0,0,111,0,0,111,64,10151,10108,34477,10636,14.36,815538176
53,242,256,0,0,259,0,0,259,65,10758,10694,35589,10841,36.93,819150848
54,268,270,0,0,274,0,0,274,120,0,0,0,0,0,0
55,198,213,0,0,207,0,0,207,38,10937,10891,36585,10735,32.21,817709056
56,260,246,0,0,247,0,0,247,47,10823,10778,35444,10737,32.86,820318208
57,432,99,0,0,97,0,0,97,369,10868,10772,36902,10845,32.67,818774016
58,313,41,0,0,41,0,0,41,676,10884,10276,42907,12365,22.17,858337280
59,0,475,0,0,475,0,0,475,0,10950,10608,40674,11504,37.31,848457728
60,0,166,0,0,166,0,0,166,0,10861,10848,38993,11170,9.11,841601024
61,96,73,0,0,73,0,0,73,44,10535,10490,39746,11270,10.9,848723968
62,80,103,0,0,103,0,0,103,59,0,0,0,0,0,0
63,39,19,0,0,19,0,0,19,30,10041,10028,40055,11024,11.03,843616256
64,268,238,0,0,238,0,0,238,51,9705,9639,40424,11026,10.73,843747328
65,257,251,0,0,256,0,0,256,72,9337,9238,42091,11200,38,847863808
66,332,117,0,0,112,0,0,112,271,0,0,0,0,0,0
67,141,306,0,0,315,0,0,315,339,9688,9358,39795,11778,33.46,856461312
68,218,285,0,0,282,0,0,282,107,9395,9342,38560,11014,34.13,843374592
69,270,265,0,0,259,0,0,259,63,9384,9304,39846,11206,35.42,846897152
70,365,156,0,0,156,0,0,156,258,9635,9521,41363,11747,30.14,853131264
71,85,297,0,0,297,0,0,297,261,9598,9559,38508,11669,31.27,859799552
72,113,154,0,0,154,0,0,154,154,9915,9903,39697,11556,17.97,862896128
73,207,151,0,0,153,0,0,153,61,0,0,0,0,0,0
74,289,57,0,0,55,0,0,55,342,10507,10156,41049,12220,26.54,875053056
75,47,313,0,0,313,0,0,313,300,10897,10810,38553,11675,25.8,867655680
76,479,29,0,0,29,0,0,29,472,0,0,0,0,0,0
77,69,86,0,0,98,0,0,98,513,11467,10914,45535,12730,31.89,911400960
78,300,433,0,0,421,0,0,421,429,11967,11556,44505,12008,29.02,902361088
