second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,132,132,0,0,0,0,132,8,29,11,493,29,82.97,75571200
1,135,135,135,0,0,0,0,135,8,300,277,1104,178,17.5,99667968
2,135,135,135,0,0,0,0,135,13,569,547,1636,309,20.78,108150784
3,135,134,134,0,0,0,0,134,8,842,817,2087,454,20.36,117772288
4,135,135,135,0,0,0,0,135,7,1113,1091,2312,589,16.49,123686912
5,135,136,136,0,0,0,0,136,8,1385,1363,2802,725,20.72,133849088
6,135,135,135,0,0,0,0,135,7,1657,1633,3238,863,23.01,143675392
7,135,134,134,0,0,0,0,134,7,1931,1903,3693,1003,24.47,154116096
8,135,134,135,0,0,0,0,135,7,2204,2179,4088,1136,28.14,159674368
9,135,137,136,0,0,0,0,136,8,2479,2457,4494,1268,15.04,166965248
10,135,134,134,0,0,0,0,134,8,2752,2729,4974,1412,12.68,179105792
11,135,136,136,0,0,0,0,136,8,3027,3005,5309,1545,14.03,187756544
12,135,135,135,0,0,0,0,135,10,3301,3281,5781,1680,15.37,190525440
13,135,133,134,0,0,0,0,134,8,3576,3550,6247,1823,11.87,193220608
14,135,135,134,0,0,0,0,134,8,3852,3829,6675,1961,15.91,201895936
15,135,136,136,0,0,0,0,136,9,4126,4105,7128,2101,15.25,206569472
16,135,136,136,0,0,0,0,136,7,4404,4380,7582,2240,13.88,214396928
17,135,135,136,0,0,0,0,136,10,4679,4661,7993,2380,16.95,219906048
18,135,135,134,0,0,0,0,134,9,4958,4931,8131,2516,15.72,226512896
19,135,135,135,0,0,0,0,135,9,5237,5215,8591,2666,13.18,233721856
20,135,134,134,0,0,0,0,134,7,5521,5492,8984,2800,14.64,238088192
21,135,136,136,0,0,0,0,136,10,5798,5776,9420,2935,13.29,245514240
22,135,136,136,0,0,0,0,136,9,6074,6051,9955,3079,12.78,254631936
23,135,134,134,0,0,0,0,134,10,6355,6334,10408,3218,14.34,256430080
24,135,135,135,0,0,0,0,135,8,6629,6611,10859,3360,14.21,264925184
25,135,132,132,0,0,0,0,132,10,6912,6887,11342,3498,12.38,276938752
26,135,137,137,0,0,0,0,137,10,7192,7173,11825,3638,14.13,280301568
27,135,136,136,0,0,0,0,136,8,7472,7453,12221,3777,15.22,284598272
28,135,135,136,0,0,0,0,136,10,7756,7726,12406,3923,16.98,292261888
29,135,135,134,0,0,0,0,134,9,7908,7888,12910,4060,13.46,297680896
30,135,135,135,0,0,0,0,135,11,7921,7898,13390,4205,13.78,304586752
31,135,131,131,0,0,0,0,131,9,7938,7918,13880,4350,17.49,310603776
32,135,138,138,0,0,0,0,138,10,7949,7928,14380,4489,18.46,315109376
33,135,136,136,0,0,0,0,136,11,7959,7939,14911,4631,10.09,323858432
34,135,134,134,0,0,0,0,134,11,7979,7957,14937,4772,16.46,329805824
35,135,135,135,0,0,0,0,135,11,7991,7968,15468,4916,14.54,334446592
36,135,134,134,0,0,0,0,134,12,0,0,0,0,0,0
37,135,135,135,0,0,0,0,135,10,8007,7982,15818,5063,19.99,339582976
38,135,135,135,0,0,0,0,135,10,8011,7988,16480,5199,14.39,344068096
39,135,137,137,0,0,0,0,137,12,8027,8004,16990,5338,15.7,352641024
40,135,134,134,0,0,0,0,134,11,8039,8014,17093,5495,15.65,365010944
41,135,135,135,0,0,0,0,135,11,8066,8038,17594,5628,12.73,369115136
42,135,135,135,0,0,0,0,135,12,8077,8048,17981,5772,14.12,344858624
43,135,134,135,0,0,0,0,135,21,8088,8066,18578,5914,14.79,359460864
44,135,136,135,0,0,0,0,135,11,8102,8076,19076,6052,15.28,383471616
45,134,135,135,0,0,0,0,135,13,8113,8087,19262,6196,18.23,368668672
46,135,128,130,0,0,0,0,130,11,7864,7839,19675,6341,14.27,385126400
47,136,135,133,0,0,0,0,133,14,7886,7863,20190,6482,13.98,399740928
48,135,142,142,0,0,0,0,142,16,7900,7869,20541,6637,12.75,382517248
49,135,124,124,0,0,0,0,124,24,7913,7889,21253,6780,14.18,399142912
50,135,147,147,0,0,0,0,147,17,7940,7914,21445,6932,15.58,416718848
51,135,127,127,0,0,0,0,127,13,7986,7943,21832,7086,15.98,399863808
