second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,131,0,0,131,0,0,131,15,7982,7966,27207,8151,27.18,559386624
1,135,136,0,0,136,0,0,136,14,7988,7970,27758,8148,19.14,561770496
2,135,135,0,0,135,0,0,135,15,7999,7982,28250,8151,14.83,561672192
3,135,134,0,0,134,0,0,134,17,8010,7996,28826,8155,15.98,561864704
4,135,135,0,0,135,0,0,135,17,8015,7996,28887,8164,15.23,562176000
5,135,135,0,0,135,0,0,135,14,8052,8036,29356,8149,18.57,561709056
6,136,134,0,0,135,0,0,135,17,8060,8041,29843,8156,14.26,561844224
7,134,137,0,0,136,0,0,136,14,7831,7813,30362,8150,17.83,561741824
8,129,129,0,0,129,0,0,129,16,7814,7798,30868,8150,16.94,561696768
9,141,130,0,0,130,0,0,130,16,7826,7808,31000,8147,17.13,561688576
10,135,146,0,0,146,0,0,146,16,7857,7840,31482,8150,17.01,561737728
11,135,136,0,0,136,0,0,136,21,7860,7830,25450,8170,19.72,561541120
12,135,133,0,0,133,0,0,133,14,7885,7872,26028,8159,14.14,561336320
13,135,134,0,0,134,0,0,134,15,7884,7862,26534,8149,14.59,561233920
14,135,136,0,0,136,0,0,136,14,7896,7878,26921,8150,15.95,561168384
15,135,135,0,0,136,0,0,136,17,7916,7890,27075,8152,16.79,561590272
16,135,135,0,0,134,0,0,134,15,7937,7918,27590,8150,14.25,561262592
17,135,136,0,0,136,0,0,136,15,7954,7937,28004,8146,17.64,561123328
18,135,135,0,0,135,0,0,135,14,7963,7946,28546,8150,14.84,561180672
19,135,131,0,0,131,0,0,131,15,7967,7948,29091,8160,15.04,561336320
20,135,136,0,0,136,0,0,136,15,0,0,0,0,0,0
21,135,137,0,0,137,0,0,137,14,7978,7954,29206,8155,14.83,561377280
22,132,133,0,0,133,0,0,133,15,8005,7979,29722,8153,16.56,561238016
23,138,130,0,0,130,0,0,130,17,8018,7999,30105,8152,17.08,560873472
24,135,132,0,0,132,0,0,132,16,8030,8010,30651,8149,15.14,561229824
25,135,146,0,0,146,0,0,146,16,8046,8028,31164,8148,14.76,556982272
26,135,133,0,0,133,0,0,133,15,8060,8042,31637,8157,18.05,561197056
27,135,136,0,0,136,0,0,136,15,7798,7778,31801,8166,14.17,561688576
28,135,136,0,0,136,0,0,136,16,7823,7806,32256,8142,16.18,560988160
29,135,135,0,0,135,0,0,135,25,7879,7856,25460,8150,16.44,561201152
30,135,134,0,0,134,0,0,134,15,7898,7880,26039,8149,10.89,561479680
31,135,135,0,0,135,0,0,135,15,7904,7884,26550,8150,15.77,557236224
32,135,133,0,0,133,0,0,133,17,7912,7890,26611,8152,18.25,561168384
33,135,138,0,0,138,0,0,138,15,7939,7915,27137,8149,14.87,561414144
34,135,135,0,0,135,0,0,135,20,7955,7938,27555,8149,15.12,561553408
35,132,132,0,0,132,0,0,132,15,7966,7945,28023,8142,16.51,561270784
36,135,129,0,0,130,0,0,130,16,7970,7954,28581,8149,15.23,561520640
37,138,143,0,0,142,0,0,142,16,7988,7971,29042,8148,15.97,561459200
38,135,127,0,0,127,0,0,127,14,8000,7984,29243,8168,13.43,561844224
39,135,130,0,0,130,0,0,130,17,0,0,0,0,0,0
40,135,148,0,0,148,0,0,148,16,8033,8012,29675,8148,19.09,561430528
41,135,136,0,0,137,0,0,137,15,8040,8022,30218,8148,13.9,561418240
42,135,135,0,0,134,0,0,134,16,8055,8038,30749,8152,13.12,561459200
