second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,9230,9212,627,31,1.89,299200512
2,409,158,160,0,0,0,0,160,376,8987,8788,1892,197,7.57,231276544
3,0,333,331,0,0,0,0,331,0,9092,8260,7259,839,48.54,245710848
4,263,2,2,0,0,0,0,2,263,8440,8398,1350,30,26.58,231600128
5,254,203,203,0,0,0,0,203,312,8720,8010,7218,769,25.48,256671744
6,358,239,245,0,0,0,0,245,450,9128,8445,6770,748,50.77,267890688
7,133,195,192,0,0,0,0,192,425,9771,8844,7985,963,50.79,313647104
8,81,291,288,0,0,0,0,288,369,9433,8776,4364,464,47.28,270204928
9,37,196,196,0,0,0,0,196,171,8879,8754,1058,30,31.65,224849920
11,179,0,0,0,0,0,0,0,179,8580,8560,1058,30,0.38,224849920
12,140,121,122,0,0,0,0,122,295,9121,8430,6286,608,36.73,249331712
13,421,288,287,0,0,0,0,287,349,9382,8444,7509,858,45.45,257564672
14,0,331,331,0,0,0,0,331,0,0,0,0,0,0,0
15,111,0,0,0,0,0,0,0,111,9155,9051,960,30,44.35,256430080
16,634,27,34,0,0,0,0,34,727,8910,8588,4245,453,5,266182656
17,46,236,234,0,0,0,0,234,717,9674,8204,16516,2166,45.88,333606912
18,574,285,281,0,0,0,0,281,832,9749,8366,12437,1379,56.73,352014336
19,35,83,82,0,0,0,0,82,820,10126,8680,15757,2367,49.41,384217088
20,175,344,344,0,0,0,0,344,782,10464,8622,15185,1762,47.9,390115328
21,97,103,103,0,0,0,0,103,607,0,0,0,0,0,0
22,30,609,609,0,0,0,0,609,599,10583,9504,12833,693,55.3,409665536
23,0,15,15,0,0,0,0,15,0,9439,9342,1341,30,31.62,336207872
24,406,44,44,0,0,0,0,44,406,9978,9145,7800,912,18.25,267567104
25,0,362,362,0,0,0,0,362,0,10115,9655,2951,311,52.86,239624192
26,348,51,53,0,0,0,0,53,297,10274,9920,6095,635,12.99,247201792
27,241,221,223,0,0,0,0,223,341,11165,10448,6486,813,48.71,266604544
28,102,346,346,0,0,0,0,346,318,11092,10755,3312,237,50.31,228397056
29,390,85,81,0,0,0,0,81,390,0,0,0,0,0,0
30,364,185,185,0,0,0,0,185,592,11170,10337,8896,1166,33.47,273457152
31,0,282,282,0,0,0,0,282,0,12323,11055,10536,1068,50.48,332955648
32,483,307,307,0,0,0,0,307,470,12392,11499,7160,782,50.89,287698944
33,0,196,198,0,0,0,0,198,0,12164,11289,6905,788,44.64,287522816
34,340,317,315,0,0,0,0,315,286,0,0,0,0,0,0
35,423,297,297,0,0,0,0,297,404,12620,11904,6932,846,51.86,232284160
36,339,81,82,0,0,0,0,82,662,12604,11649,12761,1312,45.57,307408896
37,289,59,60,0,0,0,0,60,904,0,0,0,0,0,0
38,85,445,445,0,0,0,0,445,848,13335,11479,16464,1648,51.23,404037632
39,4,342,346,0,0,0,0,346,458,12866,12004,7947,603,58.22,321921024
40,291,163,159,0,0,0,0,159,385,0,0,0,0,0,0
41,65,387,385,0,0,0,0,385,118,13427,12497,12040,894,51.33,307236864
43,30,30,30,0,0,0,0,30,30,12380,12315,1265,118,2.56,175648768
47,466,2,2,0,0,0,0,2,466,11226,11205,671,30,0.56,169848832
48,56,80,86,0,0,0,0,86,449,11896,10639,10875,1324,32.24,264826880
49,140,502,496,0,0,0,0,496,438,12306,11369,7178,712,58.68,286035968
50,35,113,113,0,0,0,0,113,35,11296,11219,2602,30,23.85,253829120
51,83,83,83,0,0,0,0,83,83,10955,10851,866,30,13.16,199262208
52,399,13,21,0,0,0,0,21,399,10899,9987,8239,934,28,243417088
53,208,394,403,0,0,0,0,403,247,0,0,0,0,0,0
54,230,270,269,0,0,0,0,269,297,11253,10814,4981,542,49.56,260202496
55,262,258,243,0,0,0,0,243,230,11187,10615,5427,540,51.97,221433856
56,346,206,207,0,0,0,0,207,394,11796,10999,6058,662,49.28,202932224
