second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,6946,6925,14794,33,0.95,946077696
2,357,0,156,0,0,0,0,156,439,7145,6925,16555,271,6.07,954691584
3,52,0,335,0,0,0,0,335,491,8321,6925,11617,1419,55.17,712163328
4,208,0,1,0,0,0,0,1,699,8420,6925,12427,1504,24.27,673435648
5,327,0,81,0,0,0,0,81,1026,0,0,0,0,0,0
6,99,0,261,0,0,0,0,261,1125,9948,6885,25149,3140,35.99,581316608
7,321,0,358,0,0,0,0,358,1446,10127,6611,29181,3621,48.5,635604992
8,140,0,334,0,0,0,0,334,1586,10946,6481,36433,4547,48.68,732360704
9,31,0,91,0,0,0,0,91,1617,11261,6481,38714,4790,37.68,775639040
12,224,77,2,95,95,86,0,278,1772,11476,6329,43106,5293,12.81,784633856
13,86,218,228,285,272,213,0,998,1755,11319,6333,42562,4915,47.58,799551488
14,331,196,142,111,124,192,0,569,1767,0,0,0,0,0,0
15,38,82,236,82,82,82,0,482,1770,11605,6405,47513,5274,47.55,865865728
16,159,211,132,237,214,212,0,795,1741,10544,5561,46946,4892,52.41,886468608
17,114,340,37,342,364,348,0,1091,1675,0,0,0,0,0,0
18,295,107,166,82,81,99,0,428,1633,10276,6014,35063,4169,46.87,862838784
19,494,30,2,27,29,29,0,87,2097,10356,5400,45068,5546,40.12,908136448
20,90,206,12,264,263,223,0,762,2187,11087,5457,50041,6313,38.19,955715584
21,43,150,213,92,93,133,0,531,1874,10937,5735,48243,5655,53.93,939806720
22,240,0,435,1,1,1,0,438,2114,0,0,0,0,0,0
23,38,9,323,8,8,8,0,347,2143,11107,4880,55084,6433,49.03,995594240
24,26,295,210,302,302,299,0,1113,2147,10612,4864,52303,5668,55.04,1005551616
25,253,113,83,154,119,114,0,470,2112,0,0,0,0,0,0
26,11,249,137,219,247,244,0,847,2015,11222,5193,56159,5951,43.7,1041682432
27,406,74,99,62,68,74,0,303,2108,10920,5341,47872,5626,40.24,1016528896
28,0,203,124,197,198,203,0,722,0,11236,5158,51402,5891,44.24,1034575872
29,202,0,267,0,0,0,0,267,2107,0,0,0,0,0,0
30,278,14,212,14,14,14,0,254,2371,11400,5122,55792,6355,35.32,1058119680
31,141,80,122,158,134,98,0,512,2511,12182,5281,63177,7174,48.09,1133162496
32,33,274,95,308,304,263,1,970,2317,0,0,0,0,0,0
33,38,280,194,196,214,289,0,893,2185,12464,6046,60220,6299,51.93,1122639872
34,30,409,68,390,399,401,0,1258,1948,12268,6752,56017,5326,59.77,1104531456
35,364,79,0,157,157,80,0,394,1915,0,0,0,0,0,0
36,51,171,205,90,84,161,0,540,1850,12941,7610,43233,5176,53.63,1104977920
37,308,24,192,47,24,24,0,287,2020,0,0,0,0,0,0
38,36,242,149,257,278,259,0,943,2022,13779,8167,46430,5504,47.67,1090744320
39,390,87,229,43,51,70,0,393,2116,0,0,0,0,0,0
40,57,163,0,244,235,181,0,660,2173,0,0,0,0,0,0
41,56,223,96,144,152,205,0,597,1919,14876,8998,47676,5604,52.31,1093697536
42,179,203,422,206,207,208,0,1043,1845,0,0,0,0,0,0
43,220,86,9,85,85,81,0,260,1953,14850,9404,50998,5715,51.49,1122029568
44,291,73,111,191,138,76,0,516,2171,14798,8868,51126,6433,44.82,1117028352
45,302,123,1,7,59,119,1,186,2350,0,0,0,0,0,0
46,198,55,192,75,51,55,0,373,2493,0,0,0,0,0,0
47,140,89,232,63,87,89,0,471,2544,0,0,0,0,0,0
48,49,35,351,40,40,38,0,469,2567,0,0,0,0,0,0
49,114,186,76,185,185,187,0,633,2558,15470,8063,61540,7542,42.1,1182777344
50,166,175,227,179,171,171,0,748,2490,0,0,0,0,0,0
