second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,8830,8812,676,35,1.14,265326592
2,290,118,0,0,127,0,0,127,299,8659,8469,2092,255,9.71,272859136
3,119,373,0,0,364,0,0,364,254,8978,8372,5430,435,46.59,235307008
4,263,11,0,0,13,0,0,13,258,8416,8279,4705,34,27.33,225878016
5,402,93,0,0,92,0,0,92,562,8399,7910,8075,607,21.9,258465792
6,77,234,0,0,239,0,0,239,462,9211,7934,13016,1679,42.3,315068416
7,213,358,0,0,354,0,0,354,288,9503,9006,6906,369,64.09,285237248
8,140,270,0,0,275,0,0,275,141,9371,9100,2208,148,52.3,280907776
9,31,160,0,0,153,0,0,153,31,9122,8962,1682,35,27.26,278220800
12,222,25,0,0,30,0,0,30,205,8110,7967,3540,373,3.11,289710080
13,409,251,0,0,246,0,0,246,355,8616,8147,4887,381,51.83,214315008
14,109,162,0,0,178,0,0,178,357,9454,8424,7621,949,45.03,265560064
15,0,302,0,0,286,0,0,286,0,0,0,0,0,0,0
16,615,7,0,0,7,0,0,7,608,8805,8748,3848,34,30.55,244269056
17,381,15,0,0,15,0,0,15,974,8868,8039,7631,920,14.49,244076544
18,0,127,0,0,137,0,0,137,0,0,0,0,0,0,0
19,144,255,0,0,256,0,0,256,881,0,0,0,0,0,0
20,116,369,0,0,380,0,0,380,767,0,0,0,0,0,0
21,431,284,0,0,266,0,0,266,662,10137,8981,16639,931,52.35,406917120
22,0,236,0,0,233,0,0,233,0,10383,9282,12852,1943,56.46,470462464
23,15,409,0,0,408,0,0,408,385,10904,9677,10398,1186,53.85,430178304
24,323,33,0,0,38,0,0,38,306,10372,10032,4263,33,25.42,277839872
25,83,302,0,0,298,0,0,298,334,10570,9731,11139,863,38.73,282411008
26,154,71,0,0,70,0,0,70,154,9869,9767,3493,32,42.68,264486912
27,264,202,0,0,211,0,0,211,223,9640,9017,5638,666,27.48,277393408
28,203,50,0,0,47,0,0,47,390,10274,9425,7882,1006,48.62,224591872
29,269,392,0,0,395,0,0,395,258,0,0,0,0,0,0
30,208,273,0,0,272,0,0,272,274,11114,10313,7787,700,54.36,270528512
31,312,223,0,0,218,0,0,218,308,11486,10845,5605,727,58.66,221155328
32,175,312,0,0,323,0,0,323,268,11575,11064,5160,338,51.49,220172288
33,343,173,0,0,168,0,0,168,345,11943,11121,5534,660,45.42,204161024
34,266,303,0,0,294,0,0,294,266,11983,11761,3884,32,50.98,200261632
35,74,202,0,0,208,0,0,208,320,12429,11781,5740,527,41.36,239730688
36,452,223,0,0,227,0,0,227,382,0,0,0,0,0,0
37,412,147,0,0,141,0,0,141,634,0,0,0,0,0,0
38,329,91,0,0,87,0,0,87,908,12776,10918,20117,2612,49.78,361213952
39,0,315,0,0,317,0,0,317,0,0,0,0,0,0,0
40,96,548,0,0,546,0,0,546,103,0,0,0,0,0,0
41,142,245,0,0,245,0,0,245,245,13240,12606,10002,489,58.35,340754432
44,65,65,0,0,65,0,0,65,65,12264,12126,1783,149,10.7,227913728
46,30,30,0,0,30,0,0,30,30,11824,11775,656,32,5.31,171671552
50,466,11,0,0,12,0,0,12,466,10534,9926,6427,787,11.08,205234176
51,18,269,0,0,279,0,0,279,437,10993,10100,8319,721,50.62,248778752
52,178,382,0,0,371,0,0,371,186,10730,10427,1625,51,58.1,238829568
53,118,35,0,0,35,0,0,35,83,9848,9794,1697,32,6.03,239181824
54,225,83,0,0,83,0,0,83,225,9929,9827,1322,38,13.98,173121536
55,174,216,0,0,219,0,0,219,399,10363,9563,6530,524,55.44,224268288
56,245,307,0,0,304,0,0,304,188,0,0,0,0,0,0
57,419,117,0,0,119,0,0,119,454,10634,10224,3015,343,43.92,185901056
58,67,389,0,0,387,0,0,387,368,10734,9553,10168,1197,47.99,268242944
