second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,130,130,0,0,0,0,130,9,7955,7800,620,30,17.74,120549376
1,134,135,135,0,0,0,0,135,9,7971,7803,822,28,19.76,119390208
2,136,135,135,0,0,0,0,135,8,7988,7811,671,30,17.28,119435264
3,134,136,136,0,0,0,0,136,9,8002,7825,983,28,20.57,115437568
4,136,134,134,0,0,0,0,134,9,8007,7833,809,30,18.26,116264960
5,134,136,136,0,0,0,0,136,9,8018,7842,836,30,20.25,113336320
6,136,133,133,0,0,0,0,133,10,8027,7849,688,38,20.11,113664000
7,135,134,134,0,0,0,0,134,9,8040,7864,695,29,22.8,113680384
8,135,136,136,0,0,0,0,136,9,8045,7869,619,25,16.36,110522368
9,135,135,135,0,0,0,0,135,8,8062,7885,1027,31,19.36,110956544
10,134,134,134,0,0,0,0,134,9,8067,7889,886,32,23.01,110534656
11,136,137,137,0,0,0,0,137,8,8077,7899,747,32,20.75,110563328
12,135,134,134,0,0,0,0,134,8,8083,7908,800,27,19.41,110567424
13,134,135,135,0,0,0,0,135,9,8091,7920,718,38,17.54,110874624
14,135,135,135,0,0,0,0,135,10,8103,7923,799,29,17.81,111157248
15,136,136,136,0,0,0,0,136,9,8113,7938,699,30,20.21,110649344
16,134,135,135,0,0,0,0,135,9,8121,7946,671,32,17.71,110796800
17,136,136,136,0,0,0,0,136,9,8129,7956,989,28,21.56,111226880
18,134,134,134,0,0,0,0,134,10,8140,7964,863,35,17.63,111415296
19,135,135,135,0,0,0,0,135,9,8152,7978,684,32,20.18,113037312
20,136,133,133,0,0,0,0,133,9,8162,7989,782,35,16.36,113176576
21,135,136,136,0,0,0,0,136,9,8175,7998,681,32,22,113098752
22,134,134,134,0,0,0,0,134,9,8184,8009,877,29,20.26,111247360
23,135,136,136,0,0,0,0,136,9,8194,8019,795,33,19.61,111398912
24,135,136,136,0,0,0,0,136,9,8203,8026,750,33,17.98,111296512
25,135,134,135,0,0,0,0,135,8,7943,7763,679,32,17.72,111398912
26,136,135,134,0,0,0,0,134,9,7950,7773,956,30,19.55,111362048
27,135,135,135,0,0,0,0,135,8,0,0,0,0,0,0
28,135,136,136,0,0,0,0,136,13,7962,7787,731,31,19.47,111931392
29,135,134,135,0,0,0,0,135,8,7974,7796,943,35,19.96,112074752
30,135,136,135,0,0,0,0,135,8,8012,7837,991,29,20.87,115499008
31,135,134,134,0,0,0,0,134,8,8019,7841,880,29,24.22,112214016
32,135,135,135,0,0,0,0,135,10,8032,7857,684,27,24.02,111099904
33,134,136,136,0,0,0,0,136,10,8050,7874,863,27,20.03,111759360
34,136,135,135,0,0,0,0,135,9,8059,7883,712,35,22.26,111386624
35,135,134,134,0,0,0,0,134,10,8068,7895,866,31,18.67,108937216
36,135,135,135,0,0,0,0,135,9,8075,7899,736,36,18.33,107257856
37,134,135,136,0,0,0,0,136,9,8085,7908,939,32,19.57,108392448
38,135,136,135,0,0,0,0,135,10,8097,7921,745,30,18.86,107065344
39,136,134,134,0,0,0,0,134,9,8111,7937,769,29,14.73,107814912
40,134,136,136,0,0,0,0,136,9,8121,7947,970,32,19.95,108851200
41,136,135,135,0,0,0,0,135,9,8131,7957,953,33,20.73,108736512
42,135,134,134,0,0,0,0,134,9,8144,7968,877,30,19.26,107728896
43,135,135,135,0,0,0,0,135,9,8150,7976,716,38,19.83,107302912
44,135,136,136,0,0,0,0,136,10,8163,7989,613,28,20.34,107970560
45,135,133,133,0,0,0,0,133,12,8174,7997,872,27,17.74,107966464
46,134,136,136,0,0,0,0,136,10,8183,8010,754,29,18.85,107376640
47,135,133,133,0,0,0,0,133,10,8198,8022,887,30,23.63,108503040
48,136,136,136,0,0,0,0,136,9,8206,8027,793,30,21.15,107311104
49,135,135,135,0,0,0,0,135,9,8215,8040,642,26,20.85,107167744
50,135,137,137,0,0,0,0,137,9,8226,8050,939,29,17.35,108658688
51,134,134,134,0,0,0,0,134,8,8231,8055,884,28,19.58,108417024
52,135,136,136,0,0,0,0,136,10,8244,8066,776,29,17.51,107565056
53,136,134,134,0,0,0,0,134,9,7979,7806,681,31,19.83,107327488
54,134,136,136,0,0,0,0,136,9,7990,7814,932,31,19.78,108564480
55,135,134,134,0,0,0,0,134,9,8001,7824,706,31,22.98,107462656
56,135,135,136,0,0,0,0,136,9,0,0,0,0,0,0
57,135,136,135,0,0,0,0,135,10,8010,7836,786,33,16.28,107511808
58,136,134,134,0,0,0,0,134,9,8022,7849,706,31,18.95,107401216
