second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,128,0,0,129,0,0,129,11,32,11,499,17,0,74743808
1,135,136,0,0,135,0,0,135,10,435,269,1272,38,26.25,100564992
2,135,136,0,0,136,0,0,136,11,725,543,1113,37,28.55,108453888
3,135,134,0,0,134,0,0,134,9,992,813,921,41,26.44,112312320
4,135,135,0,0,135,0,0,135,10,1262,1082,1475,40,29.89,114323456
5,135,134,0,0,134,0,0,134,11,1533,1350,1295,49,35.22,117116928
6,135,136,0,0,136,0,0,136,9,1807,1630,1129,38,31.14,119201792
7,135,133,0,0,133,0,0,133,11,2078,1898,711,39,30.33,121081856
8,135,138,0,0,138,0,0,138,9,2351,2174,1332,35,21.48,121217024
9,135,134,0,0,134,0,0,134,9,2626,2445,1218,42,18.34,121462784
10,135,135,0,0,136,0,0,136,9,2897,2717,991,42,16.56,121528320
11,135,135,0,0,134,0,0,134,10,3170,2993,794,38,22.26,118108160
12,135,136,0,0,136,0,0,136,11,3444,3268,1354,37,20.62,118747136
13,135,133,0,0,133,0,0,133,9,3718,3540,1185,43,21.18,117178368
14,135,135,0,0,135,0,0,135,10,3994,3817,732,41,18.03,117055488
15,135,136,0,0,136,0,0,136,10,4268,4093,1244,35,19.34,117903360
16,135,134,0,0,134,0,0,134,9,4544,4368,1196,39,19.36,118128640
17,135,136,0,0,136,0,0,136,10,4816,4639,1015,39,16.85,118218752
18,135,136,0,0,136,0,0,136,10,5094,4916,859,39,18.86,118255616
19,135,134,0,0,134,0,0,134,9,5370,5195,1467,38,17.93,118587392
20,135,136,0,0,136,0,0,136,8,5646,5469,1271,35,14.86,118091776
21,135,134,0,0,134,0,0,134,10,5924,5741,1068,40,18.47,118181888
22,135,135,0,0,135,0,0,135,9,6201,6023,887,34,19.59,117833728
23,135,135,0,0,135,0,0,135,10,6478,6301,751,41,15.27,117809152
24,135,135,0,0,135,0,0,135,10,6756,6579,1337,33,14.19,117534720
25,135,134,0,0,134,0,0,134,10,7034,6857,1227,39,24.93,117604352
26,135,133,0,0,133,0,0,133,9,7317,7139,1031,32,18.72,117256192
27,135,136,0,0,136,0,0,136,9,7595,7419,847,35,18.1,117084160
28,135,137,0,0,137,0,0,137,10,7865,7688,705,36,22.65,117964800
29,135,135,0,0,135,0,0,135,9,8076,7898,1414,34,17.17,119074816
30,135,134,0,0,134,0,0,134,9,8083,7904,1324,33,20.5,119078912
31,135,136,0,0,136,0,0,136,9,8089,7908,1213,37,20.71,119525376
32,135,135,0,0,135,0,0,135,9,8098,7924,1045,35,16.05,119406592
33,135,136,0,0,136,0,0,136,9,8112,7930,916,34,17.07,118779904
34,135,134,0,0,134,0,0,134,10,8125,7948,638,31,17.45,118652928
35,135,134,0,0,134,0,0,134,10,8135,7954,1339,32,20.87,118652928
36,135,137,0,0,137,0,0,137,10,8144,7966,1141,34,20.39,118128640
37,135,132,0,0,132,0,0,132,9,8152,7973,1018,37,18.24,118263808
38,135,137,0,0,137,0,0,137,9,8161,7981,870,33,20.65,118185984
39,135,135,0,0,135,0,0,135,8,8177,7995,735,34,16.15,119554048
40,135,136,0,0,136,0,0,136,9,8184,8000,766,34,22.03,120451072
41,135,134,0,0,134,0,0,134,9,0,0,0,0,0,0
42,135,136,0,0,136,0,0,136,9,8197,8017,1230,31,16.43,120631296
43,135,135,0,0,135,0,0,135,9,8204,8025,1131,35,19.63,121352192
44,135,135,0,0,135,0,0,135,10,8215,8037,1100,28,17.91,121499648
45,135,134,0,0,134,0,0,134,9,8222,8042,832,33,21.48,121610240
46,135,134,0,0,134,0,0,134,9,8230,8053,699,35,20.99,121544704
47,135,136,0,0,136,0,0,136,10,8240,8064,1445,40,20.87,121946112
48,135,134,0,0,134,0,0,134,10,8253,8075,1396,32,19.6,121651200
49,135,136,0,0,136,0,0,136,9,8263,8086,1128,32,19.09,116805632
50,135,136,0,0,136,0,0,136,9,8004,7826,944,37,21.64,118829056
51,135,134,0,0,134,0,0,134,9,8009,7830,893,33,19.02,119201792
52,135,134,0,0,134,0,0,134,10,8021,7838,772,35,17.41,123305984
53,135,135,0,0,135,0,0,135,11,8032,7853,1408,35,16.81,123342848
54,135,135,0,0,135,0,0,135,10,8044,7864,1301,41,17.22,123326464
55,135,136,0,0,136,0,0,136,9,8051,7874,987,30,18.86,120803328
56,135,135,0,0,135,0,0,135,9,8065,7881,972,34,18.03,121155584
57,135,136,0,0,136,0,0,136,9,8078,7899,805,30,14.5,121155584
58,135,133,0,0,133,0,0,133,12,8078,7905,769,40,21.03,121552896
59,135,136,0,0,136,0,0,136,12,8098,7921,1448,34,19.15,121470976
60,135,136,0,0,136,0,0,136,9,8106,7929,1233,38,17.24,122499072
61,135,135,0,0,135,0,0,135,9,8125,7946,1135,31,18.03,122396672
62,135,134,0,0,134,0,0,134,9,8136,7954,847,32,18.93,117559296
63,135,134,0,0,134,0,0,134,9,8144,7965,732,34,14.7,113500160
64,135,136,0,0,136,0,0,136,9,8151,7971,1376,34,22.22,117641216
65,135,134,0,0,134,0,0,134,9,8163,7982,1226,33,17.46,117592064
66,135,136,0,0,136,0,0,136,9,8176,7997,1070,29,20.73,119140352
67,135,135,0,0,135,0,0,135,9,8188,8010,1093,32,19.15,119635968
68,135,135,0,0,135,0,0,135,9,0,0,0,0,0,0
69,135,136,0,0,136,0,0,136,10,8195,8017,840,33,19.56,117731328
70,135,133,0,0,133,0,0,133,9,8208,8026,715,35,18.96,120950784
71,135,136,0,0,136,0,0,136,10,8218,8042,1412,33,21.06,121561088
72,135,135,0,0,135,0,0,135,9,8229,8052,1417,32,20.52,125333504
73,135,134,0,0,134,0,0,134,9,8238,8062,1112,36,19.67,121688064
74,135,136,0,0,136,0,0,136,9,8250,8073,979,34,18.18,117522432
75,135,135,0,0,135,0,0,135,10,8259,8081,988,34,17.68,121069568
76,135,135,0,0,135,0,0,135,9,8274,8092,693,33,20.66,117370880
77,135,135,0,0,135,0,0,135,9,8009,7830,1339,32,18.86,121036800
78,135,134,0,0,134,0,0,134,12,8019,7836,1244,33,15.64,121520128
79,135,136,0,0,136,0,0,136,9,8032,7854,1157,30,19.26,121790464
80,135,136,0,0,136,0,0,136,9,8040,7858,1028,32,19.03,121851904
81,135,134,0,0,134,0,0,134,9,8047,7870,871,30,21.87,121733120
82,135,135,0,0,135,0,0,135,10,8055,7876,691,32,21.34,121720832
83,135,136,0,0,136,0,0,136,10,8071,7894,1417,35,18.4,121921536
84,135,135,0,0,135,0,0,135,9,8085,7906,1355,35,17.12,121892864
85,135,133,0,0,133,0,0,133,9,8100,7919,1199,32,15.62,125673472
86,135,136,0,0,136,0,0,136,9,8108,7929,1085,34,16.91,126525440
87,135,135,0,0,135,0,0,135,9,8120,7941,929,33,21.79,126386176
88,135,134,0,0,134,0,0,134,10,8138,7957,876,37,23.76,126304256
89,135,137,0,0,137,0,0,137,9,8147,7967,1311,34,17.67,121298944
90,135,134,0,0,134,0,0,134,9,8157,7972,1289,32,17.28,119058432
91,135,135,0,0,135,0,0,135,9,8166,7984,1267,41,19.74,119422976
92,135,136,0,0,136,0,0,136,10,8173,7994,964,35,18.49,121470976
93,135,134,0,0,134,0,0,134,9,8181,8003,982,35,17.85,121622528
94,135,136,0,0,136,0,0,136,10,8189,8013,794,36,20.18,126160896
95,135,131,0,0,131,0,0,131,10,0,0,0,0,0,0
96,135,138,0,0,138,0,0,138,9,8203,8026,1471,35,17.35,125366272
97,135,134,0,0,134,0,0,134,10,8210,8030,1139,34,18.44,124837888
98,135,136,0,0,137,0,0,137,9,8223,8045,967,32,15.58,124657664
99,135,135,0,0,134,0,0,134,10,8229,8050,948,30,21.68,124850176
100,135,135,0,0,135,0,0,135,9,8242,8063,703,33,16.77,124649472
101,135,135,0,0,135,0,0,135,9,8252,8073,1371,35,17.71,124895232
102,135,134,0,0,134,0,0,134,9,8261,8082,1268,32,22.94,124817408
103,135,136,0,0,137,0,0,137,10,8264,8090,1059,31,19.69,123752448
104,135,135,0,0,134,0,0,134,9,8010,7831,948,35,21.02,124067840
105,135,135,0,0,135,0,0,135,10,8020,7843,931,35,18.89,125030400
106,135,136,0,0,136,0,0,136,9,8026,7850,814,38,17.12,125300736
107,135,134,0,0,134,0,0,134,10,8040,7864,1446,34,21.98,125112320
108,135,136,0,0,136,0,0,136,10,8048,7870,1265,32,21.75,125075456
109,135,134,0,0,134,0,0,134,9,8058,7880,1048,34,12.06,124968960
110,135,134,0,0,134,0,0,134,9,8068,7890,930,39,16.4,125341696
111,135,136,0,0,136,0,0,136,9,8077,7900,751,33,20.18,125001728
112,135,134,0,0,134,0,0,134,10,8083,7904,836,40,17.93,125140992
113,135,136,0,0,136,0,0,136,10,8101,7924,1300,35,16.73,117379072
114,135,135,0,0,135,0,0,135,13,8105,7928,1169,37,15.82,113131520
115,135,135,0,0,135,0,0,135,9,8116,7939,1011,32,18.05,116641792
116,135,135,0,0,135,0,0,135,9,8125,7949,889,34,20.36,117329920
117,135,134,0,0,134,0,0,134,10,8139,7963,736,32,17.3,117358592
118,135,137,0,0,137,0,0,137,10,8151,7971,730,37,18.53,119283712
119,135,134,0,0,134,0,0,134,10,8162,7985,1359,30,19.81,119201792
120,135,136,0,0,136,0,0,136,11,8175,7997,1235,40,22.07,121249792
121,135,134,0,0,134,0,0,134,9,8181,8006,1054,34,22.08,121401344
122,135,135,0,0,135,0,0,135,10,8191,8013,1010,32,17.96,124702720
