second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,0,0,129,0,0,129,11,8173,8022,1167,33,9.74,127569920
1,136,136,0,0,136,0,0,136,9,8200,8030,1154,33,22.88,129523712
2,135,135,0,0,135,0,0,135,9,8213,8038,1002,33,17.48,134275072
3,135,134,0,0,134,0,0,134,10,8228,8045,885,41,17.66,132825088
4,135,135,0,0,135,0,0,135,18,7967,7795,723,39,18.59,133414912
5,135,133,0,0,133,0,0,133,10,7986,7801,1473,39,21.48,128958464
6,135,137,0,0,137,0,0,137,10,7993,7815,1412,32,19.35,128782336
7,135,134,0,0,134,0,0,134,9,8003,7823,1299,37,16.77,128815104
8,135,137,0,0,137,0,0,137,9,8013,7830,1157,34,20.95,128782336
9,135,134,0,0,134,0,0,134,9,8021,7843,806,34,22.27,128708608
10,135,134,0,0,134,0,0,134,9,8035,7853,679,34,16.89,128651264
11,134,136,0,0,137,0,0,137,9,8041,7865,1383,30,18.69,128462848
12,135,136,0,0,135,0,0,135,8,8047,7872,1280,28,20.53,128622592
13,135,134,0,0,134,0,0,134,9,8063,7886,1184,33,17.66,128741376
14,135,135,0,0,135,0,0,135,10,8076,7894,1036,31,18.04,128782336
15,135,136,0,0,136,0,0,136,10,8087,7909,895,33,20.12,128737280
16,135,132,0,0,132,0,0,132,10,8098,7923,719,31,15.45,125227008
17,135,136,0,0,136,0,0,136,9,8106,7929,1269,33,21.1,125321216
18,136,136,0,0,136,0,0,136,9,8111,7935,1192,34,22.41,125337600
19,134,134,0,0,134,0,0,134,9,8124,7943,1080,39,21.07,125448192
20,135,137,0,0,137,0,0,137,9,8132,7957,907,28,22,125145088
21,135,135,0,0,135,0,0,135,10,8146,7964,802,34,18.46,125333504
22,135,135,0,0,135,0,0,135,10,8152,7976,1458,33,17.52,125235200
23,136,134,0,0,134,0,0,134,9,8165,7986,1282,34,18.89,125386752
24,135,135,0,0,136,0,0,136,9,8172,7992,1265,33,19.29,125759488
25,135,135,0,0,134,0,0,134,10,8186,8008,988,32,16.22,127115264
26,134,134,0,0,134,0,0,134,9,8194,8011,855,37,17.47,127586304
27,136,136,0,0,137,0,0,137,9,0,0,0,0,0,0
28,135,136,0,0,135,0,0,135,9,8202,8025,785,36,18.94,128012288
29,135,135,0,0,135,0,0,135,10,8216,8036,1357,34,21.07,128262144
30,134,135,0,0,135,0,0,135,14,8265,8088,1328,34,18.26,128212992
31,136,134,0,0,134,0,0,134,11,8005,7828,1181,34,20.36,132362240
32,134,136,0,0,136,0,0,136,10,8018,7839,951,34,19.35,130097152
33,136,136,0,0,136,0,0,136,10,8022,7847,945,35,16.65,130060288
34,135,134,0,0,134,0,0,134,9,8036,7857,826,34,19.51,130220032
35,135,134,0,0,134,0,0,134,10,8044,7865,1507,37,23.2,130256896
36,134,134,0,0,134,0,0,134,9,8053,7876,1326,35,17.72,130269184
37,136,136,0,0,136,0,0,136,9,8066,7889,1179,32,15.76,130109440
38,135,136,0,0,136,0,0,136,11,8077,7899,914,37,17.89,127172608
39,135,135,0,0,135,0,0,135,9,8085,7901,770,32,19.79,123375616
40,134,134,0,0,134,0,0,134,9,8096,7919,786,34,21.76,125632512
41,135,135,0,0,135,0,0,135,8,8106,7926,1462,33,20.35,125616128
42,136,135,0,0,135,0,0,135,9,8113,7937,1148,34,19.94,126373888
43,134,136,0,0,136,0,0,136,10,8124,7945,1012,38,17.43,126320640
44,136,135,0,0,135,0,0,135,10,8131,7949,845,34,19.88,126709760
45,135,134,0,0,134,0,0,134,9,8145,7967,775,36,21.47,122863616
46,135,136,0,0,136,0,0,136,9,8155,7974,1504,32,17.39,122863616
47,134,134,0,0,134,0,0,134,9,8161,7986,1443,34,18.82,122990592
48,136,135,0,0,135,0,0,135,13,8174,7991,1160,34,20.33,126939136
49,134,135,0,0,135,0,0,135,10,8182,8004,1166,35,19.02,127741952
50,135,135,0,0,135,0,0,135,10,8199,8016,943,34,20.71,127737856
51,136,135,0,0,135,0,0,135,10,8203,8027,663,32,19.56,126693376
52,135,135,0,0,135,0,0,135,9,8217,8040,1352,41,17.34,126910464
53,134,136,0,0,136,0,0,136,9,8227,8049,1194,34,18.53,129945600
54,136,135,0,0,135,0,0,135,10,0,0,0,0,0,0
55,135,134,0,0,134,0,0,134,10,8236,8059,1210,35,18.57,130781184
56,135,134,0,0,134,0,0,134,53,8226,8056,903,42,14.29,126840832
