second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,44,0,0,0,0,0,0,0,44,2657,2640,495,28,3.87,78651392
2,313,0,318,0,0,0,0,318,357,2433,2350,1291,164,5.22,101163008
3,134,0,173,0,0,0,0,173,491,2919,2170,7465,1192,47.7,198934528
4,102,303,61,316,313,313,0,1003,292,2816,1878,9341,1477,25.03,245014528
5,283,188,289,175,178,178,0,820,385,2794,2256,9176,1248,31.35,246951936
6,424,32,202,61,38,38,0,339,787,3156,2258,10704,1981,45.51,285061120
7,190,254,315,252,260,250,0,1077,769,3620,2200,16486,2868,41.93,388091904
8,114,187,228,185,186,196,0,795,711,3913,2678,17758,2974,42.99,401625088
9,13,394,31,369,383,383,0,1166,630,3709,2892,16201,2533,18.93,391962624
10,0,228,0,228,228,228,0,684,0,3449,3330,13554,1867,7.66,353120256
11,31,31,0,31,31,31,0,93,31,3257,3242,13143,1767,1.35,340967424
12,352,0,301,0,0,0,0,301,383,3760,3242,17728,2571,24.64,401534976
13,357,0,284,0,0,0,0,284,740,4383,3242,17934,3806,34.29,388894720
14,0,301,155,301,301,301,0,1058,0,4738,3742,16917,3540,23.75,387661824
15,18,254,0,254,254,254,0,762,203,4738,4184,15164,3100,5.56,365592576
16,363,185,88,185,185,185,0,643,436,0,0,0,0,0,0
17,277,0,519,0,0,0,0,519,658,5511,4722,20624,3848,30.21,431505408
18,432,17,168,17,17,17,0,219,1073,6358,4724,24146,5158,38.61,529043456
19,140,420,342,481,422,422,0,1667,1095,7054,5200,27750,5564,35.13,574771200
20,342,237,216,272,304,246,0,1038,937,7616,5992,30868,5897,37.22,601550848
21,115,443,354,347,374,432,0,1507,893,0,0,0,0,0,0
22,15,216,15,216,216,216,0,663,369,8112,6956,24665,5380,33.97,595292160
23,0,354,0,354,354,354,0,1062,0,8142,7406,19376,4983,8.32,570372096
24,228,0,196,1,0,0,0,197,243,8142,8096,16616,4292,5.11,530055168
25,178,15,210,14,15,15,0,254,406,8696,8126,19571,5203,35.38,467165184
26,146,196,69,196,196,196,0,657,356,8954,8126,21310,5479,12.75,478158848
27,252,210,296,210,210,210,0,926,409,9390,8696,23459,5660,28.37,501596160
28,279,49,261,53,53,50,0,417,628,10024,8932,26170,6462,32.5,533323776
29,360,201,87,199,199,201,0,686,787,10485,9396,29124,6826,26.55,568459264
30,113,354,307,374,353,353,0,1387,827,11171,9936,28978,6996,38.02,594034688
31,295,109,275,87,108,109,0,579,742,0,0,0,0,0,0
32,200,212,317,276,275,220,0,1088,920,11836,10356,33469,7655,39.48,634339328
33,258,351,259,299,289,344,0,1191,755,12381,11157,32932,7712,34.01,643796992
34,258,266,185,257,267,266,0,975,633,12326,11346,34718,7798,29.89,681443328
35,243,287,244,284,285,286,0,1099,720,12612,11590,38811,8319,34.84,753475584
36,185,144,241,209,157,154,0,761,616,0,0,0,0,0,0
37,483,90,27,25,76,79,1,207,1009,0,0,0,0,0,0
38,366,237,8,249,249,249,0,755,1138,12750,11167,38594,9674,30.98,784957440
39,158,221,331,209,209,209,0,958,1097,0,0,0,0,0,0
40,103,51,285,51,51,51,0,438,1178,12690,10898,46066,10676,35.41,873992192
41,0,213,507,335,314,215,0,1371,0,13143,11286,40971,10045,33.9,874823680
42,65,272,65,264,221,269,1,819,771,0,0,0,0,0,0
43,0,642,0,528,590,641,1,1759,0,13240,12084,39640,9609,14.87,865488896
44,30,65,30,65,65,65,0,225,95,12638,12492,35736,8657,6.49,805515264
46,0,30,0,30,30,30,0,90,0,11820,11744,35763,8618,0.56,806350848
48,162,0,82,0,0,0,0,82,162,11786,11770,35522,8557,1.58,806719488
49,309,0,44,0,0,0,0,44,471,11824,10952,43526,9975,30.46,849637376
50,191,31,450,35,31,31,0,547,662,10899,9632,43862,10488,37.5,877596672
51,35,95,121,91,95,95,0,402,576,0,0,0,0,0,0
52,83,450,83,450,450,450,0,1433,407,10548,9430,38408,10364,7.29,875532288
53,387,107,25,107,107,107,0,346,484,10010,9758,35722,9581,18.4,844754944
54,38,91,358,97,97,97,0,649,496,10484,9808,37536,10708,33.98,872579072
55,406,26,109,20,20,20,0,169,811,0,0,0,0,0,0
56,232,126,108,145,137,130,0,520,1038,11247,9680,47745,12422,31.41,960933888
57,55,344,447,325,333,340,0,1445,890,11328,9937,45376,11718,32.91,965464064
58,460,16,37,16,16,16,0,85,1072,0,0,0,0,0,0
59,299,126,154,126,126,126,0,532,1360,0,0,0,0,0,0
60,0,440,311,444,442,440,1,1637,0,11102,9243,55535,13337,30.86,1064644608
61,0,115,217,122,121,114,0,574,0,11492,9890,54368,12809,34.43,1057447936
62,42,362,111,351,353,362,0,1177,370,11226,10166,48416,12462,14.68,1024737280
63,134,217,176,217,217,217,0,827,488,10744,10147,43838,11482,23.39,1002299392
64,0,111,0,111,111,111,0,333,0,10186,9818,42941,11260,2.43,981057536
65,197,99,164,141,118,102,0,525,275,0,0,0,0,0,0
66,354,77,175,35,58,74,0,342,551,9708,9307,37916,11090,26.95,996220928
67,330,164,50,164,164,164,0,542,777,10308,9246,44753,12090,32.26,1007280128
68,65,175,305,175,175,175,0,830,760,10051,8890,44630,11938,29.44,1028227072
69,204,4,220,4,4,4,0,232,807,0,0,0,0,0,0
70,92,76,235,78,78,78,0,469,838,10475,8888,47905,12586,28.96,1037647872
71,351,98,12,195,148,105,0,460,1127,0,0,0,0,0,0
72,29,423,183,324,371,414,0,1292,824,9945,8682,48610,12622,34.72,993648640
73,235,0,245,0,0,0,0,245,917,9198,7736,47261,12543,32.53,995426304
74,97,259,81,269,260,259,0,869,994,9630,8124,46218,12499,31.14,975626240
75,134,390,282,380,389,390,0,1441,724,0,0,0,0,0,0
76,353,21,138,21,21,21,0,201,831,9872,8848,45554,12033,28.63,994590720
77,146,326,73,326,325,325,1,1049,971,10395,9536,46791,12209,29.39,992514048
78,60,154,449,154,154,154,0,911,658,0,0,0,0,0,0
79,220,60,208,72,67,67,0,414,739,11011,9850,43964,11804,34.26,1023242240
80,143,246,160,325,326,246,0,1057,732,11532,10231,47308,11992,43.2,1037025280
81,453,214,9,124,128,208,0,469,853,0,0,0,0,0,0
82,126,314,47,317,317,315,0,996,943,11136,10250,45648,12249,33.06,1041395712
83,0,65,505,61,61,63,0,690,0,0,0,0,0,0,0
84,0,47,48,47,47,47,0,189,0,11377,10162,43407,12124,30.57,1047658496
85,0,505,0,505,505,505,0,1515,0,11263,10298,41939,11458,8.39,1037000704
86,0,48,0,48,48,48,0,144,0,11006,10922,38656,10517,9.2,984449024
89,116,0,63,0,0,0,0,63,116,10043,10028,38640,9813,0.94,974094336
90,188,0,212,0,0,0,0,212,304,9566,9148,42987,10135,29.49,984231936
91,198,54,204,55,54,54,0,367,492,9776,8926,37607,10450,29.58,857489408
92,120,221,143,220,221,221,0,805,481,9452,8674,38836,10266,22.57,765267968
93,74,181,35,182,182,181,0,580,247,9083,8612,38307,9754,11.62,761204736
94,357,166,196,165,165,166,0,692,431,0,0,0,0,0,0
95,10,35,210,35,35,35,0,315,441,9307,8584,43448,10199,28.69,773984256
96,0,196,0,196,196,196,0,588,0,9326,8648,42807,9773,11.4,781434880
97,103,210,54,210,210,210,0,684,103,8998,8776,40979,9089,5.8,768077824
98,26,0,75,0,0,0,0,75,129,8906,8634,34319,8816,18.91,717004800
99,0,54,0,54,54,54,0,162,0,8898,8626,29517,8530,2.63,714813440
100,0,75,0,75,75,75,0,225,0,8747,8732,28500,8013,2.83,709898240
102,222,0,170,0,0,0,0,170,222,7850,7690,29761,8269,10.43,727666688
103,347,0,125,0,0,0,0,125,569,8435,7690,34503,9544,31.42,770211840
104,125,151,368,167,152,151,0,838,606,8509,7422,36519,9679,34.71,796909568
105,257,144,246,128,143,144,0,661,686,8272,6978,40125,10181,31.69,822382592
106,191,330,133,330,330,330,0,1123,754,0,0,0,0,0,0
107,224,283,296,284,284,284,0,1148,596,8017,7072,39018,10092,37.5,808235008
108,266,134,174,133,133,133,0,573,590,8288,7246,42248,10495,37.59,838676480
109,44,278,164,286,279,278,0,1007,634,8636,7582,43856,10120,25.97,844812288
110,0,192,0,184,191,192,0,567,0,8258,7856,41375,9310,7.14,827973632
111,0,164,0,164,164,164,0,492,0,7716,7698,39854,8891,4.31,799277056
113,114,0,0,0,0,0,0,0,114,7005,6940,41140,8775,4.41,804380672
114,285,0,0,0,0,0,0,0,399,6394,6004,33309,9580,27.44,795435008
115,65,0,331,0,0,0,0,331,464,0,0,0,0,0,0
116,260,0,341,0,0,0,0,341,724,6730,5736,35168,9402,35.73,834527232
117,336,116,4,122,115,115,1,356,1057,7583,5961,42442,10640,34.9,837267456
118,104,269,349,268,274,274,0,1165,779,0,0,0,0,0,0
119,147,287,36,284,284,282,0,886,889,7999,6517,42998,9950,27.12,840380416
120,41,353,291,351,351,353,0,1346,655,8446,7273,42861,9455,33.05,867983360
121,204,34,204,34,34,34,0,306,531,8574,7699,42963,9347,16.48,868446208
122,0,293,0,293,293,293,0,879,0,8340,7913,41788,8899,26.85,866885632
123,0,204,0,204,204,204,0,612,0,7958,7531,41785,8718,1.07,863940608
124,64,0,0,0,0,0,0,0,64,7623,7605,40165,8314,6.59,841506816
125,253,0,283,0,0,0,0,283,317,8016,7535,44908,8940,25.67,899571712
126,307,0,50,0,0,0,0,50,624,8043,7143,36464,9640,38.9,894521344
127,367,81,13,82,81,81,0,257,922,0,0,0,0,0,0
128,0,252,307,251,251,251,1,1060,0,8407,6885,41130,10246,34.67,910786560
129,0,13,338,13,13,13,0,377,0,8658,7325,38243,9663,37.01,931876864
130,0,307,0,307,307,307,0,921,0,8465,7170,38091,9376,1.13,930131968
131,0,338,0,338,338,338,0,1014,0,8465,8448,32926,7878,12.38,862318592
132,285,0,115,0,0,0,0,115,285,8691,8448,30579,8061,17.07,813826048
133,291,0,13,0,0,0,0,13,576,9137,8448,34211,9331,24.56,705015808
134,0,115,448,115,115,115,0,793,0,9321,8382,33247,8870,28.62,719290368
135,0,13,0,13,13,13,0,39,0,9026,8114,33142,8707,0.56,717967360
136,0,448,0,448,448,448,0,1344,0,8366,8350,29527,7561,8.28,668209152
137,364,0,60,0,0,0,0,60,364,8189,7784,35634,8408,23.68,669106176
138,301,0,304,0,0,0,0,304,665,0,0,0,0,0,0
139,74,60,375,60,60,60,0,555,719,8320,6960,41751,9272,35.28,739004416
140,0,304,0,304,303,303,1,910,0,8070,6878,41655,8873,24.27,781504512
141,0,375,0,375,375,375,0,1125,0,7742,7024,39748,8173,6.2,776179712
143,265,0,0,0,0,0,0,0,265,0,0,0,0,0,0
144,218,0,10,0,0,0,0,10,483,8222,7726,30632,8503,14.79,749821952
145,0,0,473,0,0,0,0,473,0,8708,7726,31589,8502,26.83,782397440
146,0,10,0,10,10,10,0,30,0,8708,7746,31510,8482,0.38,781922304
147,188,473,98,473,473,473,0,1517,449,8671,8459,29402,7830,16.22,767057920
148,188,0,278,0,0,0,0,278,376,8689,7921,31120,8665,38.6,775876608
149,143,98,89,98,98,98,0,383,421,0,0,0,0,0,0
150,329,129,11,186,167,141,0,505,744,7978,6867,36699,9606,25.99,731037696
151,0,229,372,173,191,217,0,953,0,8285,7393,35016,8780,29.75,746643456
152,103,10,59,19,20,20,0,118,485,7830,6919,36068,8791,9.61,756523008
153,233,380,161,370,370,370,0,1271,503,0,0,0,0,0,0
154,175,4,200,4,4,4,0,212,509,8003,7271,39183,8951,28.6,791920640
155,451,117,5,119,119,119,0,362,902,0,0,0,0,0,0
156,447,59,42,65,65,64,0,236,1277,9013,7502,45311,11108,28.79,849698816
157,33,245,337,237,237,238,0,1049,1223,0,0,0,0,0,0
158,19,2,441,2,2,2,0,447,1036,9098,7456,45213,10684,35.85,876376064
159,177,250,320,257,251,251,0,1079,1088,9542,7520,44209,10907,31.64,868610048
160,0,570,73,563,569,569,0,1774,0,9265,8120,41098,9964,25.75,852529152
161,80,292,8,309,300,299,0,916,302,8587,8116,38392,9292,3.95,837742592
162,375,101,143,84,93,94,0,414,455,9089,8568,43009,9850,30.69,868544512
163,88,8,392,8,8,8,0,416,543,9673,8580,46259,9896,31.98,917196800
164,86,143,48,143,143,143,0,477,478,9570,8640,46475,9702,15.11,922718208
165,223,392,220,392,392,392,0,1396,573,0,0,0,0,0,0
166,133,47,174,47,47,47,0,315,442,9213,8502,48442,9489,37.92,956329984
167,154,202,120,221,214,204,0,759,371,9405,8714,33775,9232,16.63,927735808
168,324,193,114,174,181,191,0,660,509,9909,9278,34358,9329,29.99,929628160
169,0,120,244,120,120,120,0,604,0,10241,9331,34359,9471,32.96,898596864
170,0,114,0,114,114,114,0,342,0,9633,9113,32953,9125,5.07,797708288
171,0,244,0,244,244,244,0,732,0,8883,8865,30942,8622,7.52,758505472
172,241,0,82,0,0,0,0,82,241,9099,8865,34001,9204,12.53,771682304
173,0,0,159,0,0,0,0,159,0,9365,8865,35280,9254,12.89,783560704
174,0,82,0,82,82,82,0,246,0,9365,9029,34628,8814,5.45,775622656
175,0,159,0,159,159,159,0,477,0,0,0,0,0,0,0
176,391,0,56,0,0,0,0,56,391,9345,9328,33336,8401,2.97,768667648
177,384,0,10,0,0,0,0,10,775,0,0,0,0,0,0
178,39,29,450,53,30,29,0,562,804,9264,8382,38988,10157,27.12,822513664
179,305,37,292,13,36,37,0,378,1053,9815,8298,39519,9987,34.6,766017536
180,124,111,344,296,286,128,0,1054,1114,10385,8259,45766,10900,34.3,826101760
181,394,428,78,243,253,411,0,985,1063,10179,8680,47014,10664,35.22,860491776
182,411,237,18,237,237,237,0,729,1206,0,0,0,0,0,0
183,98,95,256,95,95,95,0,541,1295,0,0,0,0,0,0
184,29,310,353,310,310,310,0,1283,1224,10623,8786,46622,11474,31.05,931708928
185,163,221,432,257,257,225,0,1171,1018,11001,9080,48230,11267,36.72,939122688
186,310,301,154,269,269,301,0,993,972,0,0,0,0,0,0
187,73,409,210,410,405,405,0,1430,876,11043,9622,49441,10610,31.06,965763072
188,36,265,104,260,265,265,0,894,574,11368,10656,37266,9766,39.64,930340864
189,0,210,0,210,210,210,0,630,0,10866,10486,36049,9462,2.43,924037120
190,0,104,0,104,104,104,0,312,0,9730,9714,34596,9098,5.41,880631808
191,129,0,68,0,0,0,0,68,129,9137,9121,34596,9098,0.75,882094080
192,125,0,186,0,0,0,0,186,254,9306,8924,32919,9623,25.69,914149376
193,145,53,145,53,53,53,0,304,399,9722,8908,35243,9718,21.31,909942784
194,0,201,0,201,201,201,0,603,0,9436,9060,33503,9280,7.06,901545984
195,0,145,0,145,145,145,0,435,0,8652,8636,32067,8920,3.95,893370368
196,51,0,23,0,0,0,0,23,51,8605,8546,32474,9018,4.16,892755968
197,257,0,234,0,0,0,0,234,308,8373,7752,34390,9539,38.62,920084480
198,168,7,219,17,7,7,0,250,476,0,0,0,0,0,0
199,0,250,0,240,250,250,0,740,0,8483,7625,35637,9560,18.09,920866816
200,225,218,169,219,219,218,0,825,252,8251,7889,33658,9002,5.84,909021184
201,111,1,167,0,0,1,0,168,336,8244,7747,32537,9439,29.27,854470656
202,0,169,0,169,169,169,0,507,0,8435,7761,33699,9624,10.81,826826752
203,0,167,0,167,167,167,0,501,0,8435,8219,31719,9075,5.43,815214592
213,187,0,187,0,0,0,0,187,187,6452,6062,27727,7987,32.74,801280000
215,0,187,0,187,187,187,0,561,0,5406,5390,26244,6911,4.75,781647872
216,211,0,166,0,0,0,0,166,211,5085,4773,28937,6969,18.43,794628096
217,424,0,23,0,0,0,0,23,635,4794,3956,32163,8316,27.45,674451456
218,233,61,344,70,63,63,0,540,810,0,0,0,0,0,0
219,117,125,321,119,126,126,0,692,858,4547,3132,35906,8868,33.73,689520640
220,399,344,240,341,341,341,0,1263,921,4832,3176,37328,8923,39.17,706695168
221,285,144,92,145,145,144,0,526,1058,5342,3878,41919,9602,31.66,753160192
222,0,420,483,419,419,420,0,1741,0,6150,4986,41526,8631,35.07,818655232
223,166,92,166,92,92,92,0,442,714,6365,4996,35320,8801,22.33,808693760
224,0,483,0,483,482,482,1,1447,0,5974,5590,31459,7760,9.65,787476480
225,0,166,0,166,166,166,0,498,0,0,0,0,0,0,0
227,97,0,42,0,0,0,0,42,97,5684,5670,30141,7062,0.19,747192320
228,295,0,170,0,0,0,0,170,392,5832,5656,32246,7262,13.79,758398976
229,51,20,231,21,21,20,0,293,443,5894,5173,29369,7912,31.88,755675136
230,0,192,0,191,191,192,0,574,0,5620,4966,28593,7656,14.06,764112896
231,22,231,22,231,231,231,0,715,22,5618,5256,27463,7374,2.86,757907456
