second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,129,0,0,0,0,129,135,7988,7975,29043,7872,15.28,664428544
1,135,0,137,0,0,0,0,137,270,7999,7707,26936,8173,21.32,678588416
2,135,129,137,129,129,129,0,524,301,8052,7479,28906,8436,16.99,690429952
3,135,137,132,137,137,137,0,543,291,8040,7485,29618,8411,18.91,656564224
4,135,136,136,136,136,136,0,544,289,8058,7501,28744,8413,22.34,664829952
5,135,130,137,132,130,130,0,529,286,7814,7257,30191,8406,18.46,669126656
6,135,139,134,137,139,139,0,549,287,7851,7294,29414,8415,17.81,675749888
7,134,135,133,135,135,135,0,538,297,7874,7312,28663,8416,19.68,676028416
8,134,120,132,129,126,123,0,510,291,7904,7348,30169,8415,17.46,680595456
9,137,149,137,140,143,146,0,566,294,7910,7346,29526,8412,17.88,685895680
10,135,132,137,132,132,132,0,533,287,7930,7364,28941,8428,19,690028544
11,135,137,136,137,137,137,0,547,287,7950,7394,30385,8419,18.1,694714368
12,135,137,133,137,137,137,0,544,288,7971,7412,29812,8412,19.66,697864192
13,135,132,137,135,133,133,0,538,288,8020,7462,29376,8435,18.67,702627840
14,132,125,127,125,127,127,0,506,286,0,0,0,0,0,0
15,138,149,142,146,146,146,0,580,288,8024,7465,28777,8435,17.25,702160896
16,135,127,133,127,127,127,0,514,290,8048,7490,30227,8417,16.78,711041024
17,135,139,127,141,139,139,0,546,293,8096,7539,29684,8413,22.65,714141696
18,135,133,145,134,135,134,0,548,293,7821,7252,29109,8421,20.09,714158080
19,135,129,133,126,127,128,0,514,288,7818,7250,28816,8438,18.59,720465920
20,135,145,139,146,145,145,0,575,286,7828,7272,29029,8408,17.81,725979136
21,135,134,134,133,134,134,0,535,298,7860,7306,28748,8410,15.86,732934144
22,135,138,135,138,138,138,0,549,304,7872,7310,29169,8416,18.13,637788160
23,135,133,125,135,134,133,0,527,292,7869,7318,30570,8412,16.04,623255552
24,135,136,143,135,135,136,0,549,312,7914,7356,32016,8408,18.85,633786368
25,135,125,137,125,125,125,0,512,287,7920,7364,33552,8418,19.74,646356992
26,135,144,134,143,144,144,0,565,286,7949,7388,34898,8412,15.15,658743296
27,135,137,136,137,137,137,0,547,286,7993,7438,36397,8417,19.53,670756864
28,135,128,136,131,127,127,1,521,287,0,0,0,0,0,0
29,135,141,126,138,141,141,0,546,285,7988,7428,29203,8417,18.9,673460224
30,135,136,140,136,136,136,0,548,313,8129,7560,28673,8413,18.1,674254848
31,135,124,137,126,124,124,0,511,286,8421,7864,30109,8421,17.28,680796160
32,136,143,130,141,143,143,0,557,293,8636,8082,28701,8414,16.19,688283648
33,135,137,142,137,137,137,0,553,289,8638,8082,30215,8413,18.42,698523648
34,134,126,134,127,127,126,0,514,295,8399,7842,28698,8405,17.65,701984768
35,135,143,122,144,143,144,0,553,285,8442,7885,30177,8416,14.55,704737280
36,135,136,145,135,136,136,0,552,288,8454,7896,29371,8424,16.28,706347008
37,135,119,122,118,118,118,0,476,293,8483,7926,30858,8418,16.28,709058560
38,135,149,151,149,149,149,0,598,293,8510,7950,29632,8419,22.17,669593600
39,135,122,136,122,122,122,0,502,316,8475,7879,29464,8496,18.61,670093312
40,133,147,125,147,147,147,0,566,299,8533,7971,30794,8452,21.5,673820672
41,136,106,135,122,111,106,0,474,319,8571,8021,30040,8444,20.03,683130880
42,136,159,145,143,154,159,0,601,305,0,0,0,0,0,0
43,135,135,134,135,135,135,0,539,298,8589,8031,30041,8458,19.47,685842432
44,135,144,119,144,144,144,0,551,296,8612,8025,29562,8462,18.67,689582080
45,135,135,148,135,135,135,0,553,290,8632,8071,29237,8443,17.1,694321152
46,135,118,137,118,118,118,0,491,292,8399,7835,28897,8436,19.69,695676928
47,135,149,136,149,149,149,0,583,291,8434,7879,30337,8426,19.29,705269760
48,132,135,133,135,135,135,0,538,287,8470,7915,29773,8432,16.44,711970816
49,138,138,137,138,138,138,0,551,289,8492,7927,29523,8440,19.69,710881280
50,135,132,135,132,132,132,0,531,290,8549,7985,29253,8437,18.77,714940416
51,133,133,131,133,133,133,0,530,287,8528,7955,28904,8434,21.46,718077952
52,137,139,130,140,140,139,0,549,290,8548,7971,29129,8458,20.15,723165184
53,135,132,140,131,131,132,0,534,292,8619,8061,30161,8449,17.12,730079232
54,135,130,138,130,130,130,0,528,286,0,0,0,0,0,0
55,135,140,136,140,140,140,0,556,288,8584,8031,29960,8437,18.91,735510528
56,135,138,135,138,138,138,0,549,307,8618,8050,29979,8443,24.16,744026112
57,135,136,135,136,136,136,0,543,304,8624,8055,29904,8458,19.32,617926656
58,131,126,131,131,127,126,0,515,310,8635,8081,31207,8496,16.32,626434048
59,139,144,137,139,143,144,0,563,286,8668,8113,32671,8644,17.53,641318912
