second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,133,0,0,0,0,133,135,7867,7841,2830,35,26.15,167116800
1,135,0,136,0,0,0,0,136,270,8013,7571,2802,453,16.09,142282752
2,135,133,134,133,133,133,0,533,279,8162,7319,5043,837,12.23,154607616
3,135,135,136,136,135,135,0,542,277,8184,7341,5013,841,22.11,165597184
4,136,135,134,134,135,135,0,538,279,8196,7351,5324,838,20.78,172752896
5,135,135,136,135,135,135,0,541,278,8204,7357,5851,849,20.2,168009728
6,135,135,135,135,135,135,0,540,279,8210,7363,5314,841,19.73,167669760
7,134,135,135,136,135,135,0,541,278,8221,7373,6381,841,19.8,175341568
8,136,134,134,135,135,135,0,539,279,8236,7395,5848,837,20.5,168857600
9,134,136,136,135,135,135,0,541,281,8246,7403,5646,842,22.84,166862848
10,135,134,134,134,134,134,0,536,280,8260,7415,5779,834,19.29,173563904
11,135,135,136,135,136,135,0,542,279,8268,7425,5645,836,21.01,171220992
12,136,135,134,135,135,136,0,540,278,8277,7436,5833,839,16.04,172511232
13,135,136,136,135,135,135,0,541,280,8288,7446,5876,836,20.74,175964160
14,135,135,134,135,135,135,0,539,279,8299,7456,6081,836,20.71,176836608
15,134,135,136,136,136,135,0,543,281,8307,7464,4981,837,19.84,168472576
16,135,135,134,134,134,135,0,537,278,8341,7496,6465,843,19.2,178880512
17,136,135,136,136,135,135,0,542,279,8366,7518,5472,839,17.45,167137280
18,135,135,135,134,135,135,0,539,279,8372,7526,5000,839,16.02,177721344
19,135,135,134,135,135,135,0,539,279,8379,7536,6043,842,19.65,171016192
20,135,135,136,135,135,135,0,541,278,8388,7546,5306,837,18.53,167399424
21,134,135,135,135,135,135,0,540,280,8122,7280,5062,836,23.27,169734144
22,135,134,134,136,135,135,0,540,281,8134,7290,5313,839,17.37,175308800
23,136,136,136,134,135,135,0,540,281,8144,7302,5397,837,19.68,177668096
24,135,135,135,135,135,135,0,540,279,0,0,0,0,0,0
25,134,135,135,136,135,135,0,541,279,8152,7310,5472,842,20.84,179167232
26,135,135,135,135,136,136,0,542,281,8160,7318,5523,836,21.07,180056064
27,135,134,130,135,134,134,0,533,279,8167,7325,5460,836,18.09,180719616
28,136,136,138,134,135,135,0,542,278,8179,7337,5929,841,18.3,176095232
29,134,131,137,131,131,131,0,530,279,8189,7337,5366,844,19.34,169431040
30,135,137,135,137,137,137,0,546,278,8462,7617,6282,835,17.12,175255552
31,136,137,135,138,137,137,0,547,279,8749,7895,5492,835,22.52,166649856
32,134,135,135,134,135,135,0,539,282,8785,7944,5245,835,22.84,177664000
33,136,135,135,135,135,135,0,540,278,8794,7954,5771,835,21.46,168972288
34,135,135,134,136,136,135,0,541,280,8804,7960,5221,835,20.77,169078784
35,135,135,135,135,134,135,0,539,277,8816,7970,6208,838,18.14,173633536
36,135,134,136,134,134,134,0,538,278,8823,7980,5583,835,20.57,167440384
37,134,136,135,135,136,136,0,542,279,8832,7991,5725,845,19.04,176005120
38,136,135,134,135,135,135,0,539,279,8851,8012,5368,835,16.4,169775104
39,134,134,136,135,135,135,0,541,281,8871,8022,5713,836,21.67,178966528
40,135,136,134,135,135,135,0,539,280,8879,8032,5764,836,20.49,178847744
41,135,135,136,135,135,135,0,541,278,8885,8046,5881,841,14.29,179040256
42,135,134,134,134,134,134,0,536,280,8900,8056,5975,835,17.88,183812096
43,136,136,136,137,136,136,0,545,280,8911,8069,5961,835,16.56,184451072
44,134,134,134,134,135,135,0,538,281,8919,8077,5087,838,18.21,171298816
45,136,136,135,136,135,135,0,541,278,8928,8083,6439,834,18.81,181194752
46,134,135,137,134,135,135,0,541,279,8942,8093,5486,835,19.69,167292928
47,136,134,134,135,134,134,0,537,278,8678,7835,5269,836,19.99,177426432
48,134,134,135,136,136,136,0,543,279,8688,7846,5853,841,20.52,170520576
49,136,137,135,134,135,135,0,539,279,0,0,0,0,0,0
50,135,135,134,136,135,135,0,540,279,8700,7856,5249,841,19.79,169201664
51,135,135,135,135,135,135,0,540,280,8710,7868,6300,838,20.01,174866432
52,135,134,135,134,134,134,0,537,282,8724,7876,5801,851,19.98,169766912
53,134,136,136,135,136,136,0,543,279,8740,7894,5761,834,20.73,178802688
54,136,135,135,135,135,135,0,540,285,8750,7902,5739,835,20.46,183947264
