second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,413,0,21,0,0,0,0,21,413,12443,12440,39348,8964,16.33,1459322880
1,122,0,181,0,0,0,0,181,535,13183,12409,36874,10271,24.59,1301815296
2,464,0,222,0,0,0,0,222,999,0,0,0,0,0,0
3,483,0,0,0,0,0,0,0,1482,0,0,0,0,0,0
4,422,2,2,2,2,2,0,8,1902,0,0,0,0,0,0
5,432,6,0,6,6,6,0,18,2328,0,0,0,0,0,0
6,48,20,80,213,190,20,0,503,2356,12887,10122,67319,15075,30.23,1224785920
7,32,395,81,203,225,395,0,904,2358,0,0,0,0,0,0
8,4,1,0,0,1,1,0,2,1996,0,0,0,0,0,0
9,5,0,1038,0,0,0,0,1038,2001,0,0,0,0,0,0
10,63,25,444,27,26,25,0,522,2051,14346,10426,61698,13557,35.51,1311248384
11,301,2,282,0,1,2,0,285,2338,0,0,0,0,0,0
12,488,6,0,0,0,0,6,0,2820,0,0,0,0,0,0
13,292,187,55,189,188,188,1,620,2925,0,0,0,0,0,0
14,412,32,0,30,30,30,0,90,3305,0,0,0,0,0,0
15,197,6,4,224,37,36,0,301,3496,14323,9102,86475,17629,29.27,1493069824
16,22,1006,63,867,1002,991,3,2923,3497,14206,10947,77944,15471,28.48,1459195904
17,390,103,0,24,73,85,0,182,2799,0,0,0,0,0,0
18,0,353,122,355,355,355,0,1187,0,0,0,0,0,0,0
19,101,224,27,224,223,222,0,696,2323,0,0,0,0,0,0
20,160,17,451,15,16,17,0,499,2466,0,0,0,0,0,0
21,248,26,297,26,26,26,0,375,2688,0,0,0,0,0,0
22,57,100,123,18,18,18,82,177,2744,0,0,0,0,0,0
23,0,0,180,3,3,0,0,186,0,13202,9344,72130,15787,30.89,1541980160
24,249,65,519,62,62,65,0,708,2829,0,0,0,0,0,0
25,389,17,0,9,9,9,10,27,3201,0,0,0,0,0,0
26,110,189,1,180,180,180,7,541,3305,0,0,0,0,0,0
27,21,441,72,447,443,441,0,1403,2702,11605,7389,79908,15418,34.16,1547034624
28,246,102,382,141,129,131,0,783,2924,0,0,0,0,0,0
29,0,341,44,380,385,311,1,1120,0,11458,7588,81528,15170,27.24,1577455616
30,0,515,315,435,441,514,1,1705,0,11322,7701,79565,13675,34.66,1572323328
31,390,135,142,133,136,137,0,548,2245,0,0,0,0,0,0
32,12,9,0,23,13,7,0,43,2255,0,0,0,0,0,0
33,11,27,658,174,21,27,0,880,2232,12652,8597,73006,14086,33.1,1645686784
34,23,373,38,246,409,409,0,1102,2236,0,0,0,0,0,0
35,267,89,222,53,53,53,0,381,2060,0,0,0,0,0,0
36,334,0,146,0,0,0,0,146,2394,0,0,0,0,0,0
37,152,419,62,444,440,439,4,1385,2521,0,0,0,0,0,0
38,327,25,174,3,3,4,0,184,2429,13289,9566,69620,14744,31.2,1658220544
39,170,232,22,437,273,246,0,978,2515,0,0,0,0,0,0
40,146,465,30,480,637,450,1,1597,2276,0,0,0,0,0,0
41,40,232,123,70,72,229,0,494,2049,14398,11359,65691,13558,34.3,1632354304
42,24,145,191,104,108,157,0,560,1859,0,0,0,0,0,0
43,32,102,456,203,119,90,0,868,1736,14502,11427,58021,13290,29.37,1618112512
44,176,146,343,25,109,146,0,623,1695,14769,11698,59743,13114,35.51,1620267008
45,458,10,288,10,10,10,0,318,2143,0,0,0,0,0,0
46,365,26,65,26,26,26,0,143,2482,0,0,0,0,0,0
47,101,223,0,239,239,223,0,701,2540,13527,9754,68022,14968,34.41,1672953856
48,218,539,155,521,520,536,3,1732,2362,0,0,0,0,0,0
49,209,22,29,27,22,22,0,100,2242,12829,9923,68169,14741,28.18,1655992320
50,70,48,515,43,48,48,0,654,2248,13494,9943,71645,14983,31.19,1678635008
51,170,154,29,185,174,157,0,545,2381,0,0,0,0,0,0
52,351,435,152,404,415,432,0,1403,2266,0,0,0,0,0,0
53,369,11,105,11,11,11,0,138,2538,0,0,0,0,0,0
54,135,11,3,55,53,11,4,122,2663,0,0,0,0,0,0
55,412,58,128,11,9,50,5,198,3016,0,0,0,0,0,0
56,334,17,9,140,7,8,8,164,3333,15093,10689,83501,18460,32.03,1671639040
57,296,172,40,4,141,141,31,326,3457,0,0,0,0,0,0
58,138,62,0,20,15,15,47,50,3578,0,0,0,0,0,0
59,0,59,207,520,62,25,34,814,0,0,0,0,0,0,0
60,4,714,226,246,679,713,1,1864,2764,0,0,0,0,0,0
61,187,45,3,29,55,45,0,132,2912,13383,9595,85086,17815,34.27,1714098176
62,59,12,0,101,1,13,0,115,2959,14421,9572,87774,17456,24.7,1717690368
63,31,2,0,23,47,1,0,71,2982,0,0,0,0,0,0
64,11,40,0,26,78,40,0,144,2989,15253,9566,89927,16925,26.08,1718689792
65,119,334,3,242,267,352,2,864,2994,0,0,0,0,0,0
66,32,20,33,0,0,0,0,33,2750,0,0,0,0,0,0
67,9,5,1780,0,0,0,5,1780,2754,0,0,0,0,0,0
68,178,174,316,164,164,164,10,808,2832,0,0,0,0,0,0
69,375,54,97,48,48,48,7,241,3079,0,0,0,0,0,0
70,384,26,0,15,15,12,17,42,3437,0,0,0,0,0,0
71,267,20,62,15,15,18,8,110,3689,0,0,0,0,0,0
72,30,94,73,97,87,87,0,344,3685,13084,7093,89664,18387,34.09,1812054016
73,35,922,0,1075,919,919,3,2913,3621,12558,8284,82456,15972,33.09,1772593152
74,32,843,0,857,975,853,6,2685,2735,0,0,0,0,0,0
75,55,278,195,111,150,259,0,715,1923,12735,10221,75476,13559,39.24,1732243456
76,263,13,0,21,0,13,0,34,1949,0,0,0,0,0,0
77,337,23,6,13,34,34,2,87,2273,0,0,0,0,0,0
78,33,17,0,53,17,0,4,70,2283,0,0,0,0,0,0
79,38,55,903,23,59,76,2,1061,2290,0,0,0,0,0,0
80,413,49,239,62,31,9,23,341,2626,0,0,0,0,0,0
81,375,176,26,43,74,96,77,239,2825,13309,9387,71283,15555,34.36,1809862656
82,322,48,0,1,1,1,44,3,3099,0,0,0,0,0,0
83,423,51,0,39,39,39,12,117,3471,0,0,0,0,0,0
84,399,14,0,4,4,4,14,12,3856,0,0,0,0,0,0
85,273,27,33,0,0,0,27,33,4102,0,0,0,0,0,0
86,263,56,0,56,56,55,28,167,4348,0,0,0,0,0,0
87,149,227,49,125,124,123,76,421,4231,13898,8464,96170,19599,31.63,1912442880
88,9,615,0,844,833,623,16,2300,4232,0,0,0,0,0,0
