second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,1217,0,12,0,0,0,0,12,1217,5385,1575,6310,25,15.6,365993984
1,1022,0,69,0,0,0,0,69,2239,6956,1501,13873,1882,24.71,361414656
2,718,0,93,0,0,0,0,93,2957,8103,1217,24659,3419,32.99,437997568
3,683,0,126,0,0,0,0,126,3640,9562,1112,36977,5225,33.34,582987776
4,800,3,145,3,3,3,0,154,4437,10511,1085,45593,6402,34.35,676454400
5,733,175,43,41,40,39,142,163,4997,0,0,0,0,0,0
6,62,351,35,50,51,52,296,188,5018,0,0,0,0,0,0
7,0,405,48,78,70,65,353,261,0,0,0,0,0,0,0
8,154,788,20,52,59,61,716,192,3997,11061,1265,52593,6614,48.33,815611904
9,12,748,37,143,142,143,607,465,3668,0,0,0,0,0,0
10,18,879,49,120,121,120,762,410,2668,0,0,0,0,0,0
11,267,681,33,55,51,50,621,189,2092,9911,1684,49257,4959,54.68,882286592
12,655,345,40,54,45,47,298,186,2044,9905,1859,49384,4480,55.6,920293376
13,990,53,36,38,41,27,26,142,2903,0,0,0,0,0,0
14,887,157,15,40,23,27,130,105,3633,11273,1807,40053,5281,29.12,991662080
15,888,72,146,36,55,60,12,297,4449,0,0,0,0,0,0
16,625,154,22,24,32,39,121,117,4973,11999,1878,46782,6229,34.89,1062055936
17,455,699,47,52,53,53,640,205,4922,0,0,0,0,0,0
18,495,264,57,6,6,6,263,75,4907,12433,1945,47893,6618,36.31,1118842880
19,385,563,72,28,28,28,534,156,4910,0,0,0,0,0,0
20,134,599,61,119,42,33,569,255,4755,0,0,0,0,0,0
21,511,406,22,15,91,100,299,228,4369,0,0,0,0,0,0
22,694,382,24,11,12,11,385,58,4958,0,0,0,0,0,0
23,381,436,58,23,22,21,403,124,4675,13007,2076,50218,6365,44.04,1259098112
24,10,821,23,16,17,19,806,75,4631,12964,2126,49204,6101,47.12,1282187264
25,301,560,8,84,55,47,512,194,3605,0,0,0,0,0,0
26,401,602,51,2,31,27,573,111,3640,0,0,0,0,0,0
27,251,720,0,0,0,0,727,0,3354,0,0,0,0,0,0
28,222,898,0,0,0,0,896,0,2878,12641,2185,42553,4833,42.48,1053966336
29,1103,461,0,0,0,0,453,0,2852,12164,2157,40278,4022,51.55,857661440
30,880,269,0,0,0,0,269,0,3499,13361,2153,48813,5130,25.89,855003136
31,913,54,0,0,0,0,54,0,4322,0,0,0,0,0,0
32,671,469,0,0,0,0,469,0,4524,14391,2152,44218,5872,36.27,897150976
33,587,298,0,0,0,0,299,0,4813,14937,2159,50156,6525,29.61,940818432
34,538,717,0,0,0,0,716,0,5024,0,0,0,0,0,0
35,639,195,0,0,0,0,196,0,5192,0,0,0,0,0,0
36,112,651,0,0,0,0,653,0,5080,15383,1968,53036,6717,39,1024114688
37,139,808,0,0,0,0,808,0,4538,14813,1816,48524,5962,54.32,1028517888
38,408,730,0,0,0,0,737,0,3766,0,0,0,0,0,0
39,73,902,0,0,0,0,892,0,3549,0,0,0,0,0,0
40,549,756,0,0,0,0,761,0,2827,13661,1155,40938,4727,48.16,1026494464
41,823,391,0,0,0,0,388,0,2954,14299,1011,41723,5345,34.39,1046523904
42,610,313,309,302,209,161,150,981,3241,0,0,0,0,0,0
43,579,455,6,0,91,137,326,234,3635,14677,1080,42274,5536,32.03,1088667648
44,1184,149,15,0,0,14,127,29,4400,14877,1235,39116,5326,40.08,1073258496
45,323,522,1,56,43,25,497,125,4490,15417,1151,42627,5895,31.72,938557440
46,680,257,41,139,151,166,98,497,4647,15784,1282,43886,5737,41.83,882274304
47,382,556,14,105,90,54,497,263,4607,0,0,0,0,0,0
48,161,787,44,18,34,73,714,169,4458,0,0,0,0,0,0
49,210,763,9,7,5,4,757,25,3825,14428,1359,44600,4732,56.36,862076928
50,418,501,50,12,14,13,496,89,3362,0,0,0,0,0,0
51,127,1047,18,30,19,18,1021,85,3174,14167,1184,36668,4660,45.98,879947776
52,529,820,29,63,55,51,771,198,2378,13677,1168,32286,3753,50.78,859668480
53,786,289,28,19,31,37,250,115,2474,14003,1221,28511,3933,32.95,839835648
54,1135,150,53,53,60,57,101,223,3470,0,0,0,0,0,0
55,1024,180,11,6,5,7,165,29,4303,14715,1182,34944,4516,36.63,690155520
56,483,376,39,14,15,17,363,85,4542,0,0,0,0,0,0
57,769,380,16,50,46,39,350,151,5046,15710,1160,44364,6198,34.29,735870976
58,268,594,31,41,45,51,543,168,4719,0,0,0,0,0,0
59,710,532,31,13,9,8,514,61,4702,14892,1263,46820,5810,47.5,781766656
60,375,404,49,16,20,22,383,107,4835,0,0,0,0,0,0
61,141,708,29,12,8,7,697,56,4623,0,0,0,0,0,0
62,610,610,20,27,24,25,585,96,4218,0,0,0,0,0,0
63,36,656,11,30,31,29,633,101,4091,0,0,0,0,0,0
64,305,721,16,21,26,28,687,91,3364,14091,1368,39406,4804,51.05,891809792
65,473,661,13,24,20,20,645,77,3152,0,0,0,0,0,0
66,331,888,18,72,68,62,824,220,3000,13181,1499,35480,3687,50.87,906477568
67,564,698,42,31,40,46,650,159,2556,0,0,0,0,0,0
68,1083,106,39,13,13,12,94,77,3117,12967,1559,25533,3447,43.42,809275392
69,979,152,16,14,13,14,138,57,3944,13875,1582,35412,4814,30.7,672010240
70,680,492,37,21,20,16,478,94,4132,0,0,0,0,0,0
71,703,381,20,31,24,26,357,101,4586,14683,1612,40706,5673,36.02,720261120
72,632,550,5,9,0,2,547,16,4536,0,0,0,0,0,0
73,833,134,0,0,0,0,131,0,5235,0,0,0,0,0,0
74,251,338,0,0,0,0,349,0,5367,15009,1185,51803,6824,37.48,841502720
75,10,942,0,0,0,0,943,0,5146,0,0,0,0,0,0
76,483,414,0,0,0,0,406,0,4308,0,0,0,0,0,0
77,258,711,0,0,0,0,713,0,4285,0,0,0,0,0,0
78,71,946,0,0,0,0,945,0,3307,13572,818,48067,5661,54.18,901324800
79,246,999,71,64,12,0,1005,147,2957,0,0,0,0,0,0
80,699,546,172,49,119,131,404,471,2357,12319,961,43398,3904,59.8,902197248
81,866,145,13,0,0,0,146,13,3078,0,0,0,0,0,0
82,928,229,8,0,0,0,240,8,3959,0,0,0,0,0,0
83,598,371,14,55,26,14,346,109,4005,13529,837,37435,5247,29.6,881463296
84,473,497,41,188,217,229,267,675,4210,13847,943,40064,5325,38.08,827305984
85,920,249,41,6,0,0,252,47,4659,0,0,0,0,0,0
86,434,430,48,10,13,11,421,82,4968,13984,1052,47478,6063,46.83,815480832
87,102,482,13,10,8,8,473,39,4584,13191,1020,46986,5564,63.13,820355072
88,727,282,42,4,8,10,272,64,4809,0,0,0,0,0,0
89,376,592,28,14,13,13,583,68,4721,0,0,0,0,0,0
90,1,619,28,32,32,32,591,124,3888,0,0,0,0,0,0
91,425,576,19,56,42,36,544,153,3881,0,0,0,0,0,0
92,0,1024,18,44,28,34,987,124,0,12289,994,42652,5060,50.63,886206464
93,521,646,31,24,56,55,578,166,2586,11356,1009,34812,4019,63.92,877887488
94,94,830,34,71,70,70,764,245,2624,0,0,0,0,0,0
95,1088,237,2,11,8,9,228,30,2704,11119,1117,29337,3957,40.89,762458112
96,1149,353,25,39,43,41,309,148,3497,0,0,0,0,0,0
97,742,312,38,26,26,26,285,116,3927,11238,1061,39236,4897,36.63,673861632
98,907,99,65,1,1,3,99,70,4736,0,0,0,0,0,0
99,529,349,28,39,39,39,312,145,5084,12010,1088,46032,6063,33.38,754561024
100,281,797,58,25,24,24,783,131,4912,0,0,0,0,0,0
101,335,770,32,23,24,24,735,103,3982,0,0,0,0,0,0
102,224,610,17,44,43,37,574,141,3964,11438,1090,49216,5677,43.63,809435136
103,293,1127,31,42,40,45,1080,158,3574,0,0,0,0,0,0
104,506,1212,26,80,82,81,1128,269,2746,11137,1193,39584,4329,43.56,813813760
105,1106,260,43,26,27,29,231,125,2884,11178,1299,39237,3831,39.58,803934208
106,731,207,22,36,36,24,184,118,3408,12038,1325,41434,4610,29.79,856158208
107,643,262,88,4,4,16,248,112,3944,12506,1340,35762,4912,39.77,898060288
108,915,422,44,44,38,36,389,162,4337,0,0,0,0,0,0
109,539,303,18,33,37,33,264,121,4518,13090,1400,39668,5468,31.12,940158976
110,142,711,0,1,1,0,714,2,4599,12861,1260,40959,5348,45.99,983564288
111,385,916,0,0,0,0,917,0,3727,0,0,0,0,0,0
112,518,676,0,0,0,0,676,0,3573,12650,1253,38740,5166,40.11,1008885760
113,486,674,0,0,0,0,674,0,3257,12528,1217,39345,5041,41.6,1030156288
114,437,827,0,0,0,0,823,0,3081,0,0,0,0,0,0
115,998,224,0,0,0,0,227,0,3552,13108,958,41968,5463,31.01,1016635392
116,488,307,130,133,42,3,302,308,3637,0,0,0,0,0,0
117,931,232,114,37,130,170,61,451,4336,0,0,0,0,0,0
118,353,510,57,0,0,6,507,63,4509,14187,1154,47353,5646,35.18,868659200
119,613,860,1,0,0,0,857,1,4177,0,0,0,0,0,0
120,910,137,58,5,4,2,135,69,4705,0,0,0,0,0,0
121,339,545,11,52,31,25,525,119,4788,15093,1059,49475,6163,36.88,884252672
122,34,699,30,127,112,117,588,386,4499,0,0,0,0,0,0
123,593,546,8,75,104,103,444,290,4056,0,0,0,0,0,0
124,166,460,41,53,60,63,389,217,3882,0,0,0,0,0,0
125,256,876,64,11,9,10,862,94,3622,14367,1229,39051,4927,50.09,924090368
126,117,810,24,55,58,58,755,195,3067,0,0,0,0,0,0
127,469,804,9,31,31,31,770,102,2064,13205,1253,33954,3347,53.97,889704448
128,743,544,49,45,44,42,504,180,2243,13413,1307,27717,3612,33.94,750043136
129,1243,174,24,63,64,65,108,216,3207,0,0,0,0,0,0
130,938,174,14,23,23,21,153,81,3971,14395,1331,36391,4637,32.72,660172800
131,852,301,25,20,18,21,279,84,4522,14918,1330,38616,5489,28.01,703508480
