relative_second,wall_clock_unix_second,combined_conn_per_sec,combined_in_flight,combined_ops,combined_failed_ops
0,1784171161,1158,1158,108,0
1,1784171162,1212,2370,13,0
2,1784171163,1035,3405,10,0
3,1784171164,885,4290,0,0
4,1784171165,864,5154,0,0
5,1784171166,586,5740,27,0
6,1784171167,859,6350,0,249
7,1784171168,625,6679,0,498
8,1784171169,500,6900,0,342
9,1784171170,755,6864,0,528
10,1784171171,915,7660,0,117
11,1784171172,240,7726,10,855
12,1784171173,31,3179,284,328
13,1784171174,398,6914,72,183
14,1784171175,468,7177,0,328
15,1784171176,498,6955,0,738
16,1784171177,278,6768,0,1496
17,1784171178,567,6083,0,991
18,1784171179,631,4788,0,1030
19,1784171180,669,5018,0,371
20,1784171181,795,5725,0,258
21,1784171182,602,5954,0,615
22,1784171183,356,5784,1,615
23,1784171184,284,5447,34,122
24,1784171185,741,6087,31,74
25,1784171186,282,6216,0,624
26,1784171187,113,5749,0,1233
27,1784171188,494,4612,0,885
28,1784171189,652,4708,0,626
29,1784171190,449,4601,0,825
30,1784171191,590,4254,0,242
31,1784171192,536,4593,0,745
32,1784171193,933,4485,0,523
33,1784171194,728,4981,0,293
34,1784171195,633,5349,0,550
35,1784171196,699,5411,0,347
36,1784171197,760,5925,0,455
37,1784171198,451,5864,0,269
38,1784171199,728,6424,0,104
39,1784171200,219,6560,0,502
40,1784171201,55,6032,0,804
41,1784171202,115,5274,0,791
42,1784171203,305,4847,0,631
43,1784171204,228,4501,0,854
44,1784171205,654,3911,0,655
45,1784171206,583,3861,0,475
46,1784171207,531,4343,0,57
47,1784171208,483,4292,0,734
48,1784171209,330,2194,0,347
49,1784171210,335,4328,0,655
50,1784171211,463,4018,0,727
51,1784171212,539,3676,0,911
52,1784171213,655,3602,0,197
53,1784171214,564,4129,0,85
54,1784171215,391,4024,0,779
55,1784171216,865,4489,0,207
56,1784171217,790,4660,0,448
57,1784171218,140,4695,0,643
58,1784171219,106,4160,0,711
59,1784171220,676,4135,0,209
60,1784171221,585,4438,0,287
61,1784171222,492,4750,0,224
62,1784171223,212,4797,0,338
63,1784171224,193,4512,0,168
64,1784171225,167,4565,0,486
65,1784171226,55,2226,0,609
66,1784171227,265,3279,0,598
67,1784171228,330,3483,0,251
68,1784171229,381,3394,0,584
69,1784171230,496,3463,0,1746
70,1784171231,605,2334,0,175
71,1784171232,695,2846,0,183
72,1784171233,853,3567,0,183
73,1784171234,681,3956,0,241
74,1784171235,636,4285,0,664
75,1784171236,736,4429,0,269
76,1784171237,396,4605,0,514
77,1784171238,783,4727,0,423
78,1784171239,353,4895,0,621
79,1784171240,172,4130,0,903
80,1784171241,533,3972,0,339
81,1784171242,451,3698,0,822
82,1784171243,778,3762,0,484
83,1784171244,683,4246,0,196
84,1784171245,765,4773,0,234
85,1784171246,378,5084,0,1019
86,1784171247,460,3400,0,1209
87,1784171248,686,3854,0,591
88,1784171249,611,3968,0,121
89,1784171250,644,4548,0,287
90,1784171251,196,4423,0,498
91,1784171252,383,4267,0,394
92,1784171253,307,3742,0,666
93,1784171254,167,3683,0,840
94,1784171255,677,3431,0,718
95,1784171256,357,3176,0,886
96,1784171257,428,2670,0,510
97,1784171258,714,2795,0,247
98,1784171259,1047,3805,0,37
99,1784171260,655,4298,0,435
100,1784171261,444,4197,0,366
101,1784171262,764,4622,0,499
102,1784171263,412,4688,0,307
103,1784171264,165,4582,0,475
104,1784171265,395,4474,1,126
105,1784171266,87,4505,0,497
106,1784171267,564,4510,0,204
107,1784171268,401,4319,0,467
108,1784171269,488,4770,0,359
109,1784171270,377,4350,0,755
110,1784171271,692,4697,0,62
111,1784171272,218,4796,0,447
112,1784171273,472,2451,0,338
113,1784171274,472,2889,0,262
114,1784171275,84,2875,0,641
115,1784171276,288,1634,3,239
116,1784171277,218,4388,0,164
117,1784171278,309,4649,0,554
118,1784171279,266,1398,0,980
119,1784171280,392,3169,0,803
120,1784171281,670,3535,0,145
121,1784171282,499,3941,0,655
122,1784171283,497,3430,0,647
123,1784171284,1036,4202,0,40
124,1784171285,919,5060,0,91
125,1784171286,201,5206,0,424
126,1784171287,226,4702,0,365
127,1784171288,241,4523,0,445
128,1784171289,539,4711,0,368
129,1784171290,435,4293,0,1027
130,1784171291,344,3921,0,990
131,1784171292,352,3711,0,320
132,1784171293,648,3985,0,329
133,1784171294,436,3953,0,681
134,1784171295,354,2027,0,509
135,1784171296,548,3782,0,153
136,1784171297,191,3901,0,712
137,1784171298,511,3378,0,366
138,1784171299,292,3450,0,553
139,1784171300,669,3641,0,202
140,1784171301,631,4141,0,645
141,1784171302,562,4109,0,424
142,1784171303,708,3903,0,502
143,1784171304,833,4408,0,348
144,1784171305,835,4993,0,290
145,1784171306,352,5258,0,313
146,1784171307,784,5675,0,109
147,1784171308,324,5819,0,385
148,1784171309,287,5772,0,384
149,1784171310,489,5882,0,680
150,1784171311,343,5437,0,1509
151,1784171312,224,4156,0,1334
152,1784171313,741,2955,0,1147
153,1784171314,541,3123,0,239
154,1784171315,482,3245,0,155
155,1784171316,752,3967,0,81
156,1784171317,424,4101,0,240
157,1784171318,922,5016,0,11
158,1784171319,411,5143,0,472
159,1784171320,489,5014,0,759
160,1784171321,778,4989,0,804
161,1784171322,712,5132,0,250
162,1784171323,338,5458,0,352
163,1784171324,591,2728,0,263
164,1784171325,552,5921,0,273
165,1784171326,349,5681,0,519
166,1784171327,576,6044,0,322
167,1784171328,494,6159,0,588
168,1784171329,479,5863,0,361
169,1784171330,115,3282,0,894
170,1784171331,0,0,0,741
171,1784171332,0,0,0,252
172,1784171333,4,1393,0,330
173,1784171334,5,1385,0,231
174,1784171335,406,3582,0,317
175,1784171336,631,4213,0,140
176,1784171337,329,3688,0,798
177,1784171338,936,4471,0,99
178,1784171339,397,1662,0,421
179,1784171340,301,1931,0,463
180,1784171341,190,1954,0,787
181,1784171342,664,4110,0,212
182,1784171343,555,4529,0,169
183,1784171344,513,4775,0,624
184,1784171345,477,4324,0,751
185,1784171346,332,4438,0,96
186,1784171347,5,4347,0,44
187,1784171348,328,4572,0,480
188,1784171349,208,2025,0,435
189,1784171350,449,3896,0,697
190,1784171351,406,3997,271,90
191,1784171352,440,4337,0,304
192,1784171353,214,3998,80,351
193,1784171354,156,1565,4,10
194,1784171355,2,2588,403,40
195,1784171356,539,4566,912,164
196,1784171357,664,5088,91,55
197,1784171358,676,5712,0,54
198,1784171359,598,6233,99,57
199,1784171360,467,6673,30,20
200,1784171361,189,6596,908,333
201,1784171362,718,6831,63,95
202,1784171363,662,7353,0,138
203,1784171364,288,7613,712,33
204,1784171365,281,3383,1366,121
205,1784171366,342,3683,1063,29
206,1784171367,25,6992,724,242
207,1784171368,41,6805,1549,251
208,1784171369,163,6385,224,99
209,1784171370,171,6489,417,13
210,1784171371,22,2920,338,12
211,1784171372,90,6505,210,0
212,1784171373,196,6683,368,0
213,1784171374,155,6765,109,0
214,1784171375,519,7284,0,0
215,1784171376,309,7593,27,0
216,1784171377,188,7738,939,17
217,1784171378,4,4172,2066,27
218,1784171379,16,7628,875,41
219,1784171380,6,6820,2431,25
220,1784171381,322,6492,2237,39
221,1784171382,368,6634,1939,24
222,1784171383,346,6421,523,0
223,1784171384,306,6608,523,0
224,1784171385,371,6915,674,0
225,1784171386,689,7575,127,0
226,1784171387,603,8171,571,0
227,1784171388,51,8024,2515,4
228,1784171389,194,3460,4046,64
229,1784171390,89,3281,2604,115
230,1784171391,420,2269,1313,67
231,1784171392,38,2307,3165,71
232,1784171393,94,4097,703,0
233,1784171394,432,4378,628,0
234,1784171395,411,4725,1102,2
235,1784171396,209,4934,299,0
236,1784171397,320,5254,264,0
237,1784171398,312,5361,591,0
238,1784171399,453,5711,1140,12
239,1784171400,523,6215,228,24
240,1784171401,593,6760,145,27
241,1784171402,254,6851,2275,20
242,1784171403,335,6532,1479,13
243,1784171404,221,6416,2335,10
244,1784171405,375,5922,660,4
245,1784171406,334,6140,1766,21
246,1784171407,294,5935,172,27
247,1784171408,145,6031,357,29
248,1784171409,260,6240,1849,51
249,1784171410,78,6119,2339,100
250,1784171411,32,5090,697,26
251,1784171412,223,5226,1264,44
252,1784171413,217,5058,1451,16
253,1784171414,329,5175,1126,0
254,1784171415,253,5227,1012,2
255,1784171416,527,4928,2298,2
256,1784171417,365,5101,518,17
257,1784171418,545,5558,774,4
258,1784171419,779,6294,167,16
259,1784171420,338,6619,1679,6
260,1784171421,220,2503,2298,49
261,1784171422,229,5171,2256,118
262,1784171423,467,5069,1617,3
263,1784171424,358,5259,1462,0
264,1784171425,387,5189,974,0
265,1784171426,51,2298,720,0
266,1784171427,61,2222,389,0
267,1784171428,141,4930,1174,0
268,1784171429,179,5058,1520,4
269,1784171430,276,5099,1294,0
270,1784171431,229,5097,709,0
271,1784171432,328,5079,1057,0
272,1784171433,290,5226,1022,0
273,1784171434,237,5349,2728,1
274,1784171435,341,2141,2541,2
275,1784171436,499,4291,2261,3
276,1784171437,412,4308,964,0
277,1784171438,330,4297,818,0
278,1784171439,319,4110,1837,10
279,1784171440,227,4182,1400,1
280,1784171441,329,4308,1089,0
281,1784171442,145,4087,756,0
282,1784171443,303,4165,1265,0
283,1784171444,511,4486,932,0
284,1784171445,136,1983,1520,1
285,1784171446,456,4431,1606,0
286,1784171447,294,4273,1609,1
287,1784171448,614,4502,508,0
288,1784171449,100,4531,2581,3
289,1784171450,376,1329,980,0
290,1784171451,277,4053,1168,0
291,1784171452,372,4303,1134,1
292,1784171453,572,4520,622,0
293,1784171454,418,4924,721,0
294,1784171455,616,5401,288,2
295,1784171456,399,5629,912,0
296,1784171457,256,5679,1299,5
297,1784171458,477,5863,1493,58
298,1784171459,229,5550,1088,102
299,1784171460,183,5353,787,24
300,1784171461,359,5505,1861,16
301,1784171462,511,5627,85,58
302,1784171463,119,5484,2470,18
303,1784171464,647,5607,210,12
304,1784171465,101,2149,941,90
305,1784171466,0,0,1710,114
306,1784171467,102,3239,1293,82
307,1784171468,294,3467,1341,17
308,1784171469,271,3693,1271,40
309,1784171470,0,0,1516,0
310,1784171471,0,0,511,0
311,1784171472,183,183,2574,10
312,1784171473,407,590,1217,32
313,1784171474,402,992,638,0
314,1784171475,323,1315,1702,0
315,1784171476,423,1722,926,0
316,1784171477,167,1853,1595,1
317,1784171478,314,2161,2331,1
318,1784171479,115,2142,2312,0
319,1784171480,321,2361,330,0
320,1784171481,98,2442,221,0
321,1784171482,0,0,1012,1
322,1784171483,464,2866,2047,3
323,1784171484,687,3475,1116,0
324,1784171485,767,3790,745,0
325,1784171486,586,4329,1394,1
326,1784171487,332,4262,287,0
327,1784171488,105,4335,1304,1
328,1784171489,136,4248,1835,0
329,1784171490,608,4086,274,0
330,1784171491,328,4397,119,0
331,1784171492,282,4654,535,0
332,1784171493,179,4664,1522,2
333,1784171494,260,4761,2583,1
334,1784171495,732,5150,214,0
335,1784171496,569,5719,40,0
336,1784171497,189,5902,102,5
337,1784171498,151,5968,1237,6
338,1784171499,339,6194,748,20
339,1784171500,359,5469,2977,34
340,1784171501,574,5897,464,30
341,1784171502,642,6451,97,48
342,1784171503,335,6689,1935,12
343,1784171504,580,6627,1340,9
344,1784171505,583,6866,97,43
345,1784171506,190,6991,322,41
346,1784171507,616,7263,1441,21
347,1784171508,271,7436,679,38
348,1784171509,323,7549,487,35
349,1784171510,434,7914,331,0
350,1784171511,403,8315,299,2
351,1784171512,461,8308,1703,124
352,1784171513,305,8306,652,40
353,1784171514,267,8365,1422,0
354,1784171515,237,8101,1333,0
355,1784171516,393,1581,1727,13
356,1784171517,417,1986,1934,84
357,1784171518,636,7882,639,0
358,1784171519,314,8012,1094,1
359,1784171520,463,8287,306,1
360,1784171521,466,8596,488,13
361,1784171522,96,3030,1322,0
362,1784171523,438,8664,106,1
363,1784171524,282,8725,806,51
364,1784171525,242,8897,218,53
365,1784171526,124,8959,394,71
366,1784171527,37,3001,252,0
367,1784171528,31,2994,496,47
368,1784171529,13,2988,1269,61
369,1784171530,2,2926,303,43
370,1784171531,384,3291,153,74
371,1784171532,163,3379,241,0
372,1784171533,77,3456,10,8
373,1784171534,26,3468,3,6
374,1784171535,59,3525,0,3
375,1784171536,0,0,0,269
376,1784171537,0,0,0,249
377,1784171538,0,0,0,294
378,1784171539,20,2294,4,489
379,1784171540,325,2554,14,81
380,1784171541,76,2626,117,203
381,1784171542,256,2678,113,272
382,1784171543,279,8135,67,220
383,1784171544,239,8244,481,91
384,1784171545,319,8548,161,13
385,1784171546,0,0,679,102
386,1784171547,1,3219,142,17
387,1784171548,71,3290,6,70
388,1784171549,193,3480,46,122
389,1784171550,4,3481,410,19
390,1784171551,13,3465,1642,106
391,1784171552,292,3686,336,304
392,1784171553,0,0,245,360
393,1784171554,319,3697,1083,141
394,1784171555,342,7764,338,323
395,1784171556,513,8257,33,8
396,1784171557,188,8436,2036,63
397,1784171558,322,8044,774,0
398,1784171559,442,8338,862,9
399,1784171560,123,8207,754,13
400,1784171561,79,8161,2599,183
401,1784171562,206,7075,1544,97
402,1784171563,293,6862,1009,62
403,1784171564,144,6917,2212,82
404,1784171565,137,6524,465,40
405,1784171566,258,6516,1727,9
406,1784171567,522,6631,1451,44
407,1784171568,179,6260,325,1
408,1784171569,533,6768,54,33
409,1784171570,147,3230,1178,25
410,1784171571,239,6911,1652,8
411,1784171572,3,3090,861,56
412,1784171573,292,6298,770,82
413,1784171574,143,6253,2443,41
414,1784171575,430,6013,786,4
415,1784171576,648,6642,759,18
416,1784171577,76,6029,2743,3
417,1784171578,682,5949,1543,20
418,1784171579,549,6369,943,4
419,1784171580,491,6417,2155,87
420,1784171581,705,6496,86,25
421,1784171582,447,6836,1255,73
422,1784171583,385,6728,736,83
423,1784171584,260,6734,522,21
424,1784171585,512,6840,1319,109
425,1784171586,557,7221,175,23
426,1784171587,254,7467,432,3
427,1784171588,378,7638,980,38
428,1784171589,560,8007,246,90
429,1784171590,504,8422,244,66
430,1784171591,497,8888,1407,32
431,1784171592,276,8596,616,126
432,1784171593,758,9125,148,115
433,1784171594,560,9609,153,46
434,1784171595,394,9979,448,0
435,1784171596,0,0,1390,57
436,1784171597,72,2406,2843,9
437,1784171598,250,2556,654,1
438,1784171599,213,8813,866,102
439,1784171600,206,8789,977,109
440,1784171601,226,8714,176,7
441,1784171602,121,8796,1641,1
442,1784171603,398,8894,666,0
443,1784171604,87,8813,1628,32
444,1784171605,524,8788,384,89
445,1784171606,582,9294,222,24
446,1784171607,120,9341,1680,27
447,1784171608,270,8955,1325,64
448,1784171609,19,8649,451,13
449,1784171610,379,9014,43,15
450,1784171611,155,9149,902,62
451,1784171612,123,8797,1586,11
452,1784171613,209,2135,678,16
453,1784171614,230,2239,475,1
454,1784171615,126,2277,1088,1
455,1784171616,297,2483,1781,1
456,1784171617,45,8863,511,2
457,1784171618,219,8879,1173,0
458,1784171619,180,8819,83,0
459,1784171620,226,9045,671,0
460,1784171621,225,2626,990,1
461,1784171622,219,2624,719,17
462,1784171623,275,2642,278,18
463,1784171624,174,2765,415,43
464,1784171625,25,2767,1143,2
465,1784171626,347,3075,365,1
466,1784171627,91,3166,2652,0
467,1784171628,212,9197,1732,0
468,1784171629,168,9163,1214,2
469,1784171630,425,3371,1499,2
470,1784171631,378,3737,1463,12
471,1784171632,160,8960,420,30
472,1784171633,100,8144,4186,39
473,1784171634,288,8093,2533,31
474,1784171635,668,7802,182,64
475,1784171636,56,3317,942,56
476,1784171637,0,0,3613,30
477,1784171638,124,2296,3715,16
478,1784171639,55,2351,2646,8
479,1784171640,215,4351,1640,132
480,1784171641,330,4320,1087,0
481,1784171642,100,3729,1392,1
482,1784171643,291,3844,1188,1
483,1784171644,593,4104,601,0
484,1784171645,740,4743,158,0
485,1784171646,573,5314,272,0
486,1784171647,201,5515,470,0
487,1784171648,345,5832,1878,0
488,1784171649,375,6177,816,6
489,1784171650,588,6333,804,0
490,1784171651,578,6907,96,0
491,1784171652,38,6911,686,0
492,1784171653,396,7135,183,0
493,1784171654,273,7290,183,0
494,1784171655,101,7358,1850,0
495,1784171656,4,3401,2424,27
496,1784171657,27,6059,3524,44
497,1784171658,277,5342,1398,65
498,1784171659,218,5379,878,17
499,1784171660,161,5401,168,2
500,1784171661,392,5777,0,0
501,1784171662,574,6342,981,0
502,1784171663,474,6790,361,0
503,1784171664,235,6876,2996,13
504,1784171665,210,6153,2532,17
505,1784171666,58,5392,1633,44
506,1784171667,211,4884,1677,195
507,1784171668,722,5376,114,45
508,1784171669,345,5721,5,0
509,1784171670,391,6112,1,0
510,1784171671,239,6351,437,0
511,1784171672,55,6362,1846,0
512,1784171673,75,5850,2061,0
513,1784171674,198,5522,3181,4
514,1784171675,441,5274,2201,107
515,1784171676,372,4792,1150,24
516,1784171677,674,5307,301,0
517,1784171678,859,6043,161,0
518,1784171679,437,6461,168,19
519,1784171680,408,6786,498,24
520,1784171681,409,7123,365,56
521,1784171682,374,7458,2397,18
522,1784171683,358,6762,2249,191
523,1784171684,421,2978,1680,65
524,1784171685,367,6133,296,116
525,1784171686,208,6337,1047,19
526,1784171687,178,5968,1231,4
527,1784171688,241,6130,875,86
528,1784171689,230,6067,535,37
529,1784171690,190,6055,1116,2
530,1784171691,212,5875,395,0
531,1784171692,103,5972,1668,6
532,1784171693,586,6478,757,50
533,1784171694,182,6636,715,50
534,1784171695,236,6607,1632,50
535,1784171696,237,6462,611,32
536,1784171697,561,6729,881,8
537,1784171698,411,7089,628,28
538,1784171699,205,6946,2014,1
539,1784171700,610,7027,1190,40
540,1784171701,283,6825,602,52
541,1784171702,367,7101,584,34
542,1784171703,670,7615,429,51
543,1784171704,240,7776,2902,15
544,1784171705,228,3000,2300,103
545,1784171706,297,2923,1217,14
546,1784171707,337,3239,559,84
547,1784171708,233,6476,1396,44
548,1784171709,191,6116,848,121
549,1784171710,363,6204,287,31
550,1784171711,223,6413,1070,13
551,1784171712,340,6678,169,76
552,1784171713,19,3481,1340,65
553,1784171714,237,6703,1315,20
554,1784171715,447,6512,2718,70
555,1784171716,701,6419,51,73
556,1784171717,295,6659,888,53
557,1784171718,404,6661,2209,14
558,1784171719,448,6477,834,21
559,1784171720,41,6257,2342,62
560,1784171721,92,5534,1154,84
561,1784171722,158,5341,73,32
562,1784171723,96,5380,823,105
563,1784171724,122,5295,1667,62
564,1784171725,351,5483,679,15
565,1784171726,508,5926,917,16
566,1784171727,564,6191,491,25
567,1784171728,611,6763,184,5
568,1784171729,383,7121,867,1
569,1784171730,10,3942,2728,7
570,1784171731,82,5821,1699,6
571,1784171732,473,6093,167,14
572,1784171733,316,6298,865,77
573,1784171734,55,6353,1461,59
574,1784171735,61,2504,1678,44
575,1784171736,17,5237,2634,3
576,1784171737,507,5187,818,73
