relative_second,wall_clock_unix_second,combined_conn_per_sec,combined_in_flight,combined_ops,combined_failed_ops
0,1784169518,1470,1470,143,0
1,1784169519,1257,2727,223,0
2,1784169520,736,3463,97,0
3,1784169521,347,3810,63,0
4,1784169522,932,4709,426,0
5,1784169523,642,5230,708,72
6,1784169524,754,5605,747,137
7,1784169525,982,6295,538,102
8,1784169526,1475,7586,327,126
9,1784169527,118,7551,707,226
10,1784169528,195,7260,1174,377
11,1784169529,858,7181,387,448
12,1784169530,651,7260,265,558
13,1784169531,398,6712,374,772
14,1784169532,443,6957,403,882
15,1784169533,668,2989,505,820
16,1784169534,882,6050,583,831
17,1784169535,763,5897,843,734
18,1784169536,1282,6508,523,281
19,1784169537,919,6824,373,708
20,1784169538,1282,7648,335,295
21,1784169539,868,7714,610,959
22,1784169540,1194,7785,285,589
23,1784169541,932,8163,349,543
24,1784169542,1182,8690,240,426
25,1784169543,655,9008,486,915
26,1784169544,1144,9101,167,451
27,1784169545,1099,9580,456,680
28,1784169546,196,9323,385,716
29,1784169547,883,3441,191,480
30,1784169548,84,3506,160,811
31,1784169549,235,3132,432,880
32,1784169550,552,3029,335,673
33,1784169551,618,7467,327,613
34,1784169552,793,3310,381,579
35,1784169553,677,3690,265,861
36,1784169554,357,7106,329,858
37,1784169555,498,6835,228,879
38,1784169556,528,3400,526,997
39,1784169557,336,3680,289,952
40,1784169558,960,4938,361,1291
41,1784169559,562,4615,1154,755
42,1784169560,1857,5439,306,154
43,1784169561,1667,6736,364,588
44,1784169562,1150,7267,507,500
45,1784169563,1514,8190,433,479
46,1784169564,883,8477,254,556
47,1784169565,1047,8967,165,741
48,1784169566,322,8424,195,845
49,1784169567,258,7568,361,1094
50,1784169568,109,6734,521,1268
51,1784169569,712,5205,317,1395
52,1784169570,387,4850,313,2212
53,1784169571,1728,4011,380,542
54,1784169572,2000,5730,359,206
55,1784169573,1664,7124,249,200
56,1784169574,1545,8406,275,467
57,1784169575,1366,9080,159,412
58,1784169576,1331,10073,242,405
59,1784169577,716,10381,33,915
60,1784169578,859,9937,0,998
61,1784169579,256,9615,0,1095
62,1784169580,7,4791,0,1258
63,1784169581,535,3361,0,1491
64,1784169582,454,6556,284,1206
65,1784169583,399,5787,1222,879
66,1784169584,358,2373,148,1356
67,1784169585,884,3803,47,983
68,1784169586,667,4233,580,372
69,1784169587,1620,5385,578,163
70,1784169588,1476,6298,518,338
71,1784169589,1323,7427,267,128
72,1784169590,1176,8337,420,154
73,1784169591,613,8860,416,302
74,1784169592,628,8882,309,418
75,1784169593,323,8731,363,553
76,1784169594,156,8397,573,967
77,1784169595,147,6725,378,1224
78,1784169596,1055,6298,265,995
79,1784169597,947,7054,394,1118
80,1784169598,1231,6204,468,921
81,1784169599,1548,7310,364,351
82,1784169600,1252,8125,295,268
83,1784169601,736,8557,331,490
84,1784169602,1133,9246,451,147
85,1784169603,531,9356,301,828
86,1784169604,490,9050,296,1056
87,1784169605,962,8929,246,473
88,1784169606,16,3495,250,1738
89,1784169607,817,7066,497,535
90,1784169608,345,7327,669,1226
91,1784169609,567,5800,817,865
92,1784169610,402,5480,575,1057
93,1784169611,933,5208,391,1045
94,1784169612,1708,5771,342,375
95,1784169613,2036,7193,0,519
96,1784169614,1096,8053,0,439
97,1784169615,984,8334,0,500
98,1784169616,1038,9082,472,258
99,1784169617,524,9331,695,298
100,1784169618,556,4041,700,410
101,1784169619,59,8913,283,910
102,1784169620,13,2649,262,1601
103,1784169621,967,6660,553,1079
104,1784169622,752,6875,476,1172
105,1784169623,169,2847,657,1937
106,1784169624,1570,4847,550,430
107,1784169625,1508,5909,628,137
108,1784169626,1776,7546,451,50
109,1784169627,520,7536,448,975
110,1784169628,1581,8170,188,710
111,1784169629,1439,8960,106,377
112,1784169630,905,9505,261,623
113,1784169631,900,9371,501,941
114,1784169632,246,3160,276,1305
115,1784169633,224,2734,365,1624
116,1784169634,892,5608,290,1584
117,1784169635,1117,6051,332,778
118,1784169636,915,6478,383,1140
119,1784169637,975,5393,392,1487
120,1784169638,1682,6369,231,40
121,1784169639,1682,7533,279,463
122,1784169640,1063,8209,198,659
123,1784169641,546,8188,328,626
124,1784169642,596,7702,233,562
125,1784169643,536,8030,214,967
126,1784169644,447,7462,254,972
127,1784169645,459,6418,310,944
128,1784169646,486,6418,338,836
129,1784169647,1176,6266,149,1098
130,1784169648,1407,6414,331,580
131,1784169649,1011,7284,156,621
132,1784169650,756,7313,478,699
133,1784169651,865,7088,339,1095
134,1784169652,1488,7362,378,524
135,1784169653,1043,7847,202,768
136,1784169654,933,7912,266,1016
137,1784169655,806,7797,337,518
138,1784169656,481,7092,361,954
139,1784169657,1030,7746,325,869
140,1784169658,381,3670,238,1727
141,1784169659,810,5826,202,1065
142,1784169660,826,5805,364,700
143,1784169661,940,5518,370,743
144,1784169662,783,5564,328,742
145,1784169663,899,6038,387,718
146,1784169664,1563,6661,312,364
147,1784169665,1053,7553,160,483
148,1784169666,675,7308,294,877
149,1784169667,815,7001,369,709
150,1784169668,1124,7407,368,720
151,1784169669,1439,8235,276,363
152,1784169670,1033,8638,108,863
153,1784169671,704,8622,297,1019
154,1784169672,1145,8680,172,681
155,1784169673,420,8704,357,733
156,1784169674,347,7656,371,1286
157,1784169675,100,6413,316,1069
158,1784169676,929,6591,312,1316
159,1784169677,868,5688,375,1556
160,1784169678,1781,6104,312,318
161,1784169679,938,6839,382,591
162,1784169680,1627,7794,321,200
163,1784169681,1030,8173,303,725
164,1784169682,877,8165,324,528
165,1784169683,353,8466,166,328
166,1784169684,314,3235,205,600
167,1784169685,523,8025,116,456
168,1784169686,824,8224,268,621
169,1784169687,313,8226,510,564
170,1784169688,1088,8429,198,462
171,1784169689,833,8705,175,804
172,1784169690,809,4084,268,1032
173,1784169691,600,7637,265,957
174,1784169692,806,7362,487,1295
175,1784169693,1023,7327,391,480
176,1784169694,324,7485,387,1256
177,1784169695,1460,7071,306,672
178,1784169696,834,7693,267,477
179,1784169697,901,7693,319,984
180,1784169698,818,7265,384,784
181,1784169699,1034,7561,191,560
182,1784169700,884,8066,455,823
183,1784169701,774,7954,368,652
184,1784169702,326,7226,367,1190
185,1784169703,1043,7150,480,837
186,1784169704,812,6862,233,1059
187,1784169705,911,6282,357,1384
188,1784169706,1157,6425,220,686
189,1784169707,1386,7458,7,47
190,1784169708,1754,9146,0,127
191,1784169709,461,9250,0,707
192,1784169710,694,9328,0,1218
193,1784169711,742,8485,0,1367
194,1784169712,689,7820,108,1087
195,1784169713,877,7487,933,728
196,1784169714,424,7345,380,1051
197,1784169715,699,6520,53,953
198,1784169716,983,6484,125,1006
199,1784169717,539,6069,732,691
200,1784169718,959,6295,719,698
201,1784169719,959,6247,270,861
202,1784169720,1402,6830,150,474
203,1784169721,677,7195,194,645
204,1784169722,1239,7651,223,476
205,1784169723,476,7661,421,944
206,1784169724,1073,7576,228,816
207,1784169725,703,7173,290,754
208,1784169726,689,7197,255,1140
209,1784169727,1251,6879,283,822
210,1784169728,1183,7753,146,904
211,1784169729,1071,7685,837,398
212,1784169730,478,7842,710,1022
213,1784169731,634,7264,381,963
214,1784169732,1093,7450,195,721
215,1784169733,697,7127,372,1072
216,1784169734,764,6709,1052,434
217,1784169735,787,6641,669,886
218,1784169736,628,6167,855,965
219,1784169737,965,5920,483,836
220,1784169738,1078,5966,303,906
221,1784169739,1188,6645,327,838
222,1784169740,1507,7245,221,393
223,1784169741,788,7301,378,908
224,1784169742,1361,7916,243,571
225,1784169743,977,8230,83,912
226,1784169744,1228,8218,0,803
227,1784169745,892,8630,12,1029
228,1784169746,587,7465,4,1217
229,1784169747,1040,8031,44,925
230,1784169748,370,6842,3,1530
231,1784169749,623,6210,791,1281
232,1784169750,1288,6082,414,968
233,1784169751,956,6086,318,935
234,1784169752,1502,6567,46,811
235,1784169753,1444,7315,474,212
236,1784169754,1130,8210,643,294
237,1784169755,626,8346,390,947
238,1784169756,752,7735,471,693
239,1784169757,990,8042,201,1113
240,1784169758,923,7438,359,1054
241,1784169759,447,7319,248,1589
242,1784169760,1027,6340,237,1145
243,1784169761,907,5799,327,853
244,1784169762,863,5742,397,1282
245,1784169763,1723,6387,175,365
246,1784169764,1025,7138,208,829
247,1784169765,564,6913,221,619
248,1784169766,1235,7047,246,701
249,1784169767,1051,7396,523,549
250,1784169768,518,7307,348,1188
251,1784169769,1202,7175,243,534
252,1784169770,861,7898,387,738
253,1784169771,578,3510,272,897
254,1784169772,775,7093,460,814
255,1784169773,906,7328,559,1033
256,1784169774,753,6396,728,1225
257,1784169775,1153,5929,487,879
258,1784169776,1244,6622,239,588
259,1784169777,1211,7108,684,526
260,1784169778,1345,7296,295,1065
261,1784169779,1485,8289,70,457
262,1784169780,516,8370,16,838
263,1784169781,1190,8527,22,812
264,1784169782,1147,9225,28,855
265,1784169783,879,8821,65,1421
266,1784169784,959,8531,61,1197
267,1784169785,433,7689,89,1416
268,1784169786,1317,7118,62,904
269,1784169787,840,7473,66,1372
270,1784169788,1010,6984,179,612
271,1784169789,1360,7811,188,574
272,1784169790,995,8232,93,747
273,1784169791,704,8267,156,1248
274,1784169792,1791,8488,74,528
275,1784169793,992,9360,72,774
276,1784169794,1083,9252,105,823
277,1784169795,719,9305,59,1531
278,1784169796,980,8390,58,743
279,1784169797,547,8313,31,1308
280,1784169798,407,7070,1456,1230
281,1784169799,1087,6631,340,1611
282,1784169800,1399,6862,26,928
283,1784169801,969,7123,137,726
284,1784169802,1010,6995,1334,540
285,1784169803,1479,7859,642,391
286,1784169804,1079,8167,57,871
287,1784169805,1198,8732,586,669
288,1784169806,983,8718,687,158
289,1784169807,1276,9341,20,954
290,1784169808,449,9192,113,1131
291,1784169809,1054,8813,155,865
292,1784169810,441,8456,46,1563
293,1784169811,437,7112,225,1318
294,1784169812,467,6028,245,1602
295,1784169813,1248,5842,215,862
296,1784169814,748,5353,210,1289
297,1784169815,1771,5765,354,1067
298,1784169816,1862,6966,266,392
299,1784169817,1158,7716,233,421
300,1784169818,718,4496,158,781
301,1784169819,287,3988,265,765
302,1784169820,12,4000,324,1875
303,1784169821,0,0,288,1866
304,1784169822,0,0,683,1029
305,1784169823,0,0,176,648
306,1784169824,0,0,294,261
307,1784169825,0,0,884,14
308,1784169826,0,0,438,0
309,1784169827,0,0,303,0
310,1784169828,0,0,360,0
311,1784169829,0,0,230,0
312,1784169830,0,0,309,0
313,1784169831,0,0,272,0
314,1784169832,0,0,36,0
315,1784169833,0,0,3,0
316,1784169834,0,0,2,0
317,1784169835,0,0,8,0
318,1784169836,0,0,73,0
320,1784169838,0,0,12,0
321,1784169839,2346,2346,326,0
322,1784169840,766,3112,208,0
323,1784169841,1110,4222,239,0
324,1784169842,1167,5384,338,0
325,1784169843,1440,6693,589,0
326,1784169844,1017,7403,787,121
327,1784169845,896,8177,477,119
328,1784169846,986,8732,673,192
329,1784169847,469,8895,590,302
330,1784169848,513,8745,405,571
331,1784169849,494,8632,629,671
332,1784169850,954,8582,259,628
333,1784169851,188,8301,665,564
334,1784169852,631,8056,469,1153
335,1784169853,950,7662,654,864
336,1784169854,468,7160,602,1183
337,1784169855,1028,6826,648,1101
338,1784169856,1396,6904,523,373
339,1784169857,1442,7938,434,419
340,1784169858,1420,8531,333,647
341,1784169859,1169,9416,399,557
342,1784169860,807,9343,306,700
343,1784169861,461,8958,492,990
344,1784169862,649,8431,445,553
345,1784169863,869,8861,453,983
346,1784169864,863,8340,378,1147
347,1784169865,781,7600,368,983
348,1784169866,1235,3809,330,973
349,1784169867,813,7958,454,455
350,1784169868,1102,8416,391,811
351,1784169869,997,8771,137,684
352,1784169870,540,5103,616,1160
353,1784169871,392,7405,466,1079
354,1784169872,530,2216,634,1193
355,1784169873,740,5829,357,879
356,1784169874,1397,6592,203,577
357,1784169875,601,6756,219,927
358,1784169876,829,4114,303,601
359,1784169877,787,6704,221,584
360,1784169878,1004,6633,512,904
361,1784169879,865,6914,218,558
362,1784169880,1893,8007,292,576
363,1784169881,1354,8906,276,359
364,1784169882,705,4617,223,957
365,1784169883,547,8196,139,818
366,1784169884,1196,8805,277,979
367,1784169885,665,8559,210,1296
368,1784169886,377,7744,462,896
369,1784169887,350,7067,80,1262
370,1784169888,971,6270,11,883
371,1784169889,510,6243,0,1213
372,1784169890,868,6141,0,1137
373,1784169891,1500,5961,0,764
374,1784169892,1662,7317,1114,97
375,1784169893,875,8064,479,224
376,1784169894,1368,8669,215,564
377,1784169895,646,8573,247,810
378,1784169896,1164,9189,354,400
379,1784169897,308,8627,355,1235
380,1784169898,431,7946,226,1279
381,1784169899,113,3661,595,1081
382,1784169900,698,5935,227,930
383,1784169901,473,4979,451,1468
384,1784169902,1382,5377,543,684
385,1784169903,1604,5627,179,1019
386,1784169904,1805,7021,359,310
387,1784169905,1327,7918,319,564
388,1784169906,1574,9117,268,162
389,1784169907,688,9532,232,329
390,1784169908,768,9961,117,470
391,1784169909,270,9546,281,658
392,1784169910,336,8801,721,970
393,1784169911,308,4235,168,1300
394,1784169912,1102,7982,256,834
395,1784169913,455,7253,281,964
396,1784169914,376,3928,405,1334
397,1784169915,616,6038,419,1347
398,1784169916,670,5459,946,514
399,1784169917,1279,5281,549,985
400,1784169918,1199,5633,362,804
401,1784169919,1363,6507,336,551
402,1784169920,1955,7859,370,158
403,1784169921,1319,8784,343,408
404,1784169922,777,9117,1,791
405,1784169923,518,8469,0,1544
406,1784169924,774,7805,0,1326
407,1784169925,1118,7523,0,914
408,1784169926,582,7139,0,1414
409,1784169927,554,6735,4,1179
410,1784169928,1686,6654,1,870
411,1784169929,1174,7700,8,382
412,1784169930,1067,8045,9,474
413,1784169931,1147,8787,20,600
414,1784169932,486,8975,66,358
415,1784169933,737,9176,42,644
416,1784169934,740,9202,25,899
417,1784169935,437,8638,43,1596
418,1784169936,1140,8409,73,944
419,1784169937,1041,7665,237,1200
420,1784169938,1350,8526,42,404
421,1784169939,1336,9543,13,431
422,1784169940,762,9607,0,1058
423,1784169941,708,9515,0,820
424,1784169942,983,9438,0,978
425,1784169943,901,9028,0,937
426,1784169944,1285,9498,0,592
427,1784169945,1333,10423,269,518
428,1784169946,828,4926,9,730
429,1784169947,562,10426,14,836
430,1784169948,728,10320,4,1004
431,1784169949,1235,10553,325,604
432,1784169950,217,10490,1797,329
433,1784169951,0,0,555,1053
434,1784169952,1170,9503,259,600
435,1784169953,982,10023,274,578
436,1784169954,12,9729,247,989
437,1784169955,75,3344,192,1099
438,1784169956,465,7143,191,1023
439,1784169957,518,7046,758,834
440,1784169958,204,6095,1595,460
441,1784169959,963,6841,907,678
442,1784169960,918,5757,529,839
443,1784169961,1260,6716,521,317
444,1784169962,806,7102,558,1006
445,1784169963,1331,6459,306,885
446,1784169964,1605,7744,316,308
447,1784169965,938,3331,232,1079
448,1784169966,1603,8529,182,601
449,1784169967,869,8911,304,857
450,1784169968,925,8267,176,926
451,1784169969,589,8304,129,1202
452,1784169970,519,7687,312,1102
453,1784169971,460,7123,431,1339
454,1784169972,825,5364,251,1427
455,1784169973,1560,6079,260,724
456,1784169974,1050,6693,250,1225
457,1784169975,1208,6328,262,741
458,1784169976,1362,7327,279,426
459,1784169977,1642,8266,207,736
460,1784169978,1126,8255,299,1144
461,1784169979,1408,8842,107,648
462,1784169980,1040,9067,0,1283
463,1784169981,826,8681,0,1352
464,1784169982,1100,8138,0,1128
465,1784169983,926,7267,0,1498
466,1784169984,1094,8011,0,830
467,1784169985,1149,8177,0,1119
468,1784169986,805,7489,0,1393
469,1784169987,1129,7364,0,835
470,1784169988,1361,8088,0,578
471,1784169989,1367,8978,0,866
472,1784169990,958,8601,0,1049
473,1784169991,962,8872,0,911
474,1784169992,1150,9171,0,737
475,1784169993,708,8442,0,1573
476,1784169994,796,8435,0,1572
477,1784169995,1192,7544,0,952
478,1784169996,1171,7970,0,916
479,1784169997,875,7973,267,1058
480,1784169998,1323,7758,1,1134
481,1784169999,899,7787,471,986
482,1784170000,1290,8464,823,468
483,1784170001,1249,9229,479,458
484,1784170002,672,9066,632,930
485,1784170003,832,8696,183,992
486,1784170004,242,8355,507,1199
487,1784170005,395,2997,480,1188
488,1784170006,1201,6899,1315,683
489,1784170007,1479,7058,30,1525
490,1784170008,1186,7063,193,1145
491,1784170009,1418,6707,655,891
492,1784170010,1470,7713,164,282
493,1784170011,1521,8527,109,818
494,1784170012,1043,8709,123,1274
495,1784170013,1431,8931,196,886
496,1784170014,771,8583,142,955
497,1784170015,831,8483,297,1345
498,1784170016,613,4667,170,1147
499,1784170017,659,7261,264,1584
500,1784170018,508,6288,193,1565
501,1784170019,1202,5670,289,1245
502,1784170020,1933,6553,163,808
503,1784170021,1416,6879,251,1104
504,1784170022,1880,7821,266,380
505,1784170023,1758,9003,235,523
506,1784170024,985,9612,229,636
507,1784170025,772,9627,256,906
508,1784170026,392,4130,162,1665
509,1784170027,1363,8706,149,953
510,1784170028,626,8440,225,1374
511,1784170029,437,6390,104,1661
512,1784170030,1195,6520,0,1270
513,1784170031,1156,6830,0,878
514,1784170032,1041,6901,0,927
515,1784170033,1017,7081,0,1226
516,1784170034,1763,7589,0,567
517,1784170035,1748,8841,0,340
518,1784170036,1017,9670,0,1077
519,1784170037,1242,9405,0,620
520,1784170038,501,9829,799,782
521,1784170039,967,9663,211,692
522,1784170040,633,9335,709,831
523,1784170041,325,8855,13,1252
524,1784170042,182,7290,166,1384
