second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,122,0,53,0,0,0,0,53,122,9630,9617,41609,8827,20.06,1451036672
1,514,0,65,0,0,0,0,65,636,9868,9611,29278,8365,26.19,1322053632
2,442,0,0,0,0,0,0,0,1078,0,0,0,0,0,0
3,500,0,3,0,0,0,0,3,1578,0,0,0,0,0,0
4,194,8,10,14,11,8,0,43,1765,10934,9163,52257,12636,34.58,1093287936
5,29,6,177,43,3,6,0,229,1787,0,0,0,0,0,0
6,88,88,124,61,89,88,0,362,1811,0,0,0,0,0,0
7,204,2,0,3,18,19,0,40,1989,11995,8728,61000,13286,29.81,1155436544
8,88,17,0,57,0,0,0,57,2060,0,0,0,0,0,0
9,194,0,0,130,120,0,0,250,2254,12808,8652,62984,13507,30.63,1202208768
10,56,186,0,13,79,187,0,279,2262,12523,8543,64106,13310,48.33,1230843904
11,60,14,1542,0,1,13,0,1556,2170,0,0,0,0,0,0
12,364,0,192,0,0,0,0,192,2534,0,0,0,0,0,0
13,418,0,0,0,0,0,0,0,2952,0,0,0,0,0,0
14,167,2,0,15,15,15,5,45,3117,0,0,0,0,0,0
15,136,182,62,161,161,160,6,544,3175,0,0,0,0,0,0
16,309,14,4,0,0,1,20,5,3371,0,0,0,0,0,0
17,345,42,0,0,0,0,33,0,3669,0,0,0,0,0,0
18,287,20,0,0,0,0,30,0,3937,0,0,0,0,0,0
19,299,59,0,2,2,2,48,6,4176,0,0,0,0,0,0
20,294,11,0,0,0,0,12,0,4459,0,0,0,0,0,0
21,281,11,0,0,0,0,9,0,4729,0,0,0,0,0,0
22,317,33,0,0,0,0,43,0,5013,0,0,0,0,0,0
23,174,51,0,0,0,0,41,0,5136,0,0,0,0,0,0
24,301,19,0,0,0,0,21,0,5418,0,0,0,0,0,0
25,251,38,0,0,0,0,37,0,5631,0,0,0,0,0,0
26,304,36,0,0,0,0,35,0,5899,0,0,0,0,0,0
27,231,0,0,0,0,0,0,0,6130,10623,2774,124131,23507,26.8,1896632320
28,137,1,0,0,0,0,1,0,6266,0,0,0,0,0,0
29,190,101,0,0,0,0,123,0,6375,0,0,0,0,0,0
30,244,62,0,0,0,0,40,0,6537,0,0,0,0,0,0
31,201,0,0,0,0,0,0,0,6738,0,0,0,0,0,0
32,126,186,0,186,186,186,0,558,6793,0,0,0,0,0,0
33,0,372,0,636,451,389,13,1476,0,0,0,0,0,0,0
34,0,805,0,495,678,725,84,1898,0,0,0,0,0,0,0
35,230,217,9,166,168,183,0,526,5516,0,0,0,0,0,0
36,72,124,18,186,186,123,1,513,5586,0,0,0,0,0,0
37,134,64,197,0,0,63,1,260,5532,0,0,0,0,0,0
38,137,7,0,16,16,15,13,47,5662,0,0,0,0,0,0
39,0,70,0,48,48,49,0,145,0,0,0,0,0,0,0
40,145,1,71,0,0,0,1,71,5736,0,0,0,0,0,0
41,37,51,111,0,0,0,51,111,5766,10838,4491,136267,21212,31.21,2105307136
42,207,33,201,0,0,0,53,201,5903,0,0,0,0,0,0
43,88,61,8,0,0,0,41,8,5946,0,0,0,0,0,0
44,0,4,0,4,4,4,0,12,0,0,0,0,0,0,0
45,0,46,0,7,1,0,47,8,0,0,0,0,0,0,0
46,0,41,844,1,7,8,32,860,0,0,0,0,0,0,0
47,0,38,115,9,4,0,38,128,0,0,0,0,0,0,0
48,0,78,4,0,5,4,74,13,0,0,0,0,0,0,0
