second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,1246,0,0,0,0,0,0,0,1246,1437,1379,3434,25,0,599838720
1,374,0,39,0,0,0,0,39,1620,3017,1366,14378,1924,24.28,513699840
2,566,0,34,0,0,0,0,34,2186,4152,1313,25755,3688,44.05,447729664
3,495,0,170,0,0,0,0,170,2681,6050,1278,37122,5027,35.65,575864832
4,656,0,89,0,0,0,0,89,3337,6994,1227,46433,6247,37.64,699719680
5,512,77,166,29,29,29,48,253,3772,0,0,0,0,0,0
6,688,33,45,19,17,14,22,95,4448,0,0,0,0,0,0
7,548,126,102,46,48,51,73,247,4849,9583,1226,64410,8520,33.68,913940480
8,122,238,55,74,74,74,168,277,4964,0,0,0,0,0,0
9,6,350,40,101,97,95,252,333,4389,0,0,0,0,0,0
10,408,356,46,109,112,114,240,381,4518,0,0,0,0,0,0
11,566,68,55,3,4,4,75,66,4947,0,0,0,0,0,0
12,59,394,39,109,109,79,310,336,4825,10389,1653,75786,9017,42.81,1168281600
13,162,614,68,55,43,71,541,237,4602,0,0,0,0,0,0
14,246,665,34,150,111,98,565,393,4147,0,0,0,0,0,0
15,180,689,50,55,96,106,587,307,3733,0,0,0,0,0,0
16,182,803,42,102,85,73,726,302,3225,10409,2047,62907,6802,45.66,1134874624
17,780,357,86,45,66,81,276,278,3026,10439,2149,60367,5994,49.26,1115668480
18,655,302,65,97,89,90,210,341,3379,10678,2228,63587,6165,44.42,1158492160
19,954,295,22,43,46,37,258,148,4043,11584,2192,69111,6818,29.95,1203101696
20,747,133,44,38,48,56,77,186,4652,0,0,0,0,0,0
21,498,257,50,67,19,15,244,151,4893,12341,2265,75377,7521,34.57,1287720960
22,239,123,77,12,60,56,75,205,5032,12678,2284,77938,7703,37.03,1333334016
23,367,102,174,9,9,19,78,211,5274,0,0,0,0,0,0
24,605,177,49,62,58,44,131,213,5702,0,0,0,0,0,0
25,81,431,55,9,13,27,408,104,5754,0,0,0,0,0,0
26,20,664,48,26,24,23,640,121,4793,0,0,0,0,0,0
27,0,810,40,55,54,52,764,201,0,12284,2566,56147,6873,49.86,1422802944
28,207,497,67,82,85,73,415,307,3608,0,0,0,0,0,0
29,318,540,71,34,35,48,492,188,3678,0,0,0,0,0,0
30,601,312,16,10,5,6,304,37,3902,0,0,0,0,0,0
31,0,805,36,194,182,161,646,573,0,0,0,0,0,0,0
32,24,549,36,103,116,138,415,393,2652,11201,3044,46717,4657,53.8,1402994688
33,530,659,35,134,138,138,517,445,2216,10673,3261,35782,3865,39.8,1152122880
34,722,470,30,75,61,61,406,227,2468,11374,3476,42943,4431,40.84,934383616
35,1016,299,55,27,41,41,270,164,3286,0,0,0,0,0,0
36,485,336,35,33,33,22,302,123,3334,12462,3650,41092,5129,32.57,854024192
37,829,49,35,23,22,32,22,112,4114,13155,3700,46782,5994,28.83,906452992
38,515,103,18,35,36,35,65,124,4526,0,0,0,0,0,0
39,315,417,80,17,14,14,408,125,4680,0,0,0,0,0,0
40,196,496,5,35,32,29,464,101,4421,13991,3313,52513,6802,37.63,1016930304
41,803,315,49,21,26,27,289,123,4756,0,0,0,0,0,0
42,403,393,15,41,38,40,359,134,4733,0,0,0,0,0,0
43,0,754,42,37,41,40,707,160,0,14051,3206,55772,6546,43.94,1107943424
44,1,674,38,8,3,4,671,53,3198,12969,2852,52604,5778,52.98,1111429120
45,853,361,36,52,53,49,310,190,3687,0,0,0,0,0,0
46,256,658,27,18,20,23,634,88,3687,0,0,0,0,0,0
47,262,426,84,60,61,61,365,266,3361,12486,2726,41860,5411,50.65,1113141248
48,339,573,19,11,10,11,563,51,3155,12049,2592,42451,5147,46,1123323904
49,590,267,3,6,2,0,264,11,3210,0,0,0,0,0,0
50,456,340,0,0,0,0,341,0,3326,11960,2514,40418,5512,38.31,986189824
51,497,465,0,0,0,0,474,0,3797,0,0,0,0,0,0
52,571,446,0,0,0,0,438,0,3484,11834,2426,45558,5689,47.93,880406528
53,743,176,173,208,108,104,71,593,4052,0,0,0,0,0,0
54,95,279,86,13,113,81,213,293,4050,0,0,0,0,0,0
55,477,357,56,0,5,43,301,104,4108,12560,2613,46265,6176,40.39,929435648
56,356,388,52,16,16,16,377,100,3984,0,0,0,0,0,0
57,474,323,48,41,34,26,300,149,4163,0,0,0,0,0,0
58,169,597,57,14,15,22,571,108,4105,0,0,0,0,0,0
59,284,472,8,131,6,7,463,152,3753,11931,2453,50405,5845,50.71,1039310848
60,0,496,32,66,194,186,318,478,0,0,0,0,0,0,0
61,191,628,16,34,36,43,572,129,2676,0,0,0,0,0,0
62,460,590,18,110,77,52,538,257,2831,10320,2218,37720,4541,51.02,1044418560
63,457,505,72,53,77,101,412,303,2598,0,0,0,0,0,0
64,663,384,16,28,27,15,361,86,2657,9650,2213,32065,3882,43.95,985767936
65,862,291,37,42,44,50,241,173,3228,0,0,0,0,0,0
66,909,65,42,17,9,11,55,79,4072,10362,2030,38684,5166,30.67,763715584
67,489,181,41,14,30,36,161,121,4430,0,0,0,0,0,0
68,154,206,31,55,52,52,137,190,4372,0,0,0,0,0,0
69,567,226,55,3,6,6,221,70,4886,11104,1949,50447,6904,38.44,880762880
70,54,383,72,57,41,38,353,208,4569,11009,1978,53212,6814,43.43,913780736
71,300,415,263,43,58,62,351,426,4451,0,0,0,0,0,0
72,0,769,27,33,33,33,737,126,0,10976,2036,54687,6680,44.74,950603776
73,456,514,6,38,36,36,470,116,3398,10379,2028,52677,6016,60.52,964706304
74,426,440,21,49,20,16,437,106,3584,0,0,0,0,0,0
75,0,654,20,47,77,81,566,225,0,0,0,0,0,0,0
76,506,550,39,70,72,71,480,252,2712,0,0,0,0,0,0
77,81,464,85,218,122,86,388,511,2681,9554,2164,44501,4532,45.13,968552448
78,691,474,17,67,161,196,270,441,2523,9214,2477,33863,3478,46.73,905162752
79,579,580,72,21,21,22,549,136,2565,0,0,0,0,0,0
80,645,201,26,30,31,31,173,118,2965,9409,2535,29165,3971,37,889860096
