series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,38072,21.185,795.532,441.747,2031.582,2762.965,3270.565,3501.936,3754.155
remove,38072,1.232,13.308,3.204,23.788,101.458,150.365,203.445,291.653
insert,38065,1.177,10.409,3.267,13.312,67.566,137.313,191.679,395.880
find_output,38065,0.745,9.269,2.511,14.113,37.900,128.412,187.702,333.727
task_cycle,38072,2038.897,3073.920,2739.538,4557.721,5256.986,6005.716,6775.134,11059.782
scheduler_queue,38072,0.005,1193.550,867.569,2769.108,3464.285,5353.363,5939.609,5987.989
task_execution,38072,2038.885,3073.902,2739.517,4557.691,5256.963,6005.686,6775.105,11059.728
offered_to_finished,38072,2040.850,4267.452,3839.174,6685.916,7909.392,9764.422,10408.714,11077.270
offered_to_finished_arrival,38072,2040.850,4267.452,3839.174,6685.916,7909.392,9764.422,10408.714,11077.270
connection_open,38072,10.053,410.111,208.545,1035.341,1397.091,1997.665,2334.887,2647.668
demand_to_ready,38072,19.372,784.564,430.653,2009.092,2751.656,3249.569,3483.796,3740.267
driver_open,38072,10.053,410.111,208.545,1035.341,1397.091,1997.665,2334.887,2647.668
handshake_hello,38072,0.493,14.625,1.246,39.968,102.376,173.207,263.654,331.957
handshake_auth,114216,0.424,13.512,3.212,30.891,82.589,149.431,204.624,391.828
client_create,38072,1.354,32.060,12.442,104.442,121.055,184.454,344.253,5104.154
