second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,1,231,7388,0,0,0,7388,7388,7402,7390,7401,13.327
1,0,450,6824,0,0,0,7274,7274,7288,6826,7287,13.121
2,0,450,6708,0,0,0,7149,7149,7163,6710,7162,12.896
3,2,182,7038,0,2,0,7038,7038,7052,7040,7051,12.696
4,8,600,6166,0,0,0,6774,6774,6788,6168,6787,12.221
5,0,864,6166,0,1,0,6933,6933,6947,6168,6946,12.507
6,1,842,6126,0,4,0,6880,6880,6894,6128,6893,12.412
7,0,666,5776,0,0,0,6132,6132,6147,5778,6146,11.067
8,0,154,5690,0,0,0,5800,5800,5815,5692,5814,10.469
9,0,0,5690,0,0,0,5690,5690,5705,5692,5704,10.271
10,0,0,5314,0,0,0,5314,5314,5329,5316,5328,9.594
11,0,0,5024,0,0,0,5024,5024,5039,5026,5038,9.072
12,0,64,4520,0,0,0,4520,4520,4535,4522,4534,8.164
13,2,481,4274,0,0,0,4627,4627,4642,4276,4641,8.357
14,0,1013,4146,0,0,0,4825,4825,4840,4148,4839,8.713
15,7,1119,3990,0,0,0,5109,5109,5124,3992,5123,9.225
16,10,1477,4133,0,2,0,5516,5516,5531,4135,5530,9.958
17,6,1146,4836,0,0,0,5516,5516,5532,4838,5531,9.959
18,1,677,4886,0,0,0,5485,5485,5501,4888,5500,9.904
19,4,715,4630,0,19,0,5203,5203,5219,4632,5218,9.396
20,0,650,4414,0,0,0,4912,4912,4928,4416,4927,8.872
21,1,586,4330,0,0,0,4916,4916,4932,4332,4931,8.879
22,0,749,4624,0,0,0,5373,5373,5389,4626,5388,9.702
23,1,1156,4624,0,0,0,5781,5781,5797,4626,5796,10.437
24,0,1428,4812,0,0,0,6084,6084,6100,4814,6099,10.982
25,0,944,5414,0,0,0,6072,6072,6088,5416,6087,10.961
26,0,346,5554,0,0,0,5618,5618,5634,5556,5633,10.143
27,0,0,5474,0,0,0,5474,5474,5490,5476,5489,9.884
28,0,206,5474,0,0,0,5680,5680,5694,5474,5693,10.251
29,0,206,5474,0,0,0,5680,5680,5694,5474,5693,10.251
30,0,156,5680,0,1,0,5680,5680,5694,5680,5693,10.251
31,0,0,5680,0,0,0,5680,5680,5694,5680,5693,10.251
32,1,350,5680,0,0,0,5807,5807,5822,5680,5821,10.482
33,1,540,5230,0,0,0,5771,5771,5785,5230,5784,10.415
34,3,898,5558,0,0,0,6361,6361,6375,5558,6374,11.477
35,6,1133,5634,0,0,0,6556,6556,6570,5634,6569,11.829
36,1,1377,5442,0,2,0,6695,6695,6709,5442,6708,12.079
37,2,1022,5648,0,0,0,6670,6670,6684,5648,6683,12.034
38,0,1120,6078,0,2,0,6851,6851,6865,6078,6864,12.36
39,3,884,6414,0,1,0,7298,7298,7312,6414,7311,13.165
40,1,692,6796,0,0,0,7410,7410,7425,6796,7424,13.368
41,6,794,7004,0,2,0,7798,7798,7813,7004,7812,14.067
42,1,786,7408,0,0,0,8115,8115,8130,7408,8129,14.638
43,2,835,7798,0,17,0,8472,8470,8487,7798,8484,15.277
44,0,708,7870,0,0,0,8470,8470,8485,7870,8484,15.277
45,0,516,8256,0,3,0,8424,8424,8439,8256,8438,15.194
46,6,482,8256,0,0,0,8687,8687,8702,8256,8701,15.668
47,0,672,7596,0,0,0,8189,8189,8204,7596,8203,14.771
48,0,646,7296,0,0,0,7942,7942,7959,7296,7958,14.33
49,0,417,7508,0,2,0,7508,7508,7523,7508,7522,13.545
50,0,0,7334,0,0,0,7334,7334,7349,7334,7348,13.231
51,9,75,7232,0,0,0,7232,7232,7247,7232,7246,13.048
52,0,396,6848,0,0,0,7238,7238,7253,6848,7252,13.058
53,1,880,6842,0,0,0,7690,7690,7705,6842,7704,13.872
54,4,988,6964,0,0,0,7793,7793,7808,6964,7807,14.058
55,0,758,6512,0,0,0,7226,7226,7241,6512,7240,13.037
56,0,320,6568,0,0,0,6592,6592,6607,6568,6606,11.895
57,1,268,6568,0,0,0,6836,6836,6851,6568,6850,12.335
58,0,268,6568,0,0,0,6836,6836,6851,6568,6850,12.335
59,0,268,6682,0,1,0,6836,6836,6851,6682,6850,12.335
60,5,340,6630,0,0,0,6975,6975,6990,6631,6989,12.585
61,2,996,6630,0,0,0,7627,7627,7642,6631,7641,13.759
62,3,1243,6774,0,4,0,8018,8018,8033,6775,8032,14.463
63,0,1363,7516,0,0,0,8206,8206,8221,7517,8220,14.801
64,1,706,7606,0,50,0,8292,8292,8307,7607,8306,14.956
65,5,944,7802,0,0,0,8731,8731,8746,7803,8745,15.747
66,5,1053,7844,0,1,0,8859,8859,8874,7845,8873,15.977
67,2,1153,7082,0,77,0,8314,8309,8329,7083,8323,14.987
68,6,1156,7470,0,0,0,8423,8423,8438,7471,8437,15.192
69,1,1326,7134,0,0,0,8319,8319,8334,7135,8333,15.005
70,1,1349,7014,0,22,0,8339,8339,8354,7015,8353,15.041
71,0,1330,7014,0,1,0,8344,8344,8359,7015,8358,15.05
72,0,872,7550,0,0,0,7930,7930,7945,7551,7944,14.304
73,0,116,7770,0,0,0,7770,7770,7785,7771,7784,14.016
74,0,161,7530,0,0,0,7530,7530,7545,7531,7544,13.584
75,2,537,7118,0,0,0,7407,7407,7422,7119,7421,13.363
76,4,921,6868,0,0,0,7757,7757,7772,6869,7771,13.993
77,2,1138,7210,0,12,0,8161,8161,8176,7211,8175,14.72
78,7,808,7370,0,0,0,8178,8178,8193,7371,8192,14.751
79,7,857,7076,0,0,0,7935,7935,7950,7077,7949,14.313
80,0,1024,7532,0,0,0,8556,8556,8571,7533,8570,15.432
81,0,770,7818,0,1,0,8585,8584,8600,7819,8598,15.482
82,0,766,7872,0,0,0,8584,8584,8599,7873,8598,15.482
83,0,678,8430,0,7,0,8589,8584,8604,8431,8598,15.482
84,0,0,8430,0,0,0,8430,8430,8445,8431,8444,15.205
85,0,0,8028,0,0,0,8028,8028,8043,8029,8042,14.481
86,3,303,7634,0,0,0,7701,7701,7716,7635,7715,13.892
87,3,777,7398,0,0,0,8178,8178,8193,7399,8192,14.751
88,3,954,7430,0,8,0,8345,8340,8360,7431,8354,15.043
89,0,958,7808,0,0,0,8626,8626,8640,7808,8639,15.556
90,0,668,8246,0,0,0,8626,8626,8640,8246,8639,15.556
91,1,331,8504,0,0,0,8758,8758,8772,8504,8771,15.794
92,4,677,8504,0,0,0,8989,8989,9004,8504,9003,16.211
93,4,918,8312,0,3,0,9100,9100,9115,8312,9114,16.411
94,2,1082,7798,0,0,0,8801,8801,8815,7798,8814,15.871
95,0,1191,7637,0,1,0,8796,8796,8810,7637,8809,15.862
96,1,1302,7813,0,2,0,8966,8966,8980,7813,8979,16.168
97,22,1263,7546,0,0,0,8793,8793,8807,7546,8806,15.857
98,2,1472,7628,0,0,0,9040,9040,9054,7628,9053,16.301
99,3,1776,7584,0,0,0,9120,9120,9134,7584,9133,16.445
100,2,1847,7602,0,2,0,9113,9113,9127,7602,9126,16.433
101,0,1309,7798,0,0,0,8952,8952,8966,7798,8965,16.143
102,0,1608,7274,0,0,0,8753,8753,8767,7274,8766,15.785
103,1,1841,6928,0,0,0,8666,8666,8680,6928,8679,15.628
104,2,1459,7870,0,2,0,8942,8940,8956,7870,8953,16.121
105,1,900,8622,0,4,0,9315,9315,9329,8622,9328,16.797
106,1,859,8638,0,0,0,9373,9373,9388,8638,9387,16.903
107,2,892,8528,0,0,0,9422,9422,9437,8528,9436,16.991
108,5,992,8448,0,0,0,9216,9216,9231,8448,9230,16.62
109,4,1274,8224,0,2,0,9347,9347,9362,8224,9361,16.856
110,2,1097,8295,0,0,0,9392,9388,9407,8296,9402,16.93
111,11,1047,8574,0,2,0,9634,9634,9649,8575,9648,17.373
112,0,1158,8628,0,0,0,9786,9786,9801,8629,9800,17.647
113,3,1120,8576,0,0,0,9644,9644,9659,8577,9658,17.391
114,1,996,9136,0,4,0,9917,9916,9932,9137,9930,17.881
115,0,604,9524,0,0,0,9916,9916,9931,9525,9930,17.881
