series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,38377,33.980,1137.946,906.235,2149.889,2770.593,4523.036,5126.203,5198.583
remove,38377,2.435,29.463,7.829,93.940,116.793,211.279,411.130,515.385
insert,38362,2.514,33.634,12.956,96.831,121.894,191.006,257.055,413.950
find_output,38362,1.144,38.109,14.259,111.262,144.920,241.363,302.032,344.507
task_cycle,38377,2081.012,3658.133,3282.396,5493.739,6566.403,8412.832,8878.429,9230.787
scheduler_queue,38377,0.005,1042.217,765.751,2465.783,3377.957,4386.900,5569.659,5809.589
task_execution,38377,2080.999,3658.109,3282.373,5493.694,6566.361,8412.778,8878.372,9230.728
offered_to_finished,38377,2098.012,4700.326,4100.735,7304.051,9115.790,12042.753,12950.568,13017.668
offered_to_finished_arrival,38377,2098.012,4700.326,4100.735,7304.051,9115.790,12042.753,12950.568,13017.668
connection_open,38377,23.305,394.739,354.440,722.301,809.490,1107.669,1214.936,1228.360
demand_to_ready,38377,30.922,1107.771,880.138,2085.071,2710.535,4454.979,5115.991,5189.981
driver_open,38377,23.305,394.739,354.440,722.301,809.490,1107.669,1214.936,1228.360
handshake_hello,38377,0.918,83.639,68.362,191.024,227.128,275.490,319.471,327.559
handshake_auth,38377,0.771,59.612,40.147,145.315,182.077,252.715,314.344,332.815
client_create,38377,0.421,16.619,4.650,28.560,105.576,207.414,340.490,476.829
