second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,864,0,64,0,0,0,0,64,864,40,19,527,14,0,77082624
1,559,0,79,0,0,0,0,79,1423,1392,19,10434,1429,34.68,213544960
2,684,0,91,0,0,0,0,91,2107,2551,19,18239,2573,38.62,313413632
3,769,65,34,65,65,65,0,229,2811,3481,19,25549,3625,36.39,408252416
4,565,49,36,51,51,49,0,187,3327,4758,149,33144,4607,33,488329216
5,437,188,20,117,109,92,100,338,3695,5980,343,41194,5615,35.27,607371264
6,347,235,9,23,11,28,208,71,3760,0,0,0,0,0,0
7,226,370,70,25,45,47,326,187,3689,6041,589,43122,5657,41.81,667926528
8,221,406,46,21,21,21,392,109,3544,5945,624,44791,5607,48.1,718327808
9,484,544,22,24,24,24,509,94,3544,0,0,0,0,0,0
10,642,197,10,20,17,13,181,60,3744,0,0,0,0,0,0
11,333,249,44,5,5,9,248,63,3926,0,0,0,0,0,0
12,65,867,62,24,27,26,833,139,3813,6924,791,46601,5847,41.55,847568896
13,269,646,33,107,105,101,546,346,3027,0,0,0,0,0,0
14,662,539,22,43,45,50,487,160,2888,6951,987,44599,4928,46.59,825851904
15,665,250,10,49,44,31,232,134,3273,7435,1058,46918,5112,40.18,855347200
16,341,762,44,34,26,34,715,138,3187,7694,1161,46328,4690,42.26,875470848
17,810,53,35,23,36,39,14,133,3523,0,0,0,0,0,0
18,745,232,43,20,17,17,226,97,4055,8608,1227,35884,5121,34.33,897073152
19,890,232,18,15,18,19,202,70,4694,0,0,0,0,0,0
20,336,215,52,23,17,16,205,108,5018,0,0,0,0,0,0
21,229,478,50,24,30,32,455,136,4850,9841,1307,44491,6350,43.39,993132544
22,72,578,24,11,10,10,566,55,4555,0,0,0,0,0,0
23,49,763,45,63,63,60,696,231,4048,0,0,0,0,0,0
24,238,856,12,16,16,17,837,61,3346,8844,1472,39672,4787,54.01,1006538752
25,316,602,29,62,62,63,541,216,2442,0,0,0,0,0,0
26,100,994,12,19,19,14,975,64,2509,7894,1562,28105,3335,51.01,863686656
27,819,317,3,51,52,57,259,163,2073,0,0,0,0,0,0
28,708,18,0,0,0,0,18,0,2740,8455,1643,30008,3410,30.41,739565568
29,831,256,0,0,0,0,256,0,3385,9033,1644,35181,4151,24.49,649052160
30,779,75,57,40,40,40,35,177,4019,9710,1644,42092,5119,35.08,666714112
31,853,326,4,0,0,1,328,5,4546,10409,1694,40229,5752,37.57,708034560
32,445,462,4,0,0,0,461,4,4694,0,0,0,0,0,0
33,353,492,7,5,5,5,492,22,4449,10357,1696,44114,5780,48.1,765132800
34,310,740,3,55,49,41,694,148,4457,0,0,0,0,0,0
35,18,562,195,45,50,58,506,348,3959,9928,1780,43110,5149,53.2,817078272
36,382,795,27,6,1,0,795,34,3304,0,0,0,0,0,0
37,174,839,23,5,11,12,826,51,3003,0,0,0,0,0,0
38,676,612,10,44,22,21,592,97,2450,9197,1832,32613,3889,51.36,831328256
39,490,660,17,170,165,139,517,491,2403,9402,2006,28660,3617,43.51,842891264
40,1132,74,9,16,29,36,38,90,3290,10353,2060,31724,4424,32.22,659914752
41,981,158,21,24,30,39,119,114,4113,11244,2109,37615,5260,32.87,633528320
42,540,397,43,8,14,25,372,90,4333,0,0,0,0,0,0
43,415,693,24,15,15,13,680,67,4313,11419,2143,39801,5358,38.58,645070848
44,733,403,12,24,21,20,390,77,4451,11598,2171,39677,5619,39.18,677888000
45,491,450,20,34,37,39,404,130,4478,11491,2225,40837,5517,47.1,699854848
46,172,764,48,22,19,19,746,108,4370,0,0,0,0,0,0
47,290,491,9,4,6,7,490,26,3938,0,0,0,0,0,0
48,124,695,14,16,15,15,673,60,2985,9806,2280,32900,4114,61.24,740052992
49,349,667,19,22,16,11,662,68,3299,0,0,0,0,0,0
50,413,954,49,39,44,47,902,179,2654,0,0,0,0,0,0
51,581,531,25,36,31,28,502,120,2277,9279,2369,30397,3431,47.11,763957248
52,684,312,8,16,17,14,298,55,2607,9761,2422,27585,3772,31.92,620060672
53,1171,53,12,45,35,33,23,125,3667,0,0,0,0,0,0
54,815,467,19,12,25,28,436,84,4014,10787,2491,35048,4742,35.5,613711872
55,752,196,9,13,18,17,183,57,4601,11201,2513,36340,5353,36.29,648118272
56,590,564,9,12,9,7,556,37,4696,11583,2535,40668,5771,40.13,692445184
57,60,697,44,15,12,22,678,93,4597,0,0,0,0,0,0
58,522,467,18,10,12,12,449,52,4014,10456,2577,38613,4712,59.69,711557120
59,754,111,28,6,5,1,111,40,4657,10983,2579,45006,5578,33.41,755134464
60,178,784,19,12,12,10,778,53,4658,10960,2597,40885,5540,44.15,805326848
61,359,625,18,14,14,16,607,62,3808,0,0,0,0,0,0
62,181,841,25,40,34,32,808,131,3786,0,0,0,0,0,0
63,176,787,17,16,23,22,765,78,3121,9880,2702,32315,3956,53.32,807170048
64,326,1060,14,41,33,32,1032,120,2656,9579,2749,30224,3122,52.79,803627008
65,707,260,17,20,12,8,247,57,2227,0,0,0,0,0,0
66,1109,86,0,0,0,0,85,0,3250,10483,2761,28957,4146,31.84,684462080
67,613,463,0,0,0,0,463,0,3528,10724,2761,33115,4447,38.85,592523264
68,811,115,0,0,0,0,118,0,4101,0,0,0,0,0,0
69,750,342,6,0,1,4,335,11,4504,11463,2764,39411,5452,31.6,651145216
70,1057,172,13,17,15,2,174,47,5405,12690,2769,50314,6803,31.61,738496512
71,290,694,0,1,0,0,693,1,5387,0,0,0,0,0,0
72,499,309,0,3,7,18,293,28,5390,0,0,0,0,0,0
73,476,378,1,0,0,0,379,1,5474,0,0,0,0,0,0
74,126,802,0,0,0,0,804,0,5195,12947,2801,50687,6265,43.74,859815936
75,358,480,1,0,0,0,477,1,4715,0,0,0,0,0,0
76,208,888,1,19,25,30,853,75,4469,12837,2804,50667,5975,50.81,878223360
77,470,479,0,0,0,0,492,0,4148,0,0,0,0,0,0
78,48,855,1,1,0,0,855,2,3787,0,0,0,0,0,0
79,86,817,0,1,2,2,806,5,2966,12696,2855,46899,4204,47.01,889065472
80,266,724,0,0,0,0,720,0,2249,0,0,0,0,0,0
81,1018,154,0,1,1,1,159,3,2665,12559,2858,35589,3979,43.49,893980672
82,547,386,0,0,0,0,392,0,3077,13285,2862,33784,4695,27.75,870481920
83,522,207,0,0,0,0,195,0,3181,13897,2865,37358,4949,32.31,709615616
84,801,88,0,0,0,0,88,0,3843,14167,2866,40113,5246,18.39,690544640
85,959,71,0,0,0,0,74,0,4732,0,0,0,0,0,0
86,648,269,0,0,0,0,278,0,5278,0,0,0,0,0,0
87,489,720,0,0,0,0,708,0,4879,15650,2868,46022,6563,31.97,748519424
88,110,669,0,0,0,0,679,0,4907,0,0,0,0,0,0
89,607,378,0,0,0,0,372,0,4628,0,0,0,0,0,0
90,5,654,0,0,0,0,652,0,4550,15116,2873,47436,6020,48.49,804098048
91,431,410,0,0,0,0,411,0,3973,14358,2875,45302,5290,64.79,805285888
92,270,373,0,0,0,0,376,0,3974,14503,2875,43696,5689,39.83,847216640
93,6,863,9,13,0,1,857,23,2961,13629,2876,39048,4751,60.29,846528512
94,622,259,378,46,72,77,183,573,3441,0,0,0,0,0,0
95,26,898,6,0,0,0,902,6,3322,13710,2983,37884,4776,43.73,855408640
96,592,489,8,0,0,0,483,8,2555,0,0,0,0,0,0
97,581,346,1,103,0,0,346,104,2790,13073,2988,32619,4167,55.06,862687232
98,300,508,15,285,388,384,133,1072,2907,13215,3079,30019,4159,37.78,870506496
99,744,600,1,9,0,1,590,11,2804,12644,3447,24582,3407,43.36,610336768
100,767,192,1,0,0,3,189,4,3303,13113,3456,29084,3968,26.11,589377536
101,328,321,1,0,0,0,333,1,3531,0,0,0,0,0,0
102,734,240,38,20,29,29,202,116,3808,12733,3456,31606,4020,39.36,586706944
103,554,508,13,1,1,1,508,16,3956,0,0,0,0,0,0
104,252,1035,15,2,2,2,1032,21,3848,11709,3492,31967,4353,38.62,621457408
105,493,821,5,29,18,16,805,68,3334,11169,3517,32807,3988,55.05,649428992
106,645,450,26,21,32,32,415,111,3118,11262,3552,24153,3570,42.28,660852736
107,551,561,19,16,16,18,552,69,2969,0,0,0,0,0,0
108,572,672,23,6,6,6,657,41,2923,10958,3575,25533,3520,40.42,693460992
109,779,159,13,7,7,7,152,34,3442,0,0,0,0,0,0
110,786,356,14,27,26,25,339,92,4008,11616,3606,34468,4818,33.88,775335936
111,185,849,5,25,26,27,824,83,3872,10866,3649,32948,4366,44.95,780394496
112,649,517,10,21,21,21,491,73,3406,0,0,0,0,0,0
113,539,343,19,8,8,8,339,43,3616,10871,3676,33022,4438,34.59,809062400
